top_k_output,n,rho_topk_mean,rho_full_vocab_mean,spearman_rho_topk_vs_full,rho_abs_diff_mean,rho_abs_diff_median,rho_abs_diff_max
16,55,0.6231318276404002,0.24387335234595733,0.3523088023088024,0.37925847529444295,0.38509455599271764,0.7352107737356042
32,55,0.4032087499505865,0.24387335234595733,0.5065656565656567,0.1807058151369412,0.17958794380077275,0.36330286570808146
64,55,0.32974445028808946,0.24387335234595733,0.4792207792207794,0.11740982976580658,0.1239999262551732,0.2534652443379281
128,55,0.2838692235444223,0.24387335234595733,0.4976911976911978,0.09146200094840737,0.08051758257415431,0.21288309486226606
256,55,0.2638954347589736,0.24387335234595733,0.49516594516594525,0.08292720062882256,0.08528212271509272,0.21023073275097603
