model,prompt_id,task,topic,observed_condition,layer,subspace_family,subspace_k,rep,rho_full_vocab,v_access_full_vocab,v_inaccess_full_vocab,rank_full_vocab,entropy_full_vocab,varentropy_full_vocab,top_k_output,rho_topk,v_access_topk,v_inaccess_topk,rank_topk,entropy_topk,varentropy_topk,rho_abs_diff_topk_vs_full
google/bert_uncased_L-2_H-128_A-2,0,ambiguous_open,open,ambiguous,1,state_pca,8,0,0.07457134889501874,0.5527665013692099,6.8598190232321015,8,6.846183920670706,7.412585524601314,16,0.49511493362046627,0.18267901320621843,0.18628382915929237,8,2.5785535894375684,0.3689628423655108,0.4205435847254475
google/bert_uncased_L-2_H-128_A-2,0,ambiguous_open,open,ambiguous,1,state_pca,8,0,0.07457134889501874,0.5527665013692099,6.8598190232321015,8,6.846183920670706,7.412585524601314,32,0.4075646816004786,0.3077961191662092,0.44741190807873,8,3.0600869032027704,0.7552080272449393,0.33299333270545983
google/bert_uncased_L-2_H-128_A-2,0,ambiguous_open,open,ambiguous,1,state_pca,8,0,0.07457134889501874,0.5527665013692099,6.8598190232321015,8,6.846183920670706,7.412585524601314,64,0.27652343120507705,0.32954262998002154,0.8621922929662516,8,3.573233203108171,1.191734922946273,0.20195208231005832
google/bert_uncased_L-2_H-128_A-2,0,ambiguous_open,open,ambiguous,1,state_pca,8,0,0.07457134889501874,0.5527665013692099,6.8598190232321015,8,6.846183920670706,7.412585524601314,128,0.16998887877077343,0.2873718296381433,1.4031612906235558,8,4.083344271924259,1.6905331202616989,0.09541752987575469
google/bert_uncased_L-2_H-128_A-2,0,ambiguous_open,open,ambiguous,1,state_pca,8,0,0.07457134889501874,0.5527665013692099,6.8598190232321015,8,6.846183920670706,7.412585524601314,256,0.1863053917702751,0.42386254894335545,1.8512329000708174,8,4.559066655292378,2.275095449014173,0.11173404287525637
google/bert_uncased_L-2_H-128_A-2,0,ambiguous_open,open,ambiguous,1,delta_pca,8,0,0.2974422788003331,2.2048163302397765,5.207769194361536,8,6.846183920670706,7.412585524601314,16,0.753787153119463,0.2781194505535636,0.09084339181194723,8,2.5785535894375684,0.3689628423655108,0.4563448743191299
google/bert_uncased_L-2_H-128_A-2,0,ambiguous_open,open,ambiguous,1,delta_pca,8,0,0.2974422788003331,2.2048163302397765,5.207769194361536,8,6.846183920670706,7.412585524601314,32,0.44272669231544853,0.3343507519122271,0.4208572753327121,8,3.0600869032027704,0.7552080272449393,0.14528441351511545
google/bert_uncased_L-2_H-128_A-2,0,ambiguous_open,open,ambiguous,1,delta_pca,8,0,0.2974422788003331,2.2048163302397765,5.207769194361536,8,6.846183920670706,7.412585524601314,64,0.2646131333416089,0.3153487120734342,0.8763862108728389,8,3.573233203108171,1.191734922946273,0.032829145458724174
google/bert_uncased_L-2_H-128_A-2,0,ambiguous_open,open,ambiguous,1,delta_pca,8,0,0.2974422788003331,2.2048163302397765,5.207769194361536,8,6.846183920670706,7.412585524601314,128,0.25547601632127986,0.431890667023642,1.2586424532380571,8,4.083344271924259,1.6905331202616989,0.04196626247905322
google/bert_uncased_L-2_H-128_A-2,0,ambiguous_open,open,ambiguous,1,delta_pca,8,0,0.2974422788003331,2.2048163302397765,5.207769194361536,8,6.846183920670706,7.412585524601314,256,0.24999653047185147,0.5687659687458423,1.7063294802683306,8,4.559066655292378,2.275095449014173,0.04744574832848161
google/bert_uncased_L-2_H-128_A-2,0,ambiguous_open,open,ambiguous,1,random,8,0,0.12003009035743711,0.8897333103001258,6.522852214301186,8,6.846183920670706,7.412585524601314,16,0.7135364477090282,0.2632684358781127,0.10569440648739808,8,2.5785535894375684,0.3689628423655108,0.5935063573515911
google/bert_uncased_L-2_H-128_A-2,0,ambiguous_open,open,ambiguous,1,random,8,0,0.12003009035743711,0.8897333103001258,6.522852214301186,8,6.846183920670706,7.412585524601314,32,0.1449893416587635,0.10949711468565727,0.6457109125592819,8,3.0600869032027704,0.7552080272449393,0.024959251301326396
google/bert_uncased_L-2_H-128_A-2,0,ambiguous_open,open,ambiguous,1,random,8,0,0.12003009035743711,0.8897333103001258,6.522852214301186,8,6.846183920670706,7.412585524601314,64,0.20132970651061358,0.23993164227522185,0.9518032806710512,8,3.573233203108171,1.191734922946273,0.08129961615317646
google/bert_uncased_L-2_H-128_A-2,0,ambiguous_open,open,ambiguous,1,random,8,0,0.12003009035743711,0.8897333103001258,6.522852214301186,8,6.846183920670706,7.412585524601314,128,0.17582304705432195,0.2972346843506624,1.3932984359110367,8,4.083344271924259,1.6905331202616989,0.05579295669688483
google/bert_uncased_L-2_H-128_A-2,0,ambiguous_open,open,ambiguous,1,random,8,0,0.12003009035743711,0.8897333103001258,6.522852214301186,8,6.846183920670706,7.412585524601314,256,0.1906527232867422,0.4337531430918256,1.8413423059223473,8,4.559066655292378,2.275095449014173,0.0706226329293051
google/bert_uncased_L-2_H-128_A-2,1,factual_deep,currency,error,1,state_pca,8,0,0.10395955210209493,0.6918042667804676,5.962747939264741,8,7.130877226878057,6.654552206045209,16,0.8391703258376991,0.3877053223234147,0.07430496377242535,8,2.5613643185333004,0.46201028609584005,0.7352107737356042
google/bert_uncased_L-2_H-128_A-2,1,factual_deep,currency,error,1,state_pca,8,0,0.10395955210209493,0.6918042667804676,5.962747939264741,8,7.130877226878057,6.654552206045209,32,0.27259720014484684,0.20877529375855214,0.5570993874473356,8,3.1042316529203493,0.7658746812058878,0.16863764804275191
google/bert_uncased_L-2_H-128_A-2,1,factual_deep,currency,error,1,state_pca,8,0,0.10395955210209493,0.6918042667804676,5.962747939264741,8,7.130877226878057,6.654552206045209,64,0.18395899989676448,0.21225319861967606,0.9415538928452152,8,3.63122020913447,1.153807091464891,0.07999944779466955
google/bert_uncased_L-2_H-128_A-2,1,factual_deep,currency,error,1,state_pca,8,0,0.10395955210209493,0.6918042667804676,5.962747939264741,8,7.130877226878057,6.654552206045209,128,0.08307357084872274,0.1331746456056787,1.469918182174533,8,4.157363927243086,1.6030928277802117,0.020885981253372182
google/bert_uncased_L-2_H-128_A-2,1,factual_deep,currency,error,1,state_pca,8,0,0.10395955210209493,0.6918042667804676,5.962747939264741,8,7.130877226878057,6.654552206045209,256,0.0901504783063015,0.19009798378824624,1.9185761725745873,8,4.683105724064182,2.108674156362834,0.013809073795793422
google/bert_uncased_L-2_H-128_A-2,1,factual_deep,currency,error,1,delta_pca,8,0,0.3273877339198998,2.178618766988811,4.475933439056398,8,7.130877226878057,6.654552206045209,16,0.7798471478750163,0.36029740390076115,0.1017128821950789,8,2.5613643185333004,0.46201028609584005,0.4524594139551165
