target,metric,ci_low,median,ci_high
max_uncertainty_movement,delta_mae_improvement,0.00011997409624043381,0.0004966218900875514,0.0008541941884161586
minimal_energy,delta_mae_improvement,0.03442470296409853,0.045134680885022815,0.05473315212853977
safe_movement_target,delta_auprc,0.0644839566237598,0.08806557767110823,0.11411690135235895
safe_movement_target,delta_log_loss_improvement,0.043724564536376034,0.06042963761345657,0.08065846916528699
