metric,ci_low,median,ci_high
delta_aurc_improvement,0.007245985327163085,0.023723926130790773,0.04349912333235756
delta_brier_improvement,0.020456469033595555,0.03524988846379315,0.05259920881262873
delta_high_conf_error_improvement,-2.5201612903223702e-05,0.06702423213458863,0.17592592592592593
delta_log_loss_improvement,0.07359503588091806,0.12462898090188979,0.18669452775791212
delta_risk50_improvement,-0.01515734265734275,0.044117647058823595,0.10526315789473684
delta_risk80_improvement,0.0,0.0,0.0
