split,metric,baseline,+rho,+shuffled_rho,delta_rho,delta_shuffled_rho
grouped_prompt,log_loss,0.5110382994882727,0.38479025668052586,0.5178781749674701,0.12624804280774687,-0.006839875479197399
grouped_prompt,brier,0.15399188201595035,0.11829767991068528,0.14269815465507196,0.03569420210526507,0.011293727360878386
grouped_prompt,AURC,0.4694606440723857,0.448105558421804,0.4717740471457468,0.021355085650581695,-0.0023134030733610866
grouped_prompt,coverage@risk=0.30,0.3106060606060606,0.3560606060606061,0.3560606060606061,0.04545454545454547,0.04545454545454547
grouped_prompt,risk@coverage=0.50,0.43939393939393945,0.3939393939393939,0.4545454545454546,0.045454545454545525,-0.015151515151515138
grouped_prompt,ECE,0.11812961695769447,0.10399918492140435,0.10102680124815056,0.014130432036290122,0.017102815709543917
leave_one_model_out,log_loss,0.7885695941878296,0.6671300827629114,0.7594816395906976,0.12143951142491816,0.029087954597131982
leave_one_model_out,brier,0.19113254932376988,0.16409055926001442,0.1958334805062917,0.02704199006375546,-0.0047009311825218225
leave_one_model_out,AURC,0.4989739188822047,0.4813497442670922,0.49149325177061187,0.01762417461511251,0.0074806671115928425
leave_one_model_out,coverage@risk=0.30,0.2803030303030303,0.3560606060606061,0.2878787878787879,0.0757575757575758,0.0075757575757576245
leave_one_model_out,risk@coverage=0.50,0.5,0.4545454545454546,0.48484848484848486,0.045454545454545414,0.015151515151515138
leave_one_model_out,ECE,0.19515128502862847,0.15132941424577318,0.18541411530634005,0.04382187078285529,0.009737169722288413
leave_one_source_out,log_loss,1.851962656867695,3.2317219097440413,2.5492829333191755,-1.3797592528763463,-0.6973202764514805
leave_one_source_out,brier,0.35538575264931227,0.37525698973243854,0.38711271361610444,-0.01987123708312627,-0.03172696096679217
leave_one_source_out,AURC,0.6367545144312494,0.6455338372058245,0.6397948911160536,-0.008779322774575049,-0.003040376684804169
leave_one_source_out,coverage@risk=0.30,0.0,0.0,0.0,0.0,0.0
leave_one_source_out,risk@coverage=0.50,0.5606060606060606,0.5757575757575757,0.5757575757575757,-0.015151515151515138,-0.015151515151515138
leave_one_source_out,ECE,0.3369191904380893,0.3501070818271982,0.3788258967845639,-0.013187891389108863,-0.04190670634647459
