condition,accuracy,mean_confidence,overconfident_wrong_rate,nll,brier,ece
before,0.7037037037037037,0.5990848066701238,0.0,0.6902422033776316,0.3590718860275512,0.11262102674843408
accessible_rho_after_eps_median,0.7037037037037037,0.712705986329304,0.0,0.5737603251407996,0.31458125702686535,0.08043659849031144
