route,layer,n,rho_mean,rho_median
delta_pca,12,216,0.37794257513931034,0.37940411162411497
delta_pca,23,216,0.5154306227593289,0.5479034917010782
random,12,216,0.39390902762165125,0.4160631063990312
random,23,216,0.40468709814520615,0.3258169378694332
state_pca,12,216,0.031125254953759333,0.012006900620411641
state_pca,23,216,0.487832394055903,0.4794374491361548
