subspace,k,layer,observed_condition,n,rho_structured_mean,rho_random_mean,rho_adjusted_mean,rho_adjusted_median,rho_adjusted_z_mean,trace_fim_structured_mean
delta_pca,16,2,correct,183,0.7515631659621546,0.7594499778434951,-0.007886811881340536,-0.0016226556409775217,-0.20169349468011005,0.5798232419223658
delta_pca,16,2,error,137,0.6956565026577973,0.715860811383112,-0.02020430872531465,-0.0038403090090417535,-0.21344116352334527,0.5395140573028653
delta_pca,16,3,correct,183,0.8092201180173084,0.7435219121374482,0.06569820587986021,0.07869283570521557,0.8179356985875111,0.49687371762831045
delta_pca,16,3,error,137,0.7509028953834262,0.7402175797264924,0.010685315656933895,0.011656697555731843,0.0973244893527993,0.4366469861724079
delta_pca,16,4,correct,183,0.6989451850233537,0.7024584731964619,-0.0035132881731082975,-0.00598704300412245,-0.05215107999172973,0.3031674027894374
delta_pca,16,4,error,137,0.718842572070207,0.7239277747080102,-0.005085202637803212,-0.0072688421325942665,-0.14822475821315817,0.2731634701491035
delta_pca,16,5,correct,183,0.8713487029382306,0.8560022980088848,0.01534640492934593,0.025788924076502795,0.37831235732214025,0.18476562241522188
delta_pca,16,5,error,137,0.776872348057969,0.7614948305136953,0.015377517544273708,0.016752998434918287,0.16651653648741957,0.2513921478968849
delta_pca,32,0,correct,183,0.9999999999999988,0.9999999999999997,-1.0228612128513736e-15,0.0,-0.0010173733357132237,3.215807606518742
delta_pca,32,0,error,137,0.9999999999999962,0.9999999999999996,-3.285287694766704e-15,0.0,-0.003268382227818554,3.143586012200148
delta_pca,32,1,correct,183,0.9999999999999993,0.9999999999999991,3.2396671866111127e-16,3.3306690738754696e-16,0.00031870400515215957,1.9149531249097551
delta_pca,32,1,error,137,0.999999999999999,0.9999999999999857,1.346611386875637e-14,3.3306690738754696e-16,0.0019101490438710176,1.729328932225964
delta_pca,32,2,correct,183,0.9999999999999986,0.9999999999999984,5.581449085547235e-17,3.3306690738754696e-16,4.63093555430519e-05,1.2070035470364602
