subspace,layer,observed_condition,n,k50_mean,k80_mean,k80_missing_rate,rho_k1_mean,rho_kmax_mean,adjusted_auc_logk_mean,adjusted_initial_slope_mean
delta_pca,0,correct,183,16.524590163934427,31.650273224043715,0.0,0.06327929805109245,0.9999999999999988,-0.03004110477507206,0.026381302768060274
delta_pca,0,error,137,17.751824817518248,31.2992700729927,0.0,0.05638233532204233,0.9999999999999962,-0.024287809016835738,0.028407849205132507
delta_pca,1,correct,183,11.431693989071038,25.74863387978142,0.0,0.08868400059041011,0.9999999999999993,0.013327496824969478,-0.010835091249944622
delta_pca,1,error,137,14.014598540145986,27.503649635036496,0.0,0.0746778304442984,0.999999999999999,0.003435977035711784,-0.008370493836947795
delta_pca,2,correct,183,13.814207650273223,25.48633879781421,0.0,0.0965489987459215,0.9999999999999986,-0.05324124253492348,-0.09349709742218265
delta_pca,2,error,137,15.24087591240876,27.21167883211679,0.0,0.05702986253463137,0.9999999999999988,-0.036593183274480794,-0.01239243447464547
delta_pca,3,correct,183,8.639344262295081,19.868852459016395,0.0,0.08247384545752308,0.9999999999999976,0.09147226531997237,0.16633316649239105
delta_pca,3,error,137,10.408759124087592,24.525547445255473,0.0,0.10168965521484395,0.9999999999999976,0.02207184678083501,0.03381389834538129
delta_pca,4,correct,183,13.502732240437158,28.327868852459016,0.0,0.06846605292133796,0.9999999999999983,0.015341689415302501,0.06314483644633223
delta_pca,4,error,137,12.18978102189781,26.043795620437955,0.0,0.0891597919427005,0.9999999999999992,0.00028119223382684915,0.017223233764252128
delta_pca,5,correct,183,5.7923497267759565,15.841530054644808,0.0,0.24808361990325883,0.9999999999999988,0.0631472029214869,0.0032250631725652475
delta_pca,5,error,137,10.496350364963504,24.116788321167885,0.0,0.10882657465014192,0.9999999999999993,0.013425516346405889,0.010091686227196162
state_pca,0,correct,183,17.726775956284154,26.05464480874317,0.0,0.0367105781486648,0.9999999999999999,-0.011016172638764482,0.06909118816109887
state_pca,0,error,137,16.934306569343065,25.576642335766422,0.0,0.06892963622409483,0.9999999999999998,0.021310325718661195,0.07358966724720675
state_pca,1,correct,183,11.21311475409836,21.989071038251367,0.0,0.11314367805421284,0.9999999999999988,0.04628155517319506,-0.010056172366815972
state_pca,1,error,137,13.83941605839416,28.437956204379564,0.0,0.07435694784209329,0.9999999999999969,0.0008665772512070142,-0.022214432621244243
state_pca,2,correct,183,9.442622950819672,21.027322404371585,0.0,0.13688968577536728,0.9999999999999986,0.029638539309171735,-0.025131603161050377
state_pca,2,error,137,11.605839416058394,24.99270072992701,0.0,0.11334110865535059,0.999999999999994,0.03766892497629814,0.0049622514482742875
state_pca,3,correct,183,10.978142076502733,22.73224043715847,0.0,0.13524779217373548,0.9999999999999978,0.03098915575816806,0.00501179846605174
state_pca,3,error,137,11.328467153284672,22.554744525547445,0.0,0.13183625861225962,0.9999999999999986,0.03293926925386127,0.014535132473052811
state_pca,4,correct,183,12.120218579234972,26.770491803278688,0.0,0.11292761458746581,0.9999999999999969,0.0386595147421795,-0.02774534604157707
state_pca,4,error,137,10.97080291970803,23.2992700729927,0.0,0.10528359389652671,0.9999999999999986,0.03364085951334532,0.005689209753777575
state_pca,5,correct,183,5.622950819672131,13.890710382513662,0.0,0.26039448187315817,0.9999999999999978,0.07087548807664364,0.0012587673369257712
state_pca,5,error,137,10.357664233576642,23.562043795620436,0.0,0.08313276201943794,0.9999999999999992,0.0076711500421551525,0.010822513021723601
state_pca,6,correct,183,4.934426229508197,11.081967213114755,0.0,0.1743748978506617,0.9999999999999906,-0.025057077329728276,0.06425542247862621
state_pca,6,error,137,9.81021897810219,20.525547445255473,0.0,0.11298393511919469,0.999999999999999,-0.0011792504469529505,-0.0072353622205700305
