analysis,outcome,n,spearman_residual_effect,spearman_ci_low,spearman_ci_high,controls
residual_rho_effect_after_scalar_gradient_geometric_controls,abs_delta_entropy,14490,0.136561705439952,0.12065737166479808,0.1522406639351356,"entropy,varentropy,confidence,margin,jacobian_fro_norm,fisher_output_energy,grad_entropy_proj_norm,grad_varentropy_proj_norm,top_k_output,layer,model,task,topic,subspace_family,direction,sign"
residual_rho_effect_after_scalar_gradient_geometric_controls,abs_delta_varentropy,14490,0.14435391272214945,0.12857249365008863,0.1608647096474636,"entropy,varentropy,confidence,margin,jacobian_fro_norm,fisher_output_energy,grad_entropy_proj_norm,grad_varentropy_proj_norm,top_k_output,layer,model,task,topic,subspace_family,direction,sign"
