analysis,top_k_output,n,rho_spearman,rho_spearman_ci_low,rho_spearman_ci_high,rho_abs_diff_mean,rho_abs_diff_ci_low,rho_abs_diff_ci_high
topk_rank_stability_vs_32,16,483,0.7669921389518588,0.7231126980547897,0.8094347352048418,0.1831355458119164,0.17224783235243651,0.1950945020791043
topk_rank_stability_vs_32,64,483,0.9133293190662846,0.8947019604669009,0.9299670713930553,0.09986976698813305,0.093394246724875,0.10653535813350716
topk_rank_stability_vs_32,128,483,0.8439105791130456,0.8106754301765756,0.8720870809117652,0.15900316415124183,0.15005864434085128,0.16796370481373987
topk_rank_stability_vs_32,256,483,0.7881914306971298,0.7451864619916239,0.8268578549556841,0.19428261155933998,0.18395318606779987,0.20372571657709698
