condition,accuracy,mean_confidence,overconfident_wrong_rate,nll,brier,ece
before,0.28703703703703703,0.25,0.0,1.3862943611198906,0.75,0.037037037037037035
accessible_rho_after_eps_median,0.28703703703703703,0.25,0.0,1.3862943611198906,0.75,0.037037037037037035
