condition,accuracy,mean_confidence,overconfident_wrong_rate,nll,brier,ece
before,0.5509259259259259,0.5356479600736459,0.0,0.9497154141423009,0.5061878856629662,0.147962793300811
accessible_rho_after_eps_median,0.5462962962962963,0.6450216593817324,0.027777777777777776,0.9319589496134588,0.5112126507781378,0.14198057949894868
