route,layer,n,rho_mean,rho_median
delta_pca,12,216,0.13168150267946674,0.12915487515153845
delta_pca,23,216,0.4270541771185635,0.372971083266066
random,12,216,0.46581451589372663,0.48094182211032266
random,23,216,0.47298420310352646,0.46425327164556307
state_pca,12,216,0.30639439967684506,0.3203336026719926
state_pca,23,216,0.459667855424384,0.420929621144294
