model,route_source,subspace_family,n_pretrained,n_random_init,rho_pretrained_mean,rho_random_init_mean,rho_pretrained_minus_random,rho_pretrained_over_random,rho_rank_spearman_pretrained_vs_random
bert-base-uncased,random_route,random,63,63,0.5745704611579185,0.29928860640007154,0.275281854757847,1.9197872851526672,0.16177035330261136
bert-base-uncased,within_model,delta_pca,42,42,0.4900341964568089,0.29369226411766947,0.19634193233913944,1.668529465455971,-0.024876428166275017
bert-base-uncased,within_model,state_pca,63,63,0.6367441895600868,0.2802271075464011,0.3565170820136857,2.2722433783628593,-0.10527073732718895
google/bert_uncased_L-2_H-128_A-2,random_route,random,42,42,0.3714311388017176,0.26244185772496986,0.10898928107674771,1.4152892454791444,0.3199902763147233
google/bert_uncased_L-2_H-128_A-2,within_model,delta_pca,21,21,0.3857856477085577,0.29414634389754307,0.09163930381101465,1.3115432359170658,-0.6545454545454545
google/bert_uncased_L-2_H-128_A-2,within_model,state_pca,42,42,0.41689966432866354,0.298303152928278,0.11859651140038552,1.3975704253749541,0.21935013370067258
