model,init_state,split,prompt_id,task,topic,observed_condition,layer,route_source,subspace_family,subspace_k,rep,top_k_output,rank_whitened_jb,rho,v_access,v_inaccess,entropy,varentropy,confidence,margin,trace_fim,jacobian_fro_norm,fisher_output_fro_norm,grad_entropy_proj_norm,grad_varentropy_proj_norm,logit_norm
bert-base-uncased,pretrained,all,0,ambiguous_open,polysemy,ambiguous,4,within_model,state_pca,8,0,32,8,0.6564661557700697,0.29491584921071956,0.1543317572630177,3.2673072368553218,0.4492476064737375,0.1141753741738726,0.17011308670043945,0.17559572968590978,2.685309305957342,0.41904144148987194,0.10852390530870538,0.258372313935732,35.160501004977654
bert-base-uncased,pretrained,all,0,ambiguous_open,polysemy,ambiguous,4,within_model,delta_pca,8,0,32,8,0.43327011480019634,0.1946455620305897,0.2546020444431478,3.2673072368553218,0.4492476064737375,0.1141753741738726,0.17011308670043945,0.11387804097943646,2.1025103388604807,0.3374582062706973,0.06662550253928402,0.1567946327697287,35.160501004977654
bert-base-uncased,pretrained,all,0,ambiguous_open,polysemy,ambiguous,4,random_route,random,8,0,32,8,0.36294944956325315,0.163054171487252,0.2861934349864857,3.2673072368553218,0.4492476064737375,0.1141753741738726,0.17011308670043945,0.10174178158031752,1.9246800907185366,0.31896987566276147,0.056770222914626,0.1477256450786439,35.160501004977654
bert-base-uncased,pretrained,all,2,factual_simple,common,correct,4,within_model,state_pca,8,0,32,8,0.6425450680637081,0.39741171507291706,0.22108453495746044,3.2037276059812334,0.6184962500303768,0.16257267380273938,0.854278564453125,0.3181403792054426,3.1988435406046514,0.5640393418950868,0.1767292360292232,0.5290101490512196,30.384350732254262
bert-base-uncased,pretrained,all,2,factual_simple,common,correct,4,within_model,delta_pca,8,0,32,8,0.613401854927454,0.37938674703430786,0.23910950299606923,3.2037276059812334,0.6184962500303768,0.16257267380273938,0.854278564453125,0.2379748232762199,2.807811957670691,0.4878266323974327,0.13242029766328206,0.371389730400342,30.384350732254262
bert-base-uncased,pretrained,all,2,factual_simple,common,correct,4,random_route,random,8,0,32,8,0.41892892759321554,0.2591059707456513,0.35939027928472633,3.2037276059812334,0.6184962500303768,0.16257267380273938,0.854278564453125,0.1780407765641053,2.6372472754749596,0.42194878429035115,0.10296909962381275,0.30542209748943844,30.384350732254262
bert-base-uncased,pretrained,all,3,ambiguous_open,open,ambiguous,4,within_model,state_pca,8,0,32,8,0.5654809525513554,0.26663333852237703,0.204882699850573,3.25336557081018,0.4715160383729479,0.1207504792900318,0.27474355697631836,0.1930101424365318,2.767113704910091,0.43932919597555975,0.08486101101765586,0.2133286239854839,35.090270575460565
bert-base-uncased,pretrained,all,3,ambiguous_open,open,ambiguous,4,within_model,delta_pca,8,0,32,8,0.33172556221673716,0.15641392292347533,0.3151021154494739,3.25336557081018,0.4715160383729479,0.1207504792900318,0.27474355697631836,0.1270089253027657,2.3469931305314864,0.3563831159058545,0.0467125764794143,0.11896005805491254,35.090270575460565
bert-base-uncased,pretrained,all,3,ambiguous_open,open,ambiguous,4,random_route,random,8,0,32,8,0.33361595417967066,0.1573052730528098,0.31421076532013975,3.25336557081018,0.4715160383729479,0.1207504792900318,0.27474355697631836,0.11115560559906967,1.9858266444030142,0.33340006838492053,0.03886444141337165,0.08660136576348534,35.090270575460565
bert-base-uncased,pretrained,all,4,factual_deep,antonym,error,4,within_model,state_pca,8,0,32,8,0.7277473352128987,0.6444330862267629,0.24108453100812108,3.077931428818605,0.8855176172348853,0.19279405494240454,0.8205795288085938,0.27067231947276904,2.871302579224975,0.5202617797539706,0.2432281563542328,0.5738271361723347,26.25466653841935
