model,match_controls,n_error_prompts,n_correct_pool,scalar_distance_z_mean,scalar_distance_z_median,scalar_distance_z_p90,rho_delta_delta_mean,rho_delta_delta_median,rho_delta_win_rate_error_gt_correct,rho_state_delta_mean,rho_state_delta_median,rho_state_win_rate_error_gt_correct,rho_state_delta_delta_mean,rho_state_delta_delta_median,rho_state_delta_win_rate_error_gt_correct,rho_random_delta_mean,rho_random_delta_median,rho_random_win_rate_error_gt_correct
bert-base-uncased,scalar_final,132,188,0.4397993677590903,0.415252594216377,0.6677010127959416,0.019123301706309916,-0.0016717556718937043,0.49242424242424243,0.04190797250119907,0.018518023420416918,0.553030303030303,0.030971330519652274,0.0018728732242496438,0.5075757575757576,0.026849782396157876,0.0096587277344906,0.5757575757575758
bert-base-uncased,scalar_layer_profile,132,188,5.715038343511501,5.205707841450723,9.824512559877537,0.02878836751221984,0.003334857753800158,0.5454545454545454,-0.0027864136131029466,-0.018914773903052462,0.3712121212121212,0.012369481327051996,-0.009762030343856858,0.4166666666666667,0.016626484766424077,0.008557373394687554,0.5681818181818182
distilbert-base-uncased,scalar_layer_profile,137,183,3.23950998673392,2.5302913251257784,5.784840802559347,-0.03491358159663639,-0.038365482452767385,0.291970802919708,0.010935468903008987,0.010200847336543584,0.5620437956204379,-0.010225631327596577,-0.015445169128928238,0.4306569343065693,-0.007472924155592873,-0.006916121632643213,0.40145985401459855
google/bert_uncased_L-2_H-128_A-2,scalar_layer_profile,300,20,2.5627200436318853,2.2990364312906824,4.141892866124111,-0.00781331953687089,-0.006092063276046212,0.4533333333333333,-0.007979401961743975,-0.010810477506440277,0.4266666666666667,-0.007912968991794748,-0.00866527816565757,0.4266666666666667,-0.00034356186203728713,-0.002660624466885489,0.4766666666666667
