route_role,ece_improvement,nll_improvement,brier_improvement,accuracy_delta,accuracy_loss_rate,calibration_steerability_score,mean_full_vocab_kl,mean_top10_jaccard
high_rho_route,-0.06133044454941664,4.553776071683912,0.3281131029441423,0.3684210526315789,0.0,-0.06133044454941664,0.002426087944532894,0.9425837320574164
low_rho_route,-0.0010636458130501153,1.8683595592866515,0.027467528749549275,0.03508771929824561,0.0,-0.0010636458130501153,0.0025797114969651814,0.9425837320574164
random_route,-0.09023768209063848,4.653944124883833,0.31099978520676685,0.3684210526315789,0.0,-0.09023768209063848,0.001989052064354133,0.9558745348219033
