route,layer,n,rho_mean,rho_median
delta_pca,3,216,0.8915559274156775,0.8893259798940434
delta_pca,5,216,0.9176487133711942,0.9208935628262913
random,3,216,0.8741413295083814,0.8744268032646711
random,5,216,0.14658272744240755,0.10902493879755065
state_pca,3,216,0.8962098557146875,0.9023260146810386
state_pca,5,216,0.9916987395258947,0.9938876441552056
