source,model,prompt_id,task,topic,observed_condition,layer,subspace_family,subspace_k,rep,top_k_output,sign,rho,rho_random_adjusted,entropy,varentropy,confidence,margin,trace_fim,jacobian_fro_norm,fisher_output_fro_norm,grad_entropy_proj_norm,grad_varentropy_proj_norm,logit_norm,latent_step_norm,fisher_output_energy,entropy_target_movement,varentropy_target_movement,observed_reached_entropy_tau,observed_reached_varentropy_tau,cost_entropy_tau,cost_varentropy_tau,neg_log_cost_entropy_tau,neg_log_cost_varentropy_tau,selected_top1_changed,target_correct_changed,full_vocab_top10_jaccard,case_id,prompt,target,direction,epsilon,mode,hidden_step_norm,entropy_before,entropy_after,delta_entropy,abs_delta_entropy,varentropy_before,varentropy_after,delta_varentropy,abs_delta_varentropy,confidence_before,confidence_after,delta_confidence,semantic_entropy_proxy_before,semantic_entropy_proxy_after,delta_semantic_entropy_proxy,semantic_density_uncertainty_before,semantic_density_uncertainty_after,delta_semantic_density_uncertainty,haloscope_style_consistency_risk_before,haloscope_style_consistency_risk_after,delta_haloscope_style_consistency_risk,selected_top1_before,selected_top1_after,target_in_topm,target_top1_before,target_top1_after,target_prob_before,target_prob_after,delta_target_prob,top5_jaccard,top10_jaccard,top1_token_before,top1_token_after,v_access,v_inaccess,semantic_entropy_proxy,semantic_density_uncertainty,haloscope_style_consistency_risk
mlm_topk32_local_linear,distilbert-base-uncased,0,ambiguous_open,open,ambiguous,2,state_pca,8,0.0,32,increase,0.3713398504493843,0.15565975852963337,3.237196790795204,0.5644234892265785,0.1550312247434385,0.7656388282775879,0.2955497457772523,3.6750890793234174,0.5436448710116304,0.1042840570928751,0.3020209687548864,37.45213074673425,0.252160301901132,0.05,0.0212735469346685,0.059168273529833,1,1,0.23706465374629013,0.17046994063397253,1.4394223744330705,1.7691962990684842,0.0,0.0,0.8181818181818182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mlm_topk32_local_linear,distilbert-base-uncased,0,ambiguous_open,open,ambiguous,2,state_pca,8,0.0,32,decrease,0.3713398504493843,0.15565975852963337,3.237196790795204,0.5644234892265785,0.1550312247434385,0.7656388282775879,0.2955497457772523,3.6750890793234174,0.5436448710116304,0.1042840570928751,0.3020209687548864,37.45213074673425,0.252160301901132,0.05,0.0245087384221949,0.0662058830394071,1,1,0.20577175173796608,0.15234918126598568,1.5809877257517706,1.8815801475984286,0.0,0.0,0.8181818181818182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mlm_topk32_local_linear,distilbert-base-uncased,0,ambiguous_open,open,ambiguous,2,delta_pca,8,0.0,32,increase,0.4190480269631012,0.20336793504335027,3.237196790795204,0.5644234892265785,0.1550312247434385,0.7656388282775879,0.2643307099316524,3.62404816041131,0.5141310240898253,0.0909673689640865,0.2749065169277909,37.45213074673425,0.3468639445957724,0.05,0.0229234437372976,0.0639689424381158,1,1,0.3026281291509506,0.2168952190706183,1.195250523749448,1.5283409034825186,0.0,0.0,0.8181818181818182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mlm_topk32_local_linear,distilbert-base-uncased,0,ambiguous_open,open,ambiguous,2,delta_pca,8,0.0,32,decrease,0.4190480269631012,0.20336793504335027,3.237196790795204,0.5644234892265785,0.1550312247434385,0.7656388282775879,0.2643307099316524,3.62404816041131,0.5141310240898253,0.0909673689640865,0.2749065169277909,37.45213074673425,0.3468639445957724,0.05,0.0256115091150621,0.0692745087281514,1,1,0.27086568232856073,0.2002837412861021,1.3061322181351185,1.6080202114167461,0.0,0.0,0.8181818181818182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mlm_topk32_local_linear,distilbert-base-uncased,0,ambiguous_open,open,ambiguous,2,random,8,0.0,32,increase,0.2156800919197509,0.0,3.237196790795204,0.5644234892265785,0.1550312247434385,0.7656388282775879,0.2510620103414383,3.176302296705008,0.5010608848647421,0.0829872112351345,0.2764498384120534,37.45213074673425,0.2459347688246529,0.05,0.0162825057391269,0.0491073286235432,0,1,0.3020846702159251,0.2003242902581722,1.197047935948782,1.6078177742761213,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mlm_topk32_local_linear,distilbert-base-uncased,0,ambiguous_open,open,ambiguous,2,random,8,0.0,32,decrease,0.2156800919197509,0.0,3.237196790795204,0.5644234892265785,0.1550312247434385,0.7656388282775879,0.2510620103414383,3.176302296705008,0.5010608848647421,0.0829872112351345,0.2764498384120534,37.45213074673425,0.2459347688246529,0.05,0.0185463030840167,0.0529449744344081,0,1,0.26521163566727296,0.18580405143406684,1.3272271465677803,1.683062647489934,0.0,0.0,0.8181818181818182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mlm_topk32_local_linear,distilbert-base-uncased,1,factual_deep,plural,error,2,state_pca,8,0.0,32,increase,0.2313840931461397,-0.2604803791247947,3.345476755585988,0.2580657648627065,0.0945495243872175,0.2682723999023437,0.3360700256125453,3.824298052212783,0.5797154695301353,0.0515377083284557,0.134976147982253,41.02540350017071,0.2643067046606356,0.05,0.0110184828375587,0.0284585361083245,0,0,0.4797515384961955,0.37149725994981503,0.7344869372288173,0.9902137904913214,0.0,0.0,0.8181818181818182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mlm_topk32_local_linear,distilbert-base-uncased,1,factual_deep,plural,error,2,state_pca,8,0.0,32,decrease,0.2313840931461397,-0.2604803791247947,3.345476755585988,0.2580657648627065,0.0945495243872175,0.2682723999023437,0.3360700256125453,3.824298052212783,0.5797154695301353,0.0515377083284557,0.134976147982253,41.02540350017071,0.2643067046606356,0.05,0.013388054852705,0.0332285678945601,0,0,0.39483959031917704,0.3181680360096478,0.929275697019917,1.1451756206393913,0.0,0.0,0.8181818181818182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mlm_topk32_local_linear,distilbert-base-uncased,1,factual_deep,plural,error,2,delta_pca,8,0.0,32,increase,0.4485932132806375,-0.04327125899029688,3.345476755585988,0.2580657648627065,0.0945495243872175,0.2682723999023437,0.3324898278773668,3.7449988970989256,0.5766193093171323,0.0717946467856704,0.1803682158554216,41.02540350017071,0.2722408577401216,0.05,0.0156549055145887,0.0375317795403233,0,0,0.34780262006234675,0.2901443641356063,1.056120143846089,1.237376672502438,0.0,0.0,0.8181818181818182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mlm_topk32_local_linear,distilbert-base-uncased,1,factual_deep,plural,error,2,delta_pca,8,0.0,32,decrease,0.4485932132806375,-0.04327125899029688,3.345476755585988,0.2580657648627065,0.0945495243872175,0.2682723999023437,0.3324898278773668,3.7449988970989256,0.5766193093171323,0.0717946467856704,0.1803682158554216,41.02540350017071,0.2722408577401216,0.05,0.0183505109550026,0.0434740298546546,0,1,0.2967120189815805,0.250485964747502,1.2149932436363235,1.3843523889789857,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mlm_topk32_local_linear,distilbert-base-uncased,1,factual_deep,plural,error,2,random,8,0.0,32,increase,0.4918644722709344,0.0,3.345476755585988,0.2580657648627065,0.0945495243872175,0.2682723999023437,0.2862173559605582,3.444305866133724,0.5349928559902069,0.0673028560403951,0.1716064767118501,41.02540350017071,0.3623794853944871,0.05,0.0165039530102859,0.0390850687786719,0,0,0.4391426528767238,0.3708623233557996,0.8229309690863607,0.9919243813239021,0.0,0.0,0.8181818181818182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mlm_topk32_local_linear,distilbert-base-uncased,1,factual_deep,plural,error,2,random,8,0.0,32,decrease,0.4918644722709344,0.0,3.345476755585988,0.2580657648627065,0.0945495243872175,0.2682723999023437,0.2862173559605582,3.444305866133724,0.5349928559902069,0.0673028560403951,0.1716064767118501,41.02540350017071,0.3623794853944871,0.05,0.0190809779484828,0.0447124020547803,0,1,0.3798332416429434,0.32418699845336924,0.9680229603609123,1.1264347739598375,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mlm_topk32_local_linear,distilbert-base-uncased,2,factual_simple,lexical,error,2,state_pca,8,0.0,32,increase,0.2488417337061154,0.0200456001303575,3.3573036259493128,0.2217279162134463,0.0773902095905437,0.1987133026123047,0.3451968305161316,4.173694312861187,0.5875345355944037,0.0569542455503214,0.1364355887590325,37.82056903847374,0.2648923831237519,0.05,0.010594763493458,0.0239438997073644,0,0,0.5000439760402698,0.442521705087629,0.6930592323469631,0.8152657646916268,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mlm_topk32_local_linear,distilbert-base-uncased,2,factual_simple,lexical,error,2,state_pca,8,0.0,32,decrease,0.2488417337061154,0.0200456001303575,3.3573036259493128,0.2217279162134463,0.0773902095905437,0.1987133026123047,0.3451968305161316,4.173694312861187,0.5875345355944037,0.0569542455503214,0.1364355887590325,37.82056903847374,0.2648923831237519,0.05,0.0128182998385133,0.0283672070160218,0,0,0.41330345905604093,0.3735191596044555,0.883573188140555,0.9847859782565136,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mlm_topk32_local_linear,distilbert-base-uncased,2,factual_simple,lexical,error,2,delta_pca,8,0.0,32,increase,0.1107863324103553,-0.11800980116540259,3.3573036259493128,0.2217279162134463,0.0773902095905437,0.1987133026123047,0.3377987631917424,3.8017030584686826,0.5812045794655635,0.0351060922143686,0.0792658144951152,37.82056903847374,0.2825314200657396,0.05,0.0066404389127945,0.0157797082071488,0,0,0.8509420048164912,0.7161892130242111,0.16141130218287406,0.33381088293277705,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mlm_topk32_local_linear,distilbert-base-uncased,2,factual_simple,lexical,error,2,delta_pca,8,0.0,32,decrease,0.1107863324103553,-0.11800980116540259,3.3573036259493128,0.2217279162134463,0.0773902095905437,0.1987133026123047,0.3377987631917424,3.8017030584686826,0.5812045794655635,0.0351060922143686,0.0792658144951152,37.82056903847374,0.2825314200657396,0.05,0.0090521793604114,0.0207753290240779,0,0,0.6242285063447952,0.54397486506865,0.47123878158074717,0.6088522371115511,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mlm_topk32_local_linear,distilbert-base-uncased,2,factual_simple,lexical,error,2,random,8,0.0,32,increase,0.2287961335757579,0.0,3.3573036259493128,0.2217279162134463,0.0773902095905437,0.1987133026123047,0.2596260248015027,3.501911262168384,0.5095351065446843,0.0418713999322219,0.084579365721022,37.82056903847374,0.300522885493085,0.05,0.0101937824629665,0.0200434892110022,0,0,0.5896199699863511,0.5997416564140401,0.5282770682831244,0.5112562891322747,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mlm_topk32_local_linear,distilbert-base-uncased,2,factual_simple,lexical,error,2,random,8,0.0,32,decrease,0.2287961335757579,0.0,3.3573036259493128,0.2217279162134463,0.0773902095905437,0.1987133026123047,0.2596260248015027,3.501911262168384,0.5095351065446843,0.0418713999322219,0.084579365721022,37.82056903847374,0.300522885493085,0.05,0.0122737882817944,0.023486996162468,0,0,0.489698662863279,0.511811529093393,0.7139650507997926,0.669798828950197,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mlm_topk32_local_linear,distilbert-base-uncased,3,ambiguous_open,polysemy,ambiguous,2,state_pca,8,0.0,32,increase,0.2252331793127163,-0.037842688931351176,3.331174043193524,0.3099678301629677,0.0958311094647142,0.0432567596435546,0.2474951253392107,3.463446063921671,0.4974888193107567,0.0596906708677273,0.1368217483355129,38.82015203853334,0.2649942366140123,0.05,0.0121919935268208,0.0280733253028736,0,0,0.43470206251514065,0.37757441807136016,0.8330943963123327,0.9739875957575362,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mlm_topk32_local_linear,distilbert-base-uncased,3,ambiguous_open,polysemy,ambiguous,2,state_pca,8,0.0,32,decrease,0.2252331793127163,-0.037842688931351176,3.331174043193524,0.3099678301629677,0.0958311094647142,0.0432567596435546,0.2474951253392107,3.463446063921671,0.4974888193107567,0.0596906708677273,0.1368217483355129,38.82015203853334,0.2649942366140123,0.05,0.0141579877510089,0.0307669518874897,0,0,0.374338841471492,0.3445180238628226,0.9825938984924779,1.0656088709918645,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mlm_topk32_local_linear,distilbert-base-uncased,3,ambiguous_open,polysemy,ambiguous,2,delta_pca,8,0.0,32,increase,0.2487208936517584,-0.014354974592309083,3.331174043193524,0.3099678301629677,0.0958311094647142,0.0432567596435546,0.2517680269627373,3.4615449079504543,0.5017649120481994,0.0393284111625918,0.0980989410068136,38.82015203853334,0.4201705467383263,0.05,0.0130572097643475,0.0330935921449142,0,0,0.6435839728723592,0.5078572853601786,0.44070276648541346,0.6775548052034536,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mlm_topk32_local_linear,distilbert-base-uncased,3,ambiguous_open,polysemy,ambiguous,2,delta_pca,8,0.0,32,decrease,0.2487208936517584,-0.014354974592309083,3.331174043193524,0.3099678301629677,0.0958311094647142,0.0432567596435546,0.2517680269627373,3.4615449079504543,0.5017649120481994,0.0393284111625918,0.0980989410068136,38.82015203853334,0.4201705467383263,0.05,0.0146156656890523,0.0349436211651045,0,0,0.5749591646079458,0.48096966797238316,0.5534562587798271,0.731951071213239,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
