model,prompt_id,prompt,target,task,topic,observed_condition,layer,subspace_family,subspace_k,rep,rho,v_access,v_inaccess,entropy,varentropy,confidence,rank_whitened_jb,grad_entropy_proj_norm,grad_varentropy_proj_norm,route_role,direction_kind,sign,latent_step_norm,fisher_output_energy,direction_output_energy_unit,first_order_entropy,candidate_set_kl,full_vocab_top10_jaccard,entropy_after,delta_entropy,abs_delta_entropy,varentropy_after,delta_varentropy,abs_delta_varentropy,semantic_entropy_proxy_after,delta_semantic_entropy_proxy,cluster_distribution_l1,embedding_centroid_delta_norm,selected_logit_l2,selected_prob_l1,selected_kl_before_after,rank_displacement_mean,top5_jaccard,selected_top1_changed,target_in_topk,target_correct_changed,delta_target_prob_topk,non_target_mass_delta
distilbert-base-uncased,0,Yesterday they waited near the [MASK].,,ambiguous_open,open,ambiguous,2,delta_pca,8,0,0.439600735951578,0.09885566514966307,0.12602035771612213,3.3668876004536585,0.22487602286578556,0.08445976825083933,8,0.08600178036385135,0.20648315074656598,high_rho_route,accessible,increase,0.22363312970381047,0.05,0.2235804688966353,0.015720660382889703,0.0012613821118428199,1.0,3.3813150350133236,0.014427434559665109,0.014427434559665109,0.19016010483056556,-0.034715918035220006,0.034715918035220006,1.3627487248692032,0.004543475280527565,0.020754235476908245,0.013725077124878172,0.3528538185613165,0.043298834032811054,0.0012613821118428944,0.05040322580645161,1.0,0,0,0,,
distilbert-base-uncased,0,Yesterday they waited near the [MASK].,,ambiguous_open,open,ambiguous,2,delta_pca,8,0,0.439600735951578,0.09885566514966307,0.12602035771612213,3.3668876004536585,0.22487602286578556,0.08445976825083933,8,0.08600178036385135,0.20648315074656598,high_rho_route,accessible,decrease,0.22363312970381047,0.05,0.2235804688966353,-0.015720660382889703,0.0012374533941788782,1.0,3.3499416110713485,-0.016945989382310067,0.016945989382310067,0.2642609362901656,0.03938491342438005,0.03938491342438005,1.3532387202323366,-0.004966529356339011,0.020705401374195243,0.01353433057974752,0.36416695241983904,0.04268994190792719,0.0012374533941788522,0.038306451612903226,1.0,0,0,0,,
distilbert-base-uncased,0,Yesterday they waited near the [MASK].,,ambiguous_open,open,ambiguous,2,state_pca,8,0,0.18214511802346953,0.04096006972553688,0.18391595314024836,3.3668876004536585,0.22487602286578556,0.08445976825083933,8,0.0345695400072507,0.08853578930084569,low_rho_route,accessible,increase,0.42306820943022033,0.05,0.1181842522919389,0.01011929712548466,0.0012670166227265259,0.8181818181818182,3.3757732845289032,0.008885684075244704,0.008885684075244704,0.20072298094985458,-0.024153041915930984,0.024153041915930984,1.3619028008468743,0.0036975512581987058,0.014289859328711546,0.011500051652045627,0.44772292490028925,0.042716753439710486,0.0012670166227263784,0.04435483870967742,1.0,0,0,0,,
distilbert-base-uncased,0,Yesterday they waited near the [MASK].,,ambiguous_open,open,ambiguous,2,state_pca,8,0,0.18214511802346953,0.04096006972553688,0.18391595314024836,3.3668876004536585,0.22487602286578556,0.08445976825083933,8,0.0345695400072507,0.08853578930084569,low_rho_route,accessible,decrease,0.42306820943022033,0.05,0.1181842522919389,-0.01011929712548466,0.001231100870578523,1.0,3.355615395120913,-0.011272205332745422,0.011272205332745422,0.2535471380146255,0.02867111514883991,0.02867111514883991,1.3543807002210861,-0.0038245493675894693,0.013803889236330774,0.01120275926102447,0.40629277154926124,0.042055972831474754,0.0012311008705786844,0.04838709677419355,1.0,0,0,0,,
distilbert-base-uncased,0,Yesterday they waited near the [MASK].,,ambiguous_open,open,ambiguous,2,delta_pca,8,0,0.439600735951578,0.09885566514966307,0.12602035771612213,3.3668876004536585,0.22487602286578556,0.08445976825083933,8,0.08600178036385135,0.20648315074656598,entropy_gradient_route,entropy_gradient,increase,0.16498785892271117,0.05,0.30305260233374254,0.0141892496057731,0.001262433250927713,1.0,3.379787470236501,0.012899869782842632,0.012899869782842632,0.19348026722839373,-0.03139575563739183,0.03139575563739183,1.3622917091452837,0.004086459556608135,0.016837301161873208,0.012984844703507031,0.29931721170316894,0.04190760225347009,0.0012624332509276956,0.04838709677419355,1.0,0,0,0,,
distilbert-base-uncased,0,Yesterday they waited near the [MASK].,,ambiguous_open,open,ambiguous,2,delta_pca,8,0,0.439600735951578,0.09885566514966307,0.12602035771612213,3.3668876004536585,0.22487602286578556,0.08445976825083933,8,0.08600178036385135,0.20648315074656598,entropy_gradient_route,entropy_gradient,decrease,0.16498785892271117,0.05,0.30305260233374254,-0.0141892496057731,0.0012368484406739128,1.0,3.3514734167264413,-0.015414183727217257,0.015414183727217257,0.26099222882306894,0.036116205957283376,0.036116205957283376,1.3536772488831823,-0.004528000705493307,0.017090266383023994,0.012752091072486883,0.30383970702255536,0.040942228166281146,0.0012368484406739492,0.036290322580645164,1.0,0,0,0,,
distilbert-base-uncased,0,Yesterday they waited near the [MASK].,,ambiguous_open,open,ambiguous,2,delta_pca,8,0,0.439600735951578,0.09885566514966307,0.12602035771612213,3.3668876004536585,0.22487602286578556,0.08445976825083933,8,0.08600178036385135,0.20648315074656598,varentropy_gradient_route,varentropy_gradient,increase,0.16254147118369233,0.05,0.30761380240919384,0.0138985887151387,0.001260689436375459,1.0,3.3794757851397774,0.012588184686118886,0.012588184686118886,0.19388278413448995,-0.030993238731295614,0.030993238731295614,1.3621266340487004,0.003921384460024768,0.016267754763463538,0.013085865917336972,0.2944403147522351,0.042699484088276674,0.0012606894363753531,0.04838709677419355,1.0,0,0,0,,
distilbert-base-uncased,0,Yesterday they waited near the [MASK].,,ambiguous_open,open,ambiguous,2,delta_pca,8,0,0.439600735951578,0.09885566514966307,0.12602035771612213,3.3668876004536585,0.22487602286578556,0.08445976825083933,8,0.08600178036385135,0.20648315074656598,varentropy_gradient_route,varentropy_gradient,decrease,0.16254147118369233,0.05,0.30761380240919384,-0.0138985887151387,0.0012385279994072563,1.0,3.3517381920882885,-0.015149408365370043,0.015149408365370043,0.2607847034569236,0.035908680591138054,0.035908680591138054,1.3538479812601347,-0.004357268328540886,0.016540790875347267,0.012878454259001016,0.2986921734065596,0.04179974457644885,0.001238527999407317,0.036290322580645164,1.0,0,0,0,,
distilbert-base-uncased,0,Yesterday they waited near the [MASK].,,ambiguous_open,open,ambiguous,2,random,8,0,0.2879228187230142,0.06474693836673787,0.16012908449904745,3.3668876004536585,0.22487602286578556,0.08445976825083933,8,0.046014685912426544,0.1165731327296719,random_route,accessible,increase,0.29173649399653456,0.05,0.17138753988245958,0.012722709849589613,0.0012540828564606087,1.0,3.378342874380886,0.011455273927227339,0.011455273927227339,0.19501992653011163,-0.02985609633567393,0.02985609633567393,1.3616024610244286,0.0033972114357530003,0.015555118521183436,0.013920173843760226,0.27953585723788055,0.04027360616362942,0.0012540828564605627,0.04435483870967742,1.0,0,0,0,,
distilbert-base-uncased,0,Yesterday they waited near the [MASK].,,ambiguous_open,open,ambiguous,2,random,8,0,0.2879228187230142,0.06474693836673787,0.16012908449904745,3.3668876004536585,0.22487602286578556,0.08445976825083933,8,0.046014685912426544,0.1165731327296719,random_route,accessible,decrease,0.29173649399653456,0.05,0.17138753988245958,-0.012722709849589613,0.0012441302631243352,0.8181818181818182,3.352934268653491,-0.013953331800167668,0.013953331800167668,0.25973792438489024,0.03486190151910468,0.03486190151910468,1.3544040447641237,-0.003801204824551929,0.015896259393239992,0.01413098065814956,0.28440702238189947,0.039821990034983955,0.0012441302631243214,0.036290322580645164,1.0,0,0,0,,
