model,prompt_id,task,topic,observed_condition,layer,subspace_family,subspace_k,rep,top_k_output,rank_whitened_jb,rho,v_access,v_inaccess,entropy,varentropy,confidence,margin,trace_fim,jacobian_fro_norm,fisher_output_fro_norm,grad_entropy_proj_norm,grad_varentropy_proj_norm,logit_norm
distilbert-base-uncased,0,ambiguous_open,open,ambiguous,2,state_pca,8,0,16,8,0.696231870158657,0.3322288605050526,0.1449524848840127,2.5616199390116323,0.4771813453890651,0.222284951548505,0.7656388282775879,0.2840517958619428,2.598476009094456,0.53296509816492,0.1282541161169956,0.3238934508747151,27.80994983064114
distilbert-base-uncased,0,ambiguous_open,open,ambiguous,2,delta_pca,8,0,16,8,0.6673225251899265,0.3184338603785572,0.1587474850105084,2.5616199390116323,0.4771813453890651,0.222284951548505,0.7656388282775879,0.2571984439310371,2.6518106397488355,0.5071473591876794,0.1368400998844328,0.333359614840027,27.80994983064114
distilbert-base-uncased,0,ambiguous_open,open,ambiguous,2,random,8,0,16,8,0.604951057454969,0.2886713594908995,0.1885099858981655,2.5616199390116323,0.4771813453890651,0.222284951548505,0.7656388282775879,0.239365800601682,2.1384334410672663,0.4892502433332885,0.1265011614833573,0.3456496233002752,27.80994983064114
distilbert-base-uncased,0,ambiguous_open,open,ambiguous,2,state_pca,8,0,32,8,0.3713398504493843,0.2095929340795173,0.3548305551470612,3.237196790795204,0.5644234892265785,0.1550312247434385,0.7656388282775879,0.2955497457772523,3.6750890793234174,0.5436448710116304,0.1042840570928751,0.3020209687548864,37.45213074673425
distilbert-base-uncased,0,ambiguous_open,open,ambiguous,2,delta_pca,8,0,32,8,0.4190480269631012,0.2365205495320269,0.3279029396945512,3.237196790795204,0.5644234892265785,0.1550312247434385,0.7656388282775879,0.2643307099316524,3.62404816041131,0.5141310240898253,0.0909673689640865,0.2749065169277909,37.45213074673425
distilbert-base-uncased,0,ambiguous_open,open,ambiguous,2,random,8,0,32,8,0.2156800919197509,0.1217349100380549,0.4426885791885237,3.237196790795204,0.5644234892265785,0.1550312247434385,0.7656388282775879,0.2510620103414383,3.176302296705008,0.5010608848647421,0.0829872112351345,0.2764498384120534,37.45213074673425
distilbert-base-uncased,0,ambiguous_open,open,ambiguous,2,state_pca,8,0,64,8,0.3004258672706714,0.1859256798802955,0.4329480594864419,3.924835089172389,0.6188737393667374,0.1071371142106868,0.7656388282775879,0.2845954238229768,5.031728438242073,0.5334748577233765,0.090611204069265,0.2909840537849691,50.42540024511612
distilbert-base-uncased,0,ambiguous_open,open,ambiguous,2,delta_pca,8,0,64,8,0.2272494550168176,0.1406387199953111,0.4782350193714262,3.924835089172389,0.6188737393667374,0.1071371142106868,0.7656388282775879,0.2675771288302702,5.085228186544167,0.5172785795200399,0.0774589234608578,0.2534285968619462,50.42540024511612
distilbert-base-uncased,0,ambiguous_open,open,ambiguous,2,random,8,0,64,8,0.2031723916751565,0.1257380577720875,0.4931356815946498,3.924835089172389,0.6188737393667374,0.1071371142106868,0.7656388282775879,0.2496054024816615,4.370742533418404,0.4996052466514553,0.0818550236376337,0.2772719041076865,50.42540024511612
distilbert-base-uncased,0,ambiguous_open,open,ambiguous,2,state_pca,8,0,128,8,0.1948382373566201,0.1291538701067462,0.5337235602117736,4.611882739162105,0.6628774303185212,0.0742085102553793,0.7656388282775879,0.2805285451689413,6.9376828989840345,0.529649454987864,0.0820171856795938,0.2776642842346441,67.64386541317796
distilbert-base-uncased,0,ambiguous_open,open,ambiguous,2,delta_pca,8,0,128,8,0.1190562876532756,0.0789197260228658,0.5839577042956541,4.611882739162105,0.6628774303185212,0.0742085102553793,0.7656388282775879,0.2613832352951885,6.982036836491054,0.5112565259194141,0.0531669431393882,0.2078439888990478,67.64386541317796
distilbert-base-uncased,0,ambiguous_open,open,ambiguous,2,random,8,0,128,8,0.1083510571994143,0.0718234703686427,0.5910539599498772,4.611882739162105,0.6628774303185212,0.0742085102553793,0.7656388282775879,0.2536862897502084,6.206296127929984,0.5036728002882511,0.0579345736596396,0.2238273574246192,67.64386541317796
distilbert-base-uncased,0,ambiguous_open,open,ambiguous,2,state_pca,8,0,256,8,0.1181207695310509,0.0911553999401765,0.6805581632381781,5.264222711151235,0.7717135631783554,0.0537634222192777,0.7656388282775879,0.2784789646808242,9.69578678525896,0.5277110617381677,0.0693174727495899,0.256204351117891,89.30429400438209
distilbert-base-uncased,0,ambiguous_open,open,ambiguous,2,delta_pca,8,0,256,8,0.0952115084153407,0.0734760124147884,0.6982375507635661,5.264222711151235,0.7717135631783554,0.0537634222192777,0.7656388282775879,0.2701147466264113,10.18790869867368,0.5197256455346526,0.0534491694283763,0.2052706256766369,89.30429400438209
distilbert-base-uncased,0,ambiguous_open,open,ambiguous,2,random,8,0,256,8,0.071147314801332,0.054905347815908,0.7168082153624465,5.264222711151235,0.7717135631783554,0.0537634222192777,0.7656388282775879,0.2555128555449008,8.816993715001972,0.5054827945092699,0.0464309734371437,0.1920111714705585,89.30429400438209
distilbert-base-uncased,1,factual_deep,plural,error,2,state_pca,8,0,16,8,0.6324167610118381,0.0944999937246905,0.0549267760109737,2.706071592624262,0.1494267697356641,0.1385264088303191,0.2682723999023437,0.3154467305377444,2.744744511181387,0.561646446207705,0.0589010969513141,0.1391200324403269,30.43521319229974
distilbert-base-uncased,1,factual_deep,plural,error,2,delta_pca,8,0,16,8,0.6500008302470929,0.0971275243893229,0.0522992453463412,2.706071592624262,0.1494267697356641,0.1385264088303191,0.2682723999023437,0.3157853767855064,2.7027154437575613,0.5619478416948556,0.070753105550412,0.1732238446519648,30.43521319229974
distilbert-base-uncased,1,factual_deep,plural,error,2,random,8,0,16,8,0.8652199938151064,0.1292870287865028,0.0201397409491615,2.706071592624262,0.1494267697356641,0.1385264088303191,0.2682723999023437,0.2994927157456251,2.545441646396472,0.5472592765277031,0.0772978248876781,0.1796154089647092,30.43521319229974
distilbert-base-uncased,1,factual_deep,plural,error,2,state_pca,8,0,32,8,0.2313840931461397,0.0597123129748223,0.1983534518878842,3.345476755585988,0.2580657648627065,0.0945495243872175,0.2682723999023437,0.3360700256125453,3.824298052212783,0.5797154695301353,0.0515377083284557,0.134976147982253,41.02540350017071
distilbert-base-uncased,1,factual_deep,plural,error,2,delta_pca,8,0,32,8,0.4485932132806375,0.115766550697487,0.14229921416522,3.345476755585988,0.2580657648627065,0.0945495243872175,0.2682723999023437,0.3324898278773668,3.7449988970989256,0.5766193093171323,0.0717946467856704,0.1803682158554216,41.02540350017071
distilbert-base-uncased,1,factual_deep,plural,error,2,random,8,0,32,8,0.4918644722709344,0.1269333812453902,0.1311323836173165,3.345476755585988,0.2580657648627065,0.0945495243872175,0.2682723999023437,0.2862173559605582,3.444305866133724,0.5349928559902069,0.0673028560403951,0.1716064767118501,41.02540350017071
distilbert-base-uncased,1,factual_deep,plural,error,2,state_pca,8,0,64,8,0.1335955568233851,0.0612885214850686,0.3974731539955973,3.943120758065844,0.4587616754806655,0.0702180077974373,0.2682723999023437,0.3608949820050893,5.673204685862041,0.6007453553753781,0.0482307363993302,0.1325291273882619,54.26090419541044
distilbert-base-uncased,1,factual_deep,plural,error,2,delta_pca,8,0,64,8,0.2399420082585085,0.1100761977268691,0.3486854777537966,3.943120758065844,0.4587616754806655,0.0702180077974373,0.2682723999023437,0.3410736637971873,5.350179593793344,0.5840151229182231,0.0663684199998694,0.1807533151447714,54.26090419541044
distilbert-base-uncased,1,factual_deep,plural,error,2,random,8,0,64,8,0.4138062889196756,0.1898384664292269,0.2689232090514389,3.943120758065844,0.4587616754806655,0.0702180077974373,0.2682723999023437,0.2990267462457671,4.967320283228179,0.5468333806981494,0.0801632665260729,0.2012087312887764,54.26090419541044
distilbert-base-uncased,1,factual_deep,plural,error,2,state_pca,8,0,128,8,0.1011091285322228,0.0711202269567035,0.6322804252805265,4.5347629706481545,0.70340065223723,0.0537944678251716,0.2682723999023437,0.3521708130957344,7.7012873128961905,0.5934398142151691,0.0530104912159999,0.1377130876165988,71.17382728762513
distilbert-base-uncased,1,factual_deep,plural,error,2,delta_pca,8,0,128,8,0.1338088682778815,0.0941212452217874,0.6092794070154426,4.5347629706481545,0.70340065223723,0.0537944678251716,0.2682723999023437,0.3342891161565005,7.440313899382001,0.5781774088949693,0.0610326009649282,0.1872072168785414,71.17382728762513
distilbert-base-uncased,1,factual_deep,plural,error,2,random,8,0,128,8,0.2705786129488248,0.1903251728296484,0.5130754794075816,4.5347629706481545,0.70340065223723,0.0537944678251716,0.2682723999023437,0.2917609271050131,6.850324995494764,0.54014898602609,0.0827172151321903,0.2236346903801058,71.17382728762513
distilbert-base-uncased,1,factual_deep,plural,error,2,state_pca,8,0,256,8,0.1228354159966201,0.1166307269086157,0.8328570569063136,5.147682205004591,0.9494877838149282,0.0413405392184833,0.2682723999023437,0.3555721696104512,10.62993404406601,0.5962987251457538,0.0668329750670066,0.1686850787087597,93.22182548652684
distilbert-base-uncased,1,factual_deep,plural,error,2,delta_pca,8,0,256,8,0.1364766527346392,0.1295829145474922,0.8199048692674371,5.147682205004591,0.9494877838149282,0.0413405392184833,0.2682723999023437,0.3364811095673433,10.434252547888104,0.5800699178265869,0.069454897582367,0.2038617815996072,93.22182548652684
distilbert-base-uncased,1,factual_deep,plural,error,2,random,8,0,256,8,0.2416291867214155,0.2294239610051205,0.7200638228098085,5.147682205004591,0.9494877838149282,0.0413405392184833,0.2682723999023437,0.2916352696797212,9.783881215490345,0.5400326561234248,0.0935666788820688,0.2658901436089235,93.22182548652684
distilbert-base-uncased,2,factual_simple,lexical,error,2,state_pca,8,0,16,8,0.4351799889638838,0.0442188019530904,0.0573915732352783,2.7211694770238664,0.1016103751883686,0.1126851321324625,0.1987133026123047,0.3181779950985037,2.812198991974674,0.5640726860064257,0.0619692341655355,0.1324335535962342,28.19173716380119
distilbert-base-uncased,2,factual_simple,lexical,error,2,delta_pca,8,0,16,8,0.5288076056265751,0.0537323392101792,0.0478780359781895,2.7211694770238664,0.1016103751883686,0.1126851321324625,0.1987133026123047,0.3246030771906991,2.662490906194225,0.5697394818605247,0.0397141216629505,0.0838718407037431,28.19173716380119
distilbert-base-uncased,2,factual_simple,lexical,error,2,random,8,0,16,8,0.4361846614664994,0.0443208871030226,0.0572894880853461,2.7211694770238664,0.1016103751883686,0.1126851321324625,0.1987133026123047,0.2650247939882501,2.617481318349701,0.5148055885363426,0.0412134834982427,0.0715652980651942,28.19173716380119
distilbert-base-uncased,2,factual_simple,lexical,error,2,state_pca,8,0,32,8,0.2488417337061154,0.0551751590815983,0.1665527571318482,3.3573036259493128,0.2217279162134463,0.0773902095905437,0.1987133026123047,0.3451968305161316,4.173694312861187,0.5875345355944037,0.0569542455503214,0.1364355887590325,37.82056903847374
distilbert-base-uncased,2,factual_simple,lexical,error,2,delta_pca,8,0,32,8,0.1107863324103553,0.0245644226302783,0.1971634935831684,3.3573036259493128,0.2217279162134463,0.0773902095905437,0.1987133026123047,0.3377987631917424,3.8017030584686826,0.5812045794655635,0.0351060922143686,0.0792658144951152,37.82056903847374
distilbert-base-uncased,2,factual_simple,lexical,error,2,random,8,0,32,8,0.2287961335757579,0.0507304899354462,0.1709974262780004,3.3573036259493128,0.2217279162134463,0.0773902095905437,0.1987133026123047,0.2596260248015027,3.501911262168384,0.5095351065446843,0.0418713999322219,0.084579365721022,37.82056903847374
distilbert-base-uncased,2,factual_simple,lexical,error,2,state_pca,8,0,64,8,0.0817016066201992,0.0317074815962366,0.3563813566518664,3.975054437197358,0.3880888382481017,0.0558464952752289,0.1987133026123047,0.3610950575456725,5.775589559945234,0.600911855055026,0.036895128372062,0.1110508100099911,50.10994691042416
distilbert-base-uncased,2,factual_simple,lexical,error,2,delta_pca,8,0,64,8,0.0895650302423995,0.034759188534429,0.353329649713674,3.975054437197358,0.3880888382481017,0.0558464952752289,0.1987133026123047,0.3421934326192638,5.31480648223804,0.5849730187104905,0.0373301358420409,0.0902241028683645,50.10994691042416
distilbert-base-uncased,2,factual_simple,lexical,error,2,random,8,0,64,8,0.249673678069982,0.0968955676633102,0.2911932705847929,3.975054437197358,0.3880888382481017,0.0558464952752289,0.1987133026123047,0.2748976862349638,4.944563287982417,0.5243068626624716,0.0521814929958195,0.1065250983587109,50.10994691042416
