top_k_output,reference_top_k,n,rho_spearman_vs_ref,rho_abs_diff_mean_vs_ref
16,32,483,0.7669921389518588,0.1831355458119164
32,32,483,0.9999999999999998,0.0
64,32,483,0.9133293190662846,0.09986976698813305
128,32,483,0.8439105791130456,0.15900316415124185
256,32,483,0.7881914306971298,0.19428261155934
