top_k_output,model,subspace_family,subspace_k,n,rho_mean,rho_std,entropy_mean,varentropy_mean,grad_entropy_proj_norm_mean,grad_varentropy_proj_norm_mean,fisher_output_fro_norm_mean
16,bert-base-uncased,delta_pca,8,46,0.6845246449174016,0.18960799360213876,2.391610557220727,0.7351316146079739,0.10029778455115378,0.19813457229248155,0.3296877293270915
16,bert-base-uncased,random,8,69,0.7220256416669352,0.16352605288124514,2.276288941454421,0.8644981657815339,0.1224731068442913,0.22302179624634708,0.32603828464630863
16,bert-base-uncased,state_pca,8,69,0.7501612305488727,0.1637062716253018,2.276288941454421,0.8644981657815339,0.16680329424699938,0.30794107078758565,0.4282286171312146
16,distilbert-base-uncased,delta_pca,8,46,0.7059475035484354,0.14741959744784125,2.572672124718389,0.43154820210730377,0.1075922023448476,0.24258479715034634,0.45911569539877684
16,distilbert-base-uncased,random,8,69,0.6811053178049875,0.16601621225430344,2.467542460012333,0.5494837305112668,0.11452787519456127,0.24172506881773378,0.44765619431065684
16,distilbert-base-uncased,state_pca,8,69,0.7278581565528726,0.1341078415692487,2.467542460012333,0.5494837305112668,0.14928022699002544,0.3143876544477726,0.5258391623729552
16,google/bert_uncased_L-2_H-128_A-2,delta_pca,8,23,0.710696235921877,0.13193880380116074,2.55828132038191,0.4204821169771957,0.14956874215570637,0.31667107896905783,0.6181384264881545
16,google/bert_uncased_L-2_H-128_A-2,random,8,46,0.6266065107602705,0.1732034722206142,2.47213725812103,0.5750915045702893,0.10795001590319571,0.22024775347328554,0.4674894205408913
16,google/bert_uncased_L-2_H-128_A-2,state_pca,8,46,0.6198142705811271,0.18759074799034722,2.47213725812103,0.5750915045702893,0.1170408346679634,0.2183437277883975,0.461707184677909
32,bert-base-uncased,delta_pca,8,46,0.5243428079571549,0.21505239575194604,2.9646496225157155,1.0533268599924472,0.11254783786231673,0.24098265140983663,0.33892112121321954
32,bert-base-uncased,random,8,69,0.5588058011366148,0.19971953730847108,2.7877505485386154,1.2305355905897188,0.13540809489189276,0.26484280114463504,0.33951035159382037
32,bert-base-uncased,state_pca,8,69,0.6045977571550332,0.20482183464926312,2.7877505485386154,1.2305355905897188,0.1862881018041478,0.3649706191509916,0.44026185348595603
32,distilbert-base-uncased,delta_pca,8,46,0.4997796974336127,0.186863590259466,3.20878926022609,0.5976790091825575,0.11070748297514646,0.27594621223468385,0.4683647003512697
32,distilbert-base-uncased,random,8,69,0.48770275260543533,0.17819862585614346,3.043909472698322,0.7789581407665043,0.12209756897519579,0.2789659665551863,0.459931198351909
32,distilbert-base-uncased,state_pca,8,69,0.5270449915119539,0.18858615401576598,3.043909472698322,0.7789581407665043,0.1617993687666328,0.3747194876951668,0.542545368955697
32,google/bert_uncased_L-2_H-128_A-2,delta_pca,8,23,0.5265800379857718,0.11737629866476644,3.101060944892971,0.7373501569347011,0.17025188006675016,0.3835067030069928,0.6288963137687368
32,google/bert_uncased_L-2_H-128_A-2,random,8,46,0.4480958078376967,0.1590662600454782,3.025463599868249,0.9028944310910402,0.12068393281829229,0.26500631540251324,0.48752016757985256
32,google/bert_uncased_L-2_H-128_A-2,state_pca,8,46,0.42437850917614595,0.16333845224703628,3.025463599868249,0.9028944310910402,0.1353364792092028,0.26622152076673716,0.4964283838123049
64,bert-base-uncased,delta_pca,8,46,0.43265366013319156,0.21799523323065823,3.543671969226842,1.4046502341115101,0.12293502199707226,0.2878437637198173,0.346205531247668
64,bert-base-uncased,random,8,69,0.4665428821180244,0.21283803346182395,3.2933601984638514,1.635032903591969,0.1473500401255906,0.31125083012529264,0.3474388260449303
64,bert-base-uncased,state_pca,8,69,0.5305356137130027,0.19856576100010603,3.2933601984638514,1.635032903591969,0.20404751109349833,0.4330431428313477,0.4476041694242241
64,distilbert-base-uncased,delta_pca,8,46,0.3578251712095172,0.19725884570829305,3.844129322120883,0.7775616733280637,0.10846856255234044,0.30244529906741763,0.4721203234891469
64,distilbert-base-uncased,random,8,69,0.38280967960981477,0.18330232056633386,3.6051015428181543,1.0371892597866856,0.13024706186806967,0.3155118484814852,0.4677902484684872
64,distilbert-base-uncased,state_pca,8,69,0.42722050150859203,0.20729962231472682,3.6051015428181543,1.0371892597866856,0.17131124070849119,0.43213929595277134,0.5519290409271498
64,google/bert_uncased_L-2_H-128_A-2,delta_pca,8,23,0.48062154469780755,0.11536932133039868,3.620368835341145,1.134943617682275,0.19689039639553202,0.46080133287727837,0.6346251759763125
64,google/bert_uncased_L-2_H-128_A-2,random,8,46,0.36054148474188585,0.1289829944412602,3.5556676805314202,1.3037907876479757,0.1395953676634662,0.3144161561626149,0.5052106808713852
64,google/bert_uncased_L-2_H-128_A-2,state_pca,8,46,0.33412714758315565,0.15391242811459818,3.5556676805314202,1.3037907876479757,0.1580635101762971,0.3194067231968553,0.5217440346195478
128,bert-base-uncased,delta_pca,8,46,0.3695189703269435,0.21855075481224998,4.122463446381062,1.7882226145915627,0.1301837525273938,0.33387648004974346,0.35062139196472786
128,bert-base-uncased,random,8,69,0.3982642680368488,0.21471293358664045,3.788155604181224,2.076752434898177,0.1556769663056639,0.35547685309231186,0.3530691630301849
128,bert-base-uncased,state_pca,8,69,0.479790456721992,0.2066579305127202,3.788155604181224,2.076752434898177,0.219336600307287,0.5007223815436562,0.453308724083483
128,distilbert-base-uncased,delta_pca,8,46,0.27893084994250444,0.1918852773581101,4.478522431650359,0.9714948463896719,0.1057345856537145,0.3256444453645067,0.47530490328940905
128,distilbert-base-uncased,random,8,69,0.30581849852074594,0.1789496537557669,4.157624242990034,1.319049294481087,0.13488410483098953,0.3527594297783305,0.4743872611834628
128,distilbert-base-uncased,state_pca,8,69,0.37222940786744496,0.21746606346366826,4.157624242990034,1.319049294481087,0.17944112769302667,0.4862217377004889,0.5566513162339127
128,google/bert_uncased_L-2_H-128_A-2,delta_pca,8,23,0.45841578892094564,0.11417159209423594,4.117265312065217,1.615611784935669,0.22609819644187762,0.5452187735075218,0.638748206730056
128,google/bert_uncased_L-2_H-128_A-2,random,8,46,0.3087559590296478,0.11189109550430339,4.0588086704513895,1.7833888162978115,0.15731245902517482,0.3631966515390131,0.517756019481079
128,google/bert_uncased_L-2_H-128_A-2,state_pca,8,46,0.2817312230934489,0.14613835259499164,4.0588086704513895,1.7833888162978115,0.17971836514635164,0.3711906296083666,0.5398856350806504
256,bert-base-uncased,delta_pca,8,46,0.32671438016422644,0.21058275013720168,4.689353595891643,2.2133296599420347,0.136930321534942,0.38178977800309377,0.35382217517655973
256,bert-base-uncased,random,8,69,0.353866761089191,0.2189710668958995,4.265314417954834,2.562724199700688,0.16355478255825784,0.3983193070126255,0.35793352712139964
256,bert-base-uncased,state_pca,8,69,0.4515171189324752,0.2093754159315571,4.265314417954834,2.562724199700688,0.23490570868988941,0.5708136027540859,0.45734026808255995
256,distilbert-base-uncased,delta_pca,8,46,0.22877677602653929,0.1756204846066622,5.107898516878426,1.1855803720683964,0.10386226979830271,0.3482129133672836,0.4773539886941182
256,distilbert-base-uncased,random,8,69,0.26218230149727273,0.1719490348716264,4.697483917199283,1.6289362148427355,0.13956278601876923,0.3876750445946858,0.47784015689523585
256,distilbert-base-uncased,state_pca,8,69,0.34055595604554834,0.21852543044000827,4.697483917199283,1.6289362148427355,0.18810563933047086,0.539188185526333,0.5597860699688567
256,google/bert_uncased_L-2_H-128_A-2,delta_pca,8,23,0.4505616841543776,0.09781734854899338,4.594164174786996,2.180348138113405,0.2588282389621931,0.6372592418688564,0.643138875272326
