pair_id,corruption,low_flip_rate,high_flip_rate,low_minus_high_flip_rate,low_true_prob_drop,high_true_prob_drop,low_minus_high_true_prob_drop,low_entropy_increase,high_entropy_increase,low_minus_high_entropy_increase,low_robust_accuracy,high_robust_accuracy,high_minus_low_robust_accuracy
0,brightness,0.0,0.0,0.0,-0.07469280186132249,0.008353541400216916,-0.08304634326153941,-0.18982572697742728,0.008459679346136673,-0.19828540632356395,1.0,1.0,0.0
0,contrast,0.0,0.0,0.0,0.0754328831477795,0.04688854160621623,0.028544341541563274,0.1382389340188445,-0.015452374068971006,0.1536913080878155,1.0,1.0,0.0
0,gaussian_noise,0.0,0.0,0.0,0.02781610620610973,0.0016519573536065886,0.026164148852503143,0.05893217080158427,0.011013277295377563,0.047918893506206706,1.0,1.0,0.0
0,jpeg_compression,0.0,0.0,0.0,0.002485307001459084,-0.0004187279731483288,0.002904034974607413,0.0045337772545473625,0.0007098024240648204,0.003823974830482542,1.0,1.0,0.0
1,brightness,0.0,0.3333333333333333,-0.3333333333333333,-0.17226464307454306,-0.043146284214858444,-0.12911835885968462,-0.47858416176817187,-0.36840491947943144,-0.11017924228874043,1.0,0.6666666666666666,-0.33333333333333337
1,contrast,0.0,0.6666666666666666,-0.6666666666666666,-0.025379346619603782,0.11118978175758987,-0.13656912837719365,-0.2573423277508646,0.17273591692104998,-0.4300782446719146,1.0,0.3333333333333333,-0.6666666666666667
1,gaussian_noise,0.0,0.0,0.0,0.008321531319968342,0.0025733938350404237,0.005748137484927918,0.03648606918043451,0.006294572950194126,0.030191496230240384,1.0,1.0,0.0
1,jpeg_compression,0.0,0.0,0.0,0.017567924004078417,0.0017305347193376879,0.015837389284740728,0.0417581081186138,0.009074810657844434,0.03268329746076937,1.0,1.0,0.0
2,brightness,0.0,0.0,0.0,-0.25745717604945373,-0.018444825382255003,-0.23901235066719873,-0.753334455868156,-0.07321368440755423,-0.6801207714606017,1.0,1.0,0.0
2,contrast,0.0,0.3333333333333333,-0.3333333333333333,0.038809848212729016,0.09973482612720035,-0.06092497791447133,-0.032940498586471335,0.26504827650111146,-0.2979887750875828,1.0,0.6666666666666666,-0.33333333333333337
2,gaussian_noise,0.0,0.0,0.0,0.0005862454795791394,0.026905652104303717,-0.026319406624724578,0.0029548995804451472,0.07978010419683053,-0.07682520461638538,1.0,1.0,0.0
2,jpeg_compression,0.0,0.0,0.0,0.02506240932769055,0.007595303412152217,0.017467105915538333,0.0493162543206019,0.018944510779712525,0.030371743540889378,1.0,1.0,0.0
3,brightness,0.0,0.0,0.0,0.009059896329411362,-0.11881303051975889,0.12787292684917026,0.003278033600996988,-0.18618299498313237,0.18946102858412936,1.0,1.0,0.0
3,contrast,0.0,1.0,-1.0,-0.0056978517170935454,0.433482143689917,-0.4391799954070105,-0.020081964584304706,-0.5115353016111094,0.49145333702680466,1.0,0.0,-1.0
3,gaussian_noise,0.0,0.0,0.0,0.0006604193844452025,0.00039776343536705266,0.0002626559490781499,0.007093748875716603,0.011661820423852812,-0.004568071548136209,1.0,1.0,0.0
3,jpeg_compression,0.0,0.0,0.0,0.001136099250546881,0.014191080760128316,-0.013054981509581435,0.00534179318489784,0.0079177732767813,-0.0025759800918834603,1.0,1.0,0.0
4,brightness,0.0,0.0,0.0,-0.04047358357912084,-0.21907796050912717,0.17860437693000633,-0.20743328910955028,-0.4729327746438135,0.2654994855342632,1.0,1.0,0.0
4,contrast,0.0,0.0,0.0,-0.025472992209625917,-0.04771128668732751,0.022238294477701596,-0.2558653591275435,-0.04550158832837603,-0.21036377079916746,1.0,1.0,0.0
