rho_group,corruption,severity,n,rho_mean,clean_confidence_mean,answer_flip_rate,corruption_error_rate,true_prob_drop_mean,entropy_increase_mean,margin_drop_mean,robust_accuracy
high_rho,brightness,1,12,0.96412122398353,0.3784001666923003,0.08333333333333333,0.08333333333333333,-0.028000529606349005,-0.06139270490148891,-0.03439332977520263,0.9166666666666666
high_rho,brightness,3,12,0.96412122398353,0.3784001666923003,0.3333333333333333,0.3333333333333333,-0.02974016511555491,-0.22775780887825448,-0.1110949836580918,0.6666666666666666
high_rho,brightness,5,12,0.96412122398353,0.3784001666923003,0.25,0.25,-0.09208130782615505,-0.3312376089705249,-0.2090378881807519,0.75
high_rho,contrast,1,12,0.96412122398353,0.3784001666923003,0.08333333333333333,0.08333333333333333,0.027214597233629807,0.018972588119751815,0.016546273384259857,0.9166666666666666
high_rho,contrast,3,12,0.96412122398353,0.3784001666923003,0.25,0.25,0.09054578603766383,0.03512557117986818,-0.01052774891944685,0.75
high_rho,contrast,5,12,0.96412122398353,0.3784001666923003,0.3333333333333333,0.3333333333333333,0.12176110540875423,0.010613980383857266,-0.03778153933440297,0.6666666666666666
high_rho,gaussian_noise,1,12,0.96412122398353,0.3784001666923003,0.0,0.0,0.00279937227281959,0.006692567567735379,0.003177548283838728,1.0
high_rho,gaussian_noise,3,12,0.96412122398353,0.3784001666923003,0.0,0.0,0.0031560050909175733,0.012197139093817385,-0.0017726644601857092,1.0
high_rho,gaussian_noise,5,12,0.96412122398353,0.3784001666923003,0.0,0.0,0.009903564025684264,0.027908323222674253,0.006251222120041459,1.0
high_rho,jpeg_compression,1,12,0.96412122398353,0.3784001666923003,0.0,0.0,0.002796373386641904,0.0037657771023101214,0.005413818418477895,1.0
high_rho,jpeg_compression,3,12,0.96412122398353,0.3784001666923003,0.0,0.0,0.0032157211748477244,0.007668682026037636,0.003504012356954319,1.0
high_rho,jpeg_compression,5,12,0.96412122398353,0.3784001666923003,0.0,0.0,0.00036170876814601666,0.007898021223167248,-0.000533318188840314,1.0
low_rho,brightness,1,12,0.8361018144948789,0.39428703254691183,0.0,0.0,-0.033215983902116455,-0.10550904745215921,-0.018565070199908117,1.0
low_rho,brightness,3,12,0.8361018144948789,0.39428703254691183,0.25,0.25,-0.07464168312388719,-0.25992228037415815,-0.05510324671083255,0.75
low_rho,brightness,5,12,0.8361018144948789,0.39428703254691183,0.3333333333333333,0.3333333333333333,-0.09754126151264349,-0.3924162791629812,-0.12114246144709138,0.6666666666666666
low_rho,contrast,1,12,0.8361018144948789,0.39428703254691183,0.0,0.0,0.023116031731154202,0.02886768819542676,0.03175221353909652,1.0
low_rho,contrast,3,12,0.8361018144948789,0.39428703254691183,0.08333333333333333,0.08333333333333333,0.008351497462350385,-0.07488017701565623,0.030253581516064918,0.9166666666666666
low_rho,contrast,5,12,0.8361018144948789,0.39428703254691183,0.08333333333333333,0.08333333333333333,0.035655744987270706,0.0024466393570611125,0.050116324082713576,0.9166666666666666
low_rho,gaussian_noise,1,12,0.8361018144948789,0.39428703254691183,0.0,0.0,0.004384910346134141,0.011661703538170401,0.004527718920993805,1.0
low_rho,gaussian_noise,3,12,0.8361018144948789,0.39428703254691183,0.0,0.0,0.011110617622642533,0.02798305042755995,0.010527140032179555,1.0
low_rho,gaussian_noise,5,12,0.8361018144948789,0.39428703254691183,0.0,0.0,0.016761706967696913,0.042117785239644434,0.015162752989167494,1.0
low_rho,jpeg_compression,1,12,0.8361018144948789,0.39428703254691183,0.0,0.0,0.004810094540284239,0.010403324060954669,0.004251302959068154,1.0
low_rho,jpeg_compression,3,12,0.8361018144948789,0.39428703254691183,0.0,0.0,0.009140741776491415,0.020163723824389652,0.010552491035941742,1.0
low_rho,jpeg_compression,5,12,0.8361018144948789,0.39428703254691183,0.0,0.0,0.010254345473251542,0.022236491638328398,0.010999051891916784,1.0
