model,init_state,split,prompt_id,task,topic,observed_condition,layer,route_source,subspace_family,subspace_k,rep,top_k_output,rank_whitened_jb,rho,v_access,v_inaccess,entropy,varentropy,confidence,margin,trace_fim,jacobian_fro_norm,fisher_output_fro_norm,grad_entropy_proj_norm,grad_varentropy_proj_norm,logit_norm
distilbert-base-uncased,pretrained,train,4,factual_deep,antonym,error,2,train_route,state_pca,8,0,32,8,0.30369822235611105,0.1129872565588362,0.2590506687285544,3.3127362877764965,0.37203792528738955,0.11668759502719192,0.22549152374267578,0.3117343277078726,3.4366675568887906,0.5583317362535222,0.05850608378656953,0.16464695475294827,29.021976096349594
distilbert-base-uncased,pretrained,train,4,factual_deep,antonym,error,2,train_route,delta_pca,8,0,32,8,0.4908586941878902,0.18261805019494043,0.18941987509245006,3.3127362877764965,0.37203792528738955,0.11668759502719192,0.22549152374267578,0.35093152210633616,3.4422769938981124,0.5923947350427214,0.08524116078128897,0.2155719568039675,29.021976096349594
distilbert-base-uncased,pretrained,train,4,factual_deep,antonym,error,2,random_route,random,8,0,32,8,0.3902670441216856,0.14519414140307446,0.22684378388431597,3.3127362877764965,0.37203792528738955,0.11668759502719192,0.22549152374267578,0.2951349502211973,3.1337259356387936,0.5432632421038601,0.06719257464125158,0.18156773075121524,29.021976096349594
distilbert-base-uncased,pretrained,train,7,factual_deep,common,correct,2,train_route,state_pca,8,0,32,8,0.25056281523956175,0.06362124305819614,0.1902921039696467,3.346462685557937,0.2539133470278429,0.07774544894679128,0.050004005432128906,0.2422786712649282,3.9086226730167293,0.49221811350754674,0.04362767238380605,0.10236248367262543,37.12067899678155
distilbert-base-uncased,pretrained,train,7,factual_deep,common,correct,2,train_route,delta_pca,8,0,32,8,0.3468748385372966,0.08807615125274759,0.16583719577509537,3.346462685557937,0.2539133470278429,0.07774544894679128,0.050004005432128906,0.23598346232362843,4.366878645815826,0.48578129062740616,0.0639192474532686,0.14282430376424468,37.12067899678155
distilbert-base-uncased,pretrained,train,7,factual_deep,common,correct,2,random_route,random,8,0,32,8,0.18204792401467693,0.04622439770603705,0.20768894932180593,3.346462685557937,0.2539133470278429,0.07774544894679128,0.050004005432128906,0.2664257996560607,3.2735374354088926,0.5161645083266194,0.043618468354109034,0.10256078405044483,37.12067899678155
distilbert-base-uncased,pretrained,train,8,factual_simple,lexical,error,2,train_route,state_pca,8,0,32,8,0.28807979288186747,0.04912678917860819,0.12140509258636371,3.3825949955835606,0.17053188176497183,0.07142709116482436,0.1907649040222168,0.32576246989227314,4.055984190932035,0.5707560511219072,0.049777826723250776,0.10825374698134352,40.09808645098278
distilbert-base-uncased,pretrained,train,8,factual_simple,lexical,error,2,train_route,delta_pca,8,0,32,8,0.42373677891905925,0.072260630282095,0.09827125148287688,3.3825949955835606,0.17053188176497183,0.07142709116482436,0.1907649040222168,0.34607817335255076,3.721736871706542,0.5882840923844115,0.07087269051713663,0.1536693201151771,40.09808645098278
distilbert-base-uncased,pretrained,train,8,factual_simple,lexical,error,2,random_route,random,8,0,32,8,0.23082633178404396,0.03936324872003874,0.13116863304493304,3.3825949955835606,0.17053188176497183,0.07142709116482436,0.1907649040222168,0.3250838059337066,3.5252494669871743,0.5701612104779723,0.04633754643549016,0.11214449697417395,40.09808645098278
distilbert-base-uncased,pretrained,train,9,ambiguous_open,open,ambiguous,2,train_route,state_pca,8,0,32,8,0.6996176946913466,0.40625805954880106,0.17442773875427345,3.2287677564481294,0.5806857983030747,0.1500503730710326,0.5064964294433594,0.30872401196904603,3.770503543774087,0.5556293836443912,0.16022628425695085,0.4290360121383946,37.016886611491636
distilbert-base-uncased,pretrained,train,9,ambiguous_open,open,ambiguous,2,train_route,delta_pca,8,0,32,8,0.6026526785107776,0.34995185172051685,0.23073394658255722,3.2287677564481294,0.5806857983030747,0.1500503730710326,0.5064964294433594,0.26689825204565504,3.6289001230350277,0.5166219624112539,0.11219240651552066,0.3214435039279478,37.016886611491636
distilbert-base-uncased,pretrained,train,9,ambiguous_open,open,ambiguous,2,random_route,random,8,0,32,8,0.6214868489060936,0.360888586991897,0.21979721131117685,3.2287677564481294,0.5806857983030747,0.1500503730710326,0.5064964294433594,0.2793252160399031,3.1296277831928507,0.5285122666882038,0.16645156964597002,0.438966085926792,37.016886611491636
distilbert-base-uncased,pretrained,train,11,factual_simple,role,error,2,train_route,state_pca,8,0,32,8,0.64285588589157,0.28728273917767766,0.15960239555084454,3.265633518999024,0.4468851347285228,0.09532031739743728,0.025714874267578125,0.2515672684672217,3.855471507360739,0.5015648198061958,0.11160090467773266,0.23775774003384492,38.46565651847062
distilbert-base-uncased,pretrained,train,11,factual_simple,role,error,2,train_route,delta_pca,8,0,32,8,0.6480585000464893,0.28960771010523934,0.15727742462328276,3.265633518999024,0.4468851347285228,0.09532031739743728,0.025714874267578125,0.25480867589032347,4.1314838116436805,0.5047857722740643,0.10411177833101541,0.22652487009268407,38.46565651847062
distilbert-base-uncased,pretrained,train,11,factual_simple,role,error,2,random_route,random,8,0,32,8,0.3833962742113526,0.1713340956553537,0.27555103907316825,3.265633518999024,0.4468851347285228,0.09532031739743728,0.025714874267578125,0.2379106917604652,3.144793980126326,0.48776089609609463,0.08992855479308538,0.2245763882834387,38.46565651847062
distilbert-base-uncased,pretrained,train,13,factual_deep,role,correct,2,train_route,state_pca,8,0,32,8,0.5621819462934532,0.2621461295452455,0.20415509423757577,3.259995122303004,0.4663012237828204,0.12146165251622866,0.3736238479614258,0.25825638208764107,3.8456716871854395,0.5081893171718991,0.12210712752016448,0.2961437841108228,38.421360641437374
distilbert-base-uncased,pretrained,train,13,factual_deep,role,correct,2,train_route,delta_pca,8,0,32,8,0.6214088415197953,0.2897637032701457,0.17653752051267482,3.259995122303004,0.4663012237828204,0.12146165251622866,0.3736238479614258,0.23578542727200452,3.9687478210394835,0.4855774163529483,0.10742133716436049,0.24963556244115107,38.421360641437374
distilbert-base-uncased,pretrained,train,13,factual_deep,role,correct,2,random_route,random,8,0,32,8,0.4232123638297782,0.19734444317384617,0.2689567806089751,3.259995122303004,0.4663012237828204,0.12146165251622866,0.3736238479614258,0.22502590817573997,3.058470627968765,0.4743689578542635,0.09898891596568249,0.2537806317946755,38.421360641437374
distilbert-base-uncased,pretrained,train,14,factual_simple,capital,correct,2,train_route,state_pca,8,0,32,8,0.5604825416421932,0.18656188717550987,0.14629752112807537,3.3262208541794216,0.3328594083035845,0.12574235529216712,0.9701523780822754,0.33568201053955327,4.142285065234606,0.5793807129509518,0.1259511672120141,0.383974166770774,40.858182555601196
distilbert-base-uncased,pretrained,train,14,factual_simple,capital,correct,2,train_route,delta_pca,8,0,32,8,0.5875495454679588,0.19557139405350504,0.13728801425007986,3.3262208541794216,0.3328594083035845,0.12574235529216712,0.9701523780822754,0.29376176233739365,3.7448497123760798,0.541997935731672,0.09959485534779279,0.2917980697895016,40.858182555601196
distilbert-base-uncased,pretrained,train,14,factual_simple,capital,correct,2,random_route,random,8,0,32,8,0.5159791401528458,0.1717485112882688,0.1611108970153161,3.3262208541794216,0.3328594083035845,0.12574235529216712,0.9701523780822754,0.26319748149352307,3.2779118931550366,0.5130277589892414,0.10022659485191003,0.29219444355543117,40.858182555601196
distilbert-base-uncased,pretrained,train,15,ambiguous_open,open,ambiguous,2,train_route,state_pca,8,0,32,8,0.45756982631899823,0.20160293205957214,0.23899196835465042,3.2807390213058314,0.44059490041422156,0.10870558604329243,0.031792640686035156,0.26383365455695706,3.6707987303309877,0.5136474029496859,0.09168021899978307,0.24968355519761137,39.907516324432585
distilbert-base-uncased,pretrained,train,15,ambiguous_open,open,ambiguous,2,train_route,delta_pca,8,0,32,8,0.5676613971323841,0.2501087167385412,0.19048618367568143,3.2807390213058314,0.44059490041422156,0.10870558604329243,0.031792640686035156,0.2761809715059317,3.5830209816387883,0.5255292299253502,0.08804619012360675,0.23614446894803373,39.907516324432585
distilbert-base-uncased,pretrained,train,15,ambiguous_open,open,ambiguous,2,random_route,random,8,0,32,8,0.7542240239384818,0.3323072587171896,0.10828764169703235,3.2807390213058314,0.44059490041422156,0.10870558604329243,0.031792640686035156,0.2371139040198692,2.958001869024307,0.48694342999969636,0.14279863702671308,0.35537705235697553,39.907516324432585
distilbert-base-uncased,pretrained,train,18,ambiguous_open,open,ambiguous,2,train_route,state_pca,8,0,32,8,0.2914188429726335,0.05020020521319775,0.12206115133165661,3.385840251104931,0.17226135654485442,0.07656012774447025,0.2928338050842285,0.30477565036630505,3.7625534863587604,0.5520648968792573,0.03945184047669008,0.09268021030289131,39.50245889713024
distilbert-base-uncased,pretrained,train,18,ambiguous_open,open,ambiguous,2,train_route,delta_pca,8,0,32,8,0.35984486660695025,0.06198736486741542,0.11027399167743887,3.385840251104931,0.17226135654485442,0.07656012774447025,0.2928338050842285,0.3024289945994911,3.6352685823087163,0.5499354458475022,0.044790456475373996,0.09847435928486888,39.50245889713024
distilbert-base-uncased,pretrained,train,18,ambiguous_open,open,ambiguous,2,random_route,random,8,0,32,8,0.41060751477878116,0.07073180750330418,0.10152954904155023,3.385840251104931,0.17226135654485442,0.07656012774447025,0.2928338050842285,0.30820403207859204,3.197816748861736,0.5551612667312013,0.0670589465952787,0.162175653775353,39.50245889713024
distilbert-base-uncased,pretrained,train,19,factual_deep,capital,error,2,train_route,state_pca,8,0,32,8,0.707328395386683,0.6263715269764838,0.25917404289146545,3.138370525983349,0.8855455698679496,0.21881209108472988,1.1954374313354492,0.3717934614104264,3.8062265828183524,0.6097486870920071,0.2838781290522363,0.8796916087693406,40.509156733774
distilbert-base-uncased,pretrained,train,19,factual_deep,capital,error,2,train_route,delta_pca,8,0,32,8,0.6277474792205744,0.5558989992195534,0.3296465706483993,3.138370525983349,0.8855455698679496,0.21881209108472988,1.1954374313354492,0.3064155409949467,3.6250662307748964,0.5535481379202235,0.1907842097240239,0.5597725751218845,40.509156733774
distilbert-base-uncased,pretrained,train,19,factual_deep,capital,error,2,random_route,random,8,0,32,8,0.6096987489575496,0.5399160260933903,0.34562954377456084,3.138370525983349,0.8855455698679496,0.21881209108472988,1.1954374313354492,0.25645565027596917,3.1723723702475657,0.5064145044091541,0.19202461982205193,0.5934001337999277,40.509156733774
distilbert-base-uncased,pretrained,train,21,ambiguous_open,role,ambiguous,2,train_route,state_pca,8,0,32,8,0.2047060037686947,0.053554777253236034,0.20806323231794227,3.3487827685938427,0.26161800957117887,0.10042955932232733,0.5528664588928223,0.26028896965881565,3.607398542608087,0.5101852307337166,0.03474072215405667,0.06722585468079544,38.631281962148115
distilbert-base-uncased,pretrained,train,21,ambiguous_open,role,ambiguous,2,train_route,delta_pca,8,0,32,8,0.3468878071603996,0.09075209765381448,0.17086591191736364,3.3487827685938427,0.26161800957117887,0.10042955932232733,0.5528664588928223,0.22545119259213825,3.4296314872243756,0.4748170095859438,0.03993233205850709,0.09704753606848227,38.631281962148115
distilbert-base-uncased,pretrained,train,21,ambiguous_open,role,ambiguous,2,random_route,random,8,0,32,8,0.4115741527742107,0.10767521063973307,0.15394279893144522,3.3487827685938427,0.26161800957117887,0.10042955932232733,0.5528664588928223,0.2584404953513681,3.0981918633855714,0.5083704312323526,0.05922025033371254,0.1484003108373224,38.631281962148115
distilbert-base-uncased,pretrained,test,0,ambiguous_open,polysemy,ambiguous,2,train_route,state_pca,8,0,32,8,0.5011696955618643,0.1553464830767465,0.1546213470862219,3.3311740431935233,0.3099678301629677,0.09583110946471422,0.04325675964355469,0.2821007645621002,3.7372105623597163,0.5311315887443527,0.08118445910790471,0.1882580845249137,38.82015203853334
