model,init_state,split,prompt_id,task,topic,observed_condition,layer,route_source,subspace_family,subspace_k,rep,top_k_output,rank_whitened_jb,rho,v_access,v_inaccess,entropy,varentropy,confidence,margin,trace_fim,jacobian_fro_norm,fisher_output_fro_norm,grad_entropy_proj_norm,grad_varentropy_proj_norm,logit_norm,direction,sign,epsilon,latent_step_norm,fisher_output_energy,direction_output_energy_unit,first_order_entropy,directional_success,candidate_mass_before_full_vocab,candidate_mass_after_full_vocab,candidate_mass_retention_ratio,full_vocab_top5_jaccard,full_vocab_top10_jaccard,candidate_set_kl,entropy_after,delta_entropy,abs_delta_entropy,varentropy_after,delta_varentropy,abs_delta_varentropy,semantic_entropy_proxy_after,delta_semantic_entropy_proxy,cluster_distribution_l1,embedding_centroid_delta_norm,selected_logit_l2,selected_prob_l1,selected_kl_before_after,rank_displacement_mean,top5_jaccard,selected_top1_changed,target_in_topk,target_correct_changed,delta_target_prob_topk,non_target_mass_delta
distilbert-base-uncased,pretrained,train,4,factual_deep,antonym,error,2,train_route,state_pca,8,0,32,8,0.30369822235611105,0.1129872565588362,0.2590506687285544,3.3127362877764965,0.37203792528738955,0.11668759502719192,0.22549152374267578,0.3117343277078726,3.4366675568887906,0.5583317362535222,0.05850608378656953,0.16464695475294827,29.021976096349594,accessible_ls,increase,0.05,0.4591261936587973,0.05,0.10890252111635747,0.016806788550972215,1,0.0654969437853071,0.06094871484674513,0.9305581501104748,0.6666666666666666,1.0,0.0012934720786739488,3.328825440857763,0.01608915308126635,0.01608915308126635,0.3269094127374487,-0.045128512549940825,0.045128512549940825,1.3712878721240198,0.000731729334922715,0.008902214048464252,0.0143916467596954,0.2930432347482753,0.0420918798239029,0.0012934721550205142,0.04838709677419355,0.6666666666666666,0,0,0,,
distilbert-base-uncased,pretrained,train,4,factual_deep,antonym,error,2,train_route,state_pca,8,0,32,8,0.30369822235611105,0.1129872565588362,0.2590506687285544,3.3127362877764965,0.37203792528738955,0.11668759502719192,0.22549152374267578,0.3117343277078726,3.4366675568887906,0.5583317362535222,0.05850608378656953,0.16464695475294827,29.021976096349594,accessible_ls,decrease,0.05,0.4591261936587973,0.05,0.10890252111635747,-0.016806788550972215,1,0.0654969437853071,0.06981458119116724,1.065921204201725,1.0,1.0,0.0012076375542527011,3.295311665344458,-0.01742462243203846,0.01742462243203846,0.41908644245093596,0.04704851716354641,0.04704851716354641,1.3696745144742517,-0.0008816283148453952,0.009631631455652878,0.0139605610197059,0.27750916696863936,0.04017780239541614,0.0012076377206091185,0.04838709677419355,1.0,0,0,0,,
distilbert-base-uncased,pretrained,train,4,factual_deep,antonym,error,2,train_route,delta_pca,8,0,32,8,0.4908586941878902,0.18261805019494043,0.18941987509245006,3.3127362877764965,0.37203792528738955,0.11668759502719192,0.22549152374267578,0.35093152210633616,3.4422769938981124,0.5923947350427214,0.08524116078128897,0.2155719568039675,29.021976096349594,accessible_ls,increase,0.05,0.27551858425745246,0.05,0.18147596153905382,0.021366916611606633,1,0.0654969437853071,0.06418718455825001,0.9800027428554474,0.6666666666666666,1.0,0.0012511555750336426,3.332554690878571,0.019818403102074278,0.019818403102074278,0.3209022770912123,-0.051135648196177275,0.051135648196177275,1.3739055078254956,0.0033493650363984884,0.02644217208530869,0.015641789660802412,0.29488251600501325,0.042930072632051015,0.0012511556435839842,0.038306451612903226,0.6666666666666666,0,0,0,,
distilbert-base-uncased,pretrained,train,4,factual_deep,antonym,error,2,train_route,delta_pca,8,0,32,8,0.4908586941878902,0.18261805019494043,0.18941987509245006,3.3127362877764965,0.37203792528738955,0.11668759502719192,0.22549152374267578,0.35093152210633616,3.4422769938981124,0.5923947350427214,0.08524116078128897,0.2155719568039675,29.021976096349594,accessible_ls,decrease,0.05,0.27551858425745246,0.05,0.18147596153905382,-0.021366916611606633,1,0.0654969437853071,0.06673428905196488,1.018891648909813,0.6666666666666666,1.0,0.0012471918154002802,3.289852986524028,-0.022883301252468513,0.022883301252468513,0.4298401241849682,0.05780219889757865,0.05780219889757865,1.366450601691576,-0.004105541097521037,0.026417650057675574,0.015847025268854367,0.2816912498718697,0.043135921441804316,0.0012471917208657373,0.038306451612903226,0.6666666666666666,0,0,0,,
distilbert-base-uncased,pretrained,train,4,factual_deep,antonym,error,2,random_route,random,8,0,32,8,0.3902670441216856,0.14519414140307446,0.22684378388431597,3.3127362877764965,0.37203792528738955,0.11668759502719192,0.22549152374267578,0.2951349502211973,3.1337259356387936,0.5432632421038601,0.06719257464125158,0.18156773075121524,29.021976096349594,accessible_ls,increase,0.05,0.32216228934218527,0.05,0.15520128101303754,0.019052174508640392,1,0.0654969437853071,0.06450178031809628,0.984805955672178,0.6666666666666666,1.0,0.0012509453236575433,3.330376397984322,0.017640110207825632,0.017640110207825632,0.3249103715892211,-0.047127553698168456,0.047127553698168456,1.372993628906876,0.002437486117778942,0.01836652997304683,0.01433063175202477,0.2612024133094802,0.04431603198616524,0.0012509453183365627,0.04233870967741935,0.6666666666666666,0,0,0,,
distilbert-base-uncased,pretrained,train,4,factual_deep,antonym,error,2,random_route,random,8,0,32,8,0.3902670441216856,0.14519414140307446,0.22684378388431597,3.3127362877764965,0.37203792528738955,0.11668759502719192,0.22549152374267578,0.2951349502211973,3.1337259356387936,0.5432632421038601,0.06719257464125158,0.18156773075121524,29.021976096349594,accessible_ls,decrease,0.05,0.32216228934218527,0.05,0.15520128101303754,-0.019052174508640392,1,0.0654969437853071,0.0663580036489293,1.0131465655320449,0.6666666666666666,1.0,0.0012467810374623047,3.2923136172939467,-0.020422670482549865,0.020422670482549865,0.4249447277285169,0.05290680244112733,0.05290680244112733,1.3675262002843298,-0.003029942504767291,0.018810217225575743,0.014457506493553667,0.2648913259528303,0.04423290394121501,0.001246780989138602,0.04838709677419355,0.6666666666666666,0,0,0,,
distilbert-base-uncased,pretrained,train,7,factual_deep,common,correct,2,train_route,state_pca,8,0,32,8,0.25056281523956175,0.06362124305819614,0.1902921039696467,3.346462685557937,0.2539133470278429,0.07774544894679128,0.050004005432128906,0.2422786712649282,3.9086226730167293,0.49221811350754674,0.04362767238380605,0.10236248367262543,37.12067899678155,accessible_ls,increase,0.05,0.30738514216081025,0.05,0.1626623839022194,0.012611625892227004,1,0.10439408802195979,0.1012858411995694,0.9702258348026706,1.0,0.8181818181818182,0.0012911069989975706,3.3581658639337824,0.011703178375845447,0.011703178375845447,0.2258918841829152,-0.028021462844927708,0.028021462844927708,1.3806442852915197,0.002701965044812127,0.020264015666869417,0.01126666204214209,0.3869329921955623,0.042165088312712755,0.0012911071069745053,0.04032258064516129,1.0,0,0,0,,
distilbert-base-uncased,pretrained,train,7,factual_deep,common,correct,2,train_route,state_pca,8,0,32,8,0.25056281523956175,0.06362124305819614,0.1902921039696467,3.346462685557937,0.2539133470278429,0.07774544894679128,0.050004005432128906,0.2422786712649282,3.9086226730167293,0.49221811350754674,0.04362767238380605,0.10236248367262543,37.12067899678155,accessible_ls,decrease,0.05,0.30738514216081025,0.05,0.1626623839022194,-0.012611625892227004,1,0.10439408802195979,0.10714552900753915,1.0263562912202517,1.0,1.0,0.0012098906592252516,3.3330582968475553,-0.013404388710381632,0.013404388710381632,0.2843401966193866,0.03042684959154368,0.03042684959154368,1.3746611187131061,-0.003281201533601452,0.019795123596034275,0.010811341726889013,0.40909372564421215,0.040469699953508784,0.0012098904360291936,0.056451612903225805,1.0,0,0,0,,
distilbert-base-uncased,pretrained,train,7,factual_deep,common,correct,2,train_route,delta_pca,8,0,32,8,0.3468748385372966,0.08807615125274759,0.16583719577509537,3.346462685557937,0.2539133470278429,0.07774544894679128,0.050004005432128906,0.23598346232362843,4.366878645815826,0.48578129062740616,0.0639192474532686,0.14282430376424468,37.12067899678155,accessible_ls,increase,0.05,0.2926417580379838,0.05,0.17085736613675684,0.014838813231922186,1,0.10439408802195979,0.1021571260644123,0.9785719478953929,1.0,0.8181818181818182,0.0012579343766569284,3.360001727129256,0.013539041571319022,0.013539041571319022,0.22339146655932107,-0.030521880468521834,0.030521880468521834,1.37898303693103,0.0010407166843224847,0.008044223439487685,0.01225928117101105,0.2670185547158465,0.04149912429304392,0.001257933336891972,0.046370967741935484,1.0,0,0,0,,
distilbert-base-uncased,pretrained,train,7,factual_deep,common,correct,2,train_route,delta_pca,8,0,32,8,0.3468748385372966,0.08807615125274759,0.16583719577509537,3.346462685557937,0.2539133470278429,0.07774544894679128,0.050004005432128906,0.23598346232362843,4.366878645815826,0.48578129062740616,0.0639192474532686,0.14282430376424468,37.12067899678155,accessible_ls,decrease,0.05,0.2926417580379838,0.05,0.17085736613675684,-0.014838813231922186,1,0.10439408802195979,0.1064912733854726,1.0200891200186706,1.0,1.0,0.0012406800980140891,3.330362379872131,-0.016100305685805782,0.016100305685805782,0.2897321991266228,0.035818852098779885,0.035818852098779885,1.3768033057453823,-0.0011390145013252528,0.007991939802774295,0.01230622206758105,0.2645532340569293,0.04161965823564757,0.0012406803408830814,0.04032258064516129,1.0,0,0,0,,
