split,fold,budget,policy,cluster_id,example_id,model,task,layer,route_family,subspace_dim,rho,entropy,varentropy,confidence,projected_gradient_norm,unit_fisher_output_energy,jacobian_norm,safe_movement,safe_varentropy_movement,abs_delta_entropy,abs_delta_varentropy,drift,top1_preserved,topk_jaccard,applied_fisher_energy,regret_vs_oracle
grouped_example_5fold,fold_0,0.3,rho_shuffled_within_entropy_bin,Qwen/Qwen2.5-0.5B::masked_factual_cloze::3,Qwen/Qwen2.5-0.5B::masked_factual_cloze::3::same_fisher_output_energy::0.2,Qwen/Qwen2.5-0.5B,masked_factual_cloze,12.0,delta_pca,2.0,0.8787139557629472,0.5261861749648276,1.1682505218666872,0.8766097881059985,137.99618678627175,1.0,17.590690433211236,0.0,0.0,0.2018685146246893,0.0777788306270967,0.0092680047793553,1.0,1.0,0.04,0.226457399103139
leave_one_task_out,ambiguous_prompt,0.3,highest_fisher_output_energy,microsoft/phi-2::ambiguous_prompt::4,microsoft/phi-2::ambiguous_prompt::4::same_fisher_output_energy::0.01,microsoft/phi-2,ambiguous_prompt,8.0,delta_pca,2.0,0.8606862198079586,0.763203204414338,1.156396505227758,0.7794453898411764,39.39426403787336,1.0,7.059777265962461,0.0,0.0,0.0094910598797431,0.0034389073716374,1.538797430213556e-05,1.0,1.0,0.0001,0.2818930041152263
leave_one_task_out,masked_factual_cloze,0.3,gradient_only_learned,distilgpt2::masked_factual_cloze::2,distilgpt2::masked_factual_cloze::2::same_fisher_output_energy::0.2,distilgpt2,masked_factual_cloze,1.0,delta_pca,4.0,0.7678759272205931,0.7130919992671153,0.2119916986666641,0.5910199617835789,302.5789052904526,1.0,19.815644251875828,0.0,0.0,0.0514777397653652,0.0959056868498057,0.0045493672906886,1.0,1.0,0.04,0.1810699588477366
leave_one_model_out,microsoft__phi-2,0.05,shuffled_rho,microsoft/phi-2::ambiguous_prompt::4,microsoft/phi-2::ambiguous_prompt::4::same_fisher_output_energy::0.025,microsoft/phi-2,ambiguous_prompt,16.0,state_pca,1.0,0.7066202406250186,1.3888144852691282,0.7686715950591065,0.4460417945813345,14.324353181927634,1.0,5.183880544132855,1.0,1.0,0.0189176473598211,0.0125616438038448,8.211359264853678e-05,1.0,1.0,0.000625,0.8770491803278688
leave_one_model_out,microsoft__phi-2,0.05,controls_plus_rho_learned,microsoft/phi-2::decoder_qa_completion::15,microsoft/phi-2::decoder_qa_completion::15::same_fisher_output_energy::0.01,microsoft/phi-2,decoder_qa_completion,16.0,state_pca,2.0,0.4496111951838349,0.4892186231883129,1.347171907160699,0.8990600197116662,24.744951879994343,1.0,4.3923481147391215,0.0,0.0,0.0084229628309283,0.0085270639030292,1.4052875532333557e-05,1.0,1.0,0.0001,0.7295081967213115
leave_one_model_out,distilgpt2,0.1,highest_varentropy,distilgpt2::masked_factual_cloze::0,distilgpt2::masked_factual_cloze::0::same_fisher_output_energy::0.025,distilgpt2,masked_factual_cloze,3.0,delta_pca,4.0,0.9275700493468056,0.7509600082801491,1.2605991681328947,0.8003291170594098,134.97050135159023,1.0,13.452980128716051,1.0,1.0,0.0226448127035754,0.0103037452955345,7.92141319601561e-05,1.0,1.0,0.000625,0.8436213991769548
leave_one_route_family_out,random,0.3,lowest_confidence,microsoft/phi-2::decoder_qa_completion::14,microsoft/phi-2::decoder_qa_completion::14::same_fisher_output_energy::0.05,microsoft/phi-2,decoder_qa_completion,24.0,random,4.0,0.9823456843533472,1.129498962194861,0.6715050507275884,0.4438105629307404,16.34154928785153,1.0,2.9008661230599126,0.0,0.0,0.0376302950823914,0.0077810126246797,0.0003421903531866,1.0,1.0,0.0025,0.3209876543209876
grouped_example_5fold,fold_4,0.3,random,microsoft/phi-2::factual_error_prompt::9,microsoft/phi-2::factual_error_prompt::9::same_fisher_output_energy::0.01,microsoft/phi-2,factual_error_prompt,24.0,random,4.0,0.9079223736042022,0.9152847015554392,0.7012937497171488,0.5799713007980788,17.281085165124328,1.0,3.115851867051092,0.0,1.0,0.0007576659603226,0.0100139051885828,1.2507128603988604e-05,1.0,1.0,0.0001,0.2716049382716049
grouped_example_5fold,fold_1,0.05,random,microsoft/phi-2::decoder_completion::17,microsoft/phi-2::decoder_completion::17::same_fisher_output_energy::0.01,microsoft/phi-2,decoder_completion,8.0,random,4.0,0.9299146086244016,0.8489324777805882,1.2166899402495257,0.758154361658563,33.29230485902527,1.0,6.4617204197812335,0.0,0.0,0.0056588442857241,0.0063749179670786,1.2277013162957425e-05,1.0,1.0,0.0001,0.8852459016393442
grouped_example_5fold,fold_0,0.3,lowest_confidence,microsoft/phi-2::factual_error_prompt::11,microsoft/phi-2::factual_error_prompt::11::same_fisher_output_energy::0.2,microsoft/phi-2,factual_error_prompt,24.0,delta_pca,2.0,0.3821977082182444,1.4262345371329648,0.5053209284926333,0.3535179494024116,13.229719766801557,1.0,3.0339019649958594,0.0,0.0,0.0792039754699467,0.1188068914344925,0.0059166755220912,0.0,1.0,0.04,0.3183856502242153
grouped_example_5fold,fold_3,0.3,highest_entropy,microsoft/phi-2::factual_error_prompt::8,microsoft/phi-2::factual_error_prompt::8::same_fisher_output_energy::0.01,microsoft/phi-2,factual_error_prompt,24.0,random,1.0,0.0502015931945007,1.2897164289817558,0.5530429079538333,0.470550249975351,13.307647696058751,1.0,2.8985565757555003,0.0,0.0,0.0012661164051026,0.001713586815057,1.3285456521190458e-05,1.0,1.0,0.0001,0.3228699551569507
leave_one_task_out,ambiguous_prompt,0.3,rho_shuffled_within_varentropy_bin,microsoft/phi-2::ambiguous_prompt::4,microsoft/phi-2::ambiguous_prompt::4::same_fisher_output_energy::0.01,microsoft/phi-2,ambiguous_prompt,24.0,delta_pca,2.0,0.6940506805449317,1.4991650160938117,0.6266755877267156,0.4111105846549515,8.2594515641002,1.0,2.866717064887476,0.0,0.0,0.0017664078596346,0.0091400470596415,1.3768347665154852e-05,1.0,1.0,0.0001,0.279835390946502
leave_one_task_out,ambiguous_prompt,0.3,gradient_only_learned,distilgpt2::ambiguous_prompt::7,distilgpt2::ambiguous_prompt::7::same_fisher_output_energy::0.1,distilgpt2,ambiguous_prompt,1.0,delta_pca,4.0,0.9544987848880552,0.9712820198723462,1.2854109610602085,0.722364235011072,141.3593691669362,1.0,20.20463552951336,0.0,0.0,0.0022117932246947,0.0768788461257306,0.00131517067275,1.0,0.5,0.01,0.2839506172839506
leave_one_task_out,masked_factual_cloze,0.1,rho_shuffled_within_entropy_bin,microsoft/phi-2::masked_factual_cloze::1,microsoft/phi-2::masked_factual_cloze::1::same_fisher_output_energy::0.01,microsoft/phi-2,masked_factual_cloze,16.0,random,4.0,0.9275112935384012,0.8774638504510359,0.552201857920671,0.6298066323492467,32.289818065295115,1.0,4.768471008358909,0.0,0.0,0.0015817669718949,0.0099131872792036,1.5173749413183038e-05,1.0,1.0,0.0001,0.845679012345679
leave_one_task_out,ambiguous_prompt,0.3,within_example_shuffled_rho,Qwen/Qwen2.5-0.5B::ambiguous_prompt::4,Qwen/Qwen2.5-0.5B::ambiguous_prompt::4::same_fisher_output_energy::0.01,Qwen/Qwen2.5-0.5B,ambiguous_prompt,12.0,delta_pca,4.0,0.9419542081725784,0.5173034105947492,0.959923021656798,0.8644569090562201,142.10569489560055,1.0,17.921022600056737,0.0,0.0,0.0095848025007767,0.0062122287222904,1.5302964932534398e-05,1.0,1.0,0.0001,0.2674897119341564
leave_one_model_out,Qwen__Qwen2.5-0.5B,0.3,controls_plus_rho_learned,Qwen/Qwen2.5-0.5B::decoder_qa_completion::12,Qwen/Qwen2.5-0.5B::decoder_qa_completion::12::same_fisher_output_energy::0.025,Qwen/Qwen2.5-0.5B,decoder_qa_completion,18.0,delta_pca,1.0,0.8699130195646217,0.2695992059842406,0.596332668521786,0.9324787279135518,86.55823506258919,1.0,8.959055108272247,1.0,1.0,0.0186313983392924,0.0124800950526318,8.549612948115085e-05,1.0,1.0,0.000625,0.2592592592592592
grouped_example_5fold,fold_3,0.3,oracle,microsoft/phi-2::ambiguous_prompt::7,microsoft/phi-2::ambiguous_prompt::7::same_fisher_output_energy::0.2,microsoft/phi-2,ambiguous_prompt,16.0,delta_pca,2.0,0.5284914784154944,0.7750963521711851,1.3055026666430232,0.7970740743081589,25.424246458684987,1.0,4.979035920855262,0.0,0.0,0.1177612552589237,0.2016569547420426,0.0070399710556654,1.0,0.5,0.04,0.0
grouped_example_5fold,fold_3,0.2,highest_entropy,microsoft/phi-2::decoder_completion::16,microsoft/phi-2::decoder_completion::16::same_fisher_output_energy::0.025,microsoft/phi-2,decoder_completion,16.0,random,1.0,0.0086822487014934,1.3169645374224084,1.1226730324503291,0.6025107467862969,19.384815387239428,1.0,4.823388269997177,0.0,1.0,0.0023835439035466,0.0107132462717338,7.811753510772674e-05,1.0,1.0,0.000625,0.5218855218855218
