split,budget,contrast,metric,policy,control,delta_policy_minus_control,ci_low,median,ci_high
grouped_example_5fold,0.05,controls_plus_rho_learned_vs_controls_only_learned,safe_movement_rate,0.17562036238136325,0.1678113316077078,0.00780903077365544,-0.02301864471637621,0.010089589512393013,0.05018853567370018
grouped_example_5fold,0.05,controls_plus_rho_learned_vs_controls_only_learned,movement_per_drift,20.008140056685786,19.84384960368245,0.16429045300333556,-2.2672037731035504,0.09886961504375602,2.518756027420184
grouped_example_5fold,0.05,controls_plus_rho_learned_vs_controls_only_learned,regret_vs_oracle,0.8243796376186368,0.8321886683922923,-0.007809030773655579,-0.04720219835689604,-0.010768300350159299,0.02500239685631204
grouped_example_5fold,0.05,controls_plus_rho_learned_vs_controls_only_learned,topk_preservation,0.8780776531492667,0.8792257693413863,-0.0011481161921196303,-0.02659341791590466,0.0005077394705043647,0.02599747032517239
grouped_example_5fold,0.05,gradient_plus_rho_learned_vs_gradient_only_learned,safe_movement_rate,0.12794477998274373,0.12672073626689676,0.001224043715846973,-0.03649701081319775,-0.0008847791731895135,0.03705565011952931
grouped_example_5fold,0.05,gradient_plus_rho_learned_vs_gradient_only_learned,movement_per_drift,15.811361999215885,16.706603890371202,-0.895241891155317,-3.9299259026116453,0.655352844696059,2.1589739585389345
grouped_example_5fold,0.05,gradient_plus_rho_learned_vs_gradient_only_learned,regret_vs_oracle,0.8720552200172562,0.8732792637331033,-0.0012240437158470563,-0.04417408812071408,0.0020481353604058367,0.03495499058035004
grouped_example_5fold,0.05,gradient_plus_rho_learned_vs_gradient_only_learned,topk_preservation,0.8423974690825424,0.8553085993672707,-0.012911130284728234,-0.062490418748322105,-0.01245780274303282,0.03378052550176507
grouped_example_5fold,0.05,rho_only_vs_within_example_shuffled_rho,safe_movement_rate,0.14935174000575208,0.12207305148116192,0.02727868852459016,-0.0033139756283320754,0.0271616171552233,0.06747109643663365
grouped_example_5fold,0.05,rho_only_vs_within_example_shuffled_rho,movement_per_drift,15.99232865583827,17.651693348640094,-1.6593646928018249,-14.866024531389677,-2.6578270056494424,7.04371670977427
grouped_example_5fold,0.05,rho_only_vs_within_example_shuffled_rho,regret_vs_oracle,0.850648259994248,0.8779269485188381,-0.027278688524590144,-0.07167476099201543,-0.027707808564231738,0.003897834613047548
grouped_example_5fold,0.05,rho_only_vs_within_example_shuffled_rho,topk_preservation,0.9119953983318952,0.9290871440897325,-0.01709174575783723,-0.05252886878493664,-0.013870120120120066,0.015001506024096396
grouped_example_5fold,0.05,rho_only_vs_shuffled_rho,safe_movement_rate,0.14935174000575208,0.09802243313201035,0.05132930687374172,0.012513053959147669,0.052815177130480145,0.09077087319701475
grouped_example_5fold,0.05,rho_only_vs_shuffled_rho,movement_per_drift,15.99232865583827,24.753685785712584,-8.761357129874314,-21.386933833732037,-17.782907236985437,0.28881539479766444
grouped_example_5fold,0.05,rho_only_vs_shuffled_rho,regret_vs_oracle,0.850648259994248,0.9019775668679897,-0.05132930687374171,-0.09152748714890853,-0.05183412768903231,-0.011243977346302258
grouped_example_5fold,0.05,rho_only_vs_shuffled_rho,topk_preservation,0.9119953983318952,0.9526534368708657,-0.04065803853897043,-0.09142652430885152,-0.03545272442734093,0.00993873657462761
grouped_example_5fold,0.05,rho_only_vs_random,safe_movement_rate,0.14935174000575208,0.1075156744319816,0.04183606557377048,-0.00594587892677272,0.04076674566870511,0.0846501706686427
grouped_example_5fold,0.05,rho_only_vs_random,movement_per_drift,15.99232865583827,20.605085368503484,-4.612756712665215,-16.293128761963015,-12.835256451950091,2.4440107817151224
grouped_example_5fold,0.05,rho_only_vs_random,regret_vs_oracle,0.850648259994248,0.8924843255680184,-0.0418360655737704,-0.08729537897267846,-0.04113872909490513,0.004397079461866031
grouped_example_5fold,0.05,rho_only_vs_random,topk_preservation,0.9119953983318952,0.9459165947656025,-0.03392119643370728,-0.08267317694004962,-0.030990180899764852,0.01589292574933299
grouped_example_5fold,0.05,rho_only_vs_highest_entropy,safe_movement_rate,0.14935174000575208,0.028732815645671556,0.12061892436008052,0.05791843832182269,0.11623066905948429,0.1630165792462386
grouped_example_5fold,0.05,rho_only_vs_highest_entropy,movement_per_drift,15.99232865583827,13.935337280463752,2.0569913753745173,-12.28788080689991,-6.691600654216787,11.600042219237128
grouped_example_5fold,0.05,rho_only_vs_highest_entropy,regret_vs_oracle,0.850648259994248,0.9712671843543284,-0.12061892436008037,-0.1653591200417841,-0.1172354684640182,-0.06208968414631805
grouped_example_5fold,0.05,rho_only_vs_highest_entropy,topk_preservation,0.9119953983318952,0.9606338797814207,-0.04863848144952543,-0.09164777902999349,-0.047240220479919104,0.0015692291973358496
grouped_example_5fold,0.05,rho_only_vs_highest_fisher_output_energy,safe_movement_rate,0.14935174000575208,0.1251377624388841,0.024213977566867967,-0.04810788851633852,0.0179004915000944,0.08098817812977728
grouped_example_5fold,0.05,rho_only_vs_highest_fisher_output_energy,movement_per_drift,15.99232865583827,28.164992387067905,-12.172663731229635,-28.354329231053434,-21.407815848448514,-1.5327038026025257
grouped_example_5fold,0.05,rho_only_vs_highest_fisher_output_energy,regret_vs_oracle,0.850648259994248,0.8748622375611159,-0.02421397756686794,-0.07729709336388867,-0.016697770625543604,0.04759446262298908
grouped_example_5fold,0.05,rho_only_vs_highest_fisher_output_energy,topk_preservation,0.9119953983318952,0.9855887259131435,-0.07359332758124826,-0.13071758530235278,-0.06915974149947535,-0.013485202144849107
grouped_example_5fold,0.1,controls_plus_rho_learned_vs_controls_only_learned,safe_movement_rate,0.18606420575834154,0.1731725831736834,0.012891622584658147,-0.010713218034892212,0.017398371365545895,0.041709060636394485
grouped_example_5fold,0.1,controls_plus_rho_learned_vs_controls_only_learned,movement_per_drift,18.382712851934023,21.33226299784776,-2.9495501459137365,-15.73481381553901,-3.2601787441359686,1.7242886952516576
grouped_example_5fold,0.1,controls_plus_rho_learned_vs_controls_only_learned,regret_vs_oracle,0.8139357942416584,0.8268274168263166,-0.012891622584658147,-0.041264246229554595,-0.01722193884381598,0.009877331214852805
grouped_example_5fold,0.1,controls_plus_rho_learned_vs_controls_only_learned,topk_preservation,0.8820075723838514,0.8920556565556016,-0.010048084171750182,-0.0396481486618827,-0.005557745571003692,0.01996869565937454
