split,budget,policy,folds,mean_test_n,mean_selected_n,safe_movement_rate,safe_varentropy_movement_rate,mean_abs_delta_entropy,mean_abs_delta_varentropy,mean_output_drift,movement_per_drift,top1_preserved_rate,topk_preservation,failure_rate,regret_vs_oracle,minimal_energy_to_target
grouped_example_5fold,0.05,controls_only_learned,5,1458.0,73.4,0.1678113316077078,0.2836192119643371,0.07746645692113599,0.10291150726333756,0.00789760563476618,19.84384960368245,0.992,0.8792257693413863,0.8321886683922923,0.8321886683922923,0.01083749180327869
grouped_example_5fold,0.05,controls_plus_rho_learned,5,1458.0,73.4,0.17562036238136325,0.2915800977854472,0.07536361596371352,0.10000329543701683,0.0077340223243116705,20.008140056685786,0.992,0.8780776531492667,0.8243796376186368,0.8243796376186368,0.01083749180327869
grouped_example_5fold,0.05,gradient_only_learned,5,1458.0,73.4,0.12672073626689676,0.25398216853609434,0.08591311093534541,0.10425294477057223,0.021870562125089768,16.706603890371202,0.9651584699453553,0.8553085993672707,0.8732792637331033,0.8732792637331033,0.01083749180327869
grouped_example_5fold,0.05,gradient_plus_rho_learned,5,1458.0,73.4,0.12794477998274373,0.24414610296232384,0.07954807938466725,0.10075520914218569,0.016194227592132418,15.811361999215885,0.9756065573770492,0.8423974690825424,0.8720552200172562,0.8720552200172562,0.01083749180327869
grouped_example_5fold,0.05,highest_entropy,5,1458.0,73.4,0.028732815645671556,0.08704055220017257,0.018203079530297546,0.02962090463905657,0.0013171507094517448,13.935337280463752,0.8186597641645097,0.9606338797814207,0.9712671843543284,0.9712671843543284,0.01083749180327869
grouped_example_5fold,0.05,highest_fisher_output_energy,5,1458.0,73.4,0.1251377624388841,0.14100891573195284,0.04074876993513078,0.04859278083484263,0.001441051117914352,28.164992387067905,0.9715870002876044,0.9855887259131435,0.8748622375611159,0.8748622375611159,0.011703307851596206
grouped_example_5fold,0.05,highest_gradient_norm,5,1458.0,73.4,0.12672073626689676,0.25398216853609434,0.08591311093534541,0.10425294477057223,0.021870562125089768,16.706603890371202,0.9651584699453553,0.8553085993672707,0.8732792637331033,0.8732792637331033,0.01083749180327869
grouped_example_5fold,0.05,highest_jacobian_norm,5,1458.0,73.4,0.11544895024446362,0.11731262582686224,0.03687517513126866,0.03697927958727979,0.0014031353860977113,26.425442508694026,0.9973333333333333,0.9368133448375036,0.8845510497555363,0.8845510497555363,0.01083749180327869
grouped_example_5fold,0.05,highest_varentropy,5,1458.0,73.4,0.17499683635317803,0.14891458153580675,0.05316909399738494,0.04344352190073929,0.0014763794107277993,36.4118426012323,1.0,0.893651998849583,0.825003163646822,0.825003163646822,0.01083749180327869
grouped_example_5fold,0.05,lowest_confidence,5,1458.0,73.4,0.004771929824561404,0.04670923209663504,0.012821035212978019,0.02354515102592248,0.0013331386746626881,9.669465085505788,0.7624572907679033,0.9673005464480875,0.9952280701754386,0.9952280701754386,0.01083749180327869
grouped_example_5fold,0.05,oracle,5,1458.0,73.4,1.0,0.6924153005464481,0.021606309863790328,0.023523643590638136,0.00010241030911956271,212.93607382782807,1.0,1.0,0.0,0.0,0.0008742148403796378
grouped_example_5fold,0.05,random,5,1458.0,73.4,0.1075156744319816,0.15312510785159622,0.044281595686556756,0.05474741445605722,0.0022498768277539973,20.605085368503484,0.9681403508771929,0.9459165947656025,0.8924843255680184,0.8924843255680184,0.009513900776531494
grouped_example_5fold,0.05,rho_only,5,1458.0,73.4,0.14935174000575208,0.2136784584411849,0.06570418774928752,0.07997211161560856,0.010558615553644284,15.99232865583827,0.970514811619212,0.9119953983318952,0.850648259994248,0.850648259994248,0.01083749180327869
grouped_example_5fold,0.05,rho_shuffled_within_entropy_bin,5,1458.0,73.4,0.1430474547023296,0.22014610296232381,0.06333601398348433,0.07763694996521468,0.004554869459834206,19.68962495444602,0.9851228070175437,0.9157687661777395,0.8569525452976704,0.8569525452976704,0.011090901639344264
grouped_example_5fold,0.05,rho_shuffled_within_fisher_bin,5,1458.0,73.4,0.12459936727063561,0.15104745470232958,0.04018384142237949,0.05567532777628133,0.0017495034859741226,23.279512623236435,0.9565694564279552,0.9473173425366695,0.8754006327293643,0.8754006327293643,0.010438364624676446
grouped_example_5fold,0.05,rho_shuffled_within_gradient_bin,5,1458.0,73.4,0.15738625251653723,0.22088236985907392,0.07188902036864757,0.09058260206727387,0.007071362697556453,16.186939778844216,0.9731814782858785,0.9195064710957723,0.8426137474834627,0.8426137474834627,0.010616923209663506
grouped_example_5fold,0.05,rho_shuffled_within_varentropy_bin,5,1458.0,73.4,0.07986655162496405,0.1611251078515962,0.051435735545642645,0.0736125921500604,0.004326013098330547,15.933558133800783,0.9246591889559965,0.948314063848145,0.920133448375036,0.920133448375036,0.011304536324417604
grouped_example_5fold,0.05,shuffled_rho,5,1458.0,73.4,0.09802243313201035,0.1463491515674432,0.03610621098001397,0.04913069522140273,0.0014746125665599046,24.753685785712584,0.9520391141788899,0.9526534368708657,0.9019775668679897,0.9019775668679897,0.01022244693701467
grouped_example_5fold,0.05,within_example_shuffled_rho,5,1458.0,73.4,0.12207305148116192,0.1759010641357492,0.057872302498409314,0.0786911496489284,0.006056667619944418,17.651693348640094,0.9833373597929249,0.9290871440897325,0.8779269485188381,0.8779269485188381,0.010608311475409837
