split,fold,budget,policy,test_n,selected_n,safe_movement_rate,safe_varentropy_movement_rate,mean_abs_delta_entropy,mean_abs_delta_varentropy,mean_output_drift,movement_per_drift,top1_preserved_rate,topk_preservation,failure_rate,regret_vs_oracle,minimal_energy_to_target
grouped_example_5fold,fold_0,0.05,random,1485,75.0,0.13333333333333333,0.10666666666666667,0.030692018246726616,0.038584272682063894,0.0012561750867862759,24.43291430436442,0.96,0.92,0.8666666666666667,0.8666666666666667,0.009570000000000002
grouped_example_5fold,fold_0,0.05,highest_entropy,1485,75.0,0.0,0.08,0.015613566065839643,0.024805614269238784,0.0013326391328901635,11.716274631660932,0.6133333333333333,0.9266666666666666,1.0,1.0,0.010645000000000002
grouped_example_5fold,fold_0,0.05,highest_varentropy,1485,75.0,0.26666666666666666,0.08,0.06590223024518108,0.0324808943586597,0.0013320234105047935,49.47527928222093,1.0,0.9333333333333333,0.7333333333333334,0.7333333333333334,0.010645000000000002
grouped_example_5fold,fold_0,0.05,lowest_confidence,1485,75.0,0.0,0.08,0.015613566065839643,0.024805614269238784,0.0013326391328901635,11.716274631660932,0.6133333333333333,0.9266666666666666,1.0,1.0,0.010645000000000002
grouped_example_5fold,fold_0,0.05,highest_gradient_norm,1485,75.0,0.2,0.16,0.05035857937136895,0.04637236794634842,0.0014589884953537695,34.51609079286003,1.0,1.0,0.8,0.8,0.010645000000000002
grouped_example_5fold,fold_0,0.05,highest_fisher_output_energy,1485,75.0,0.16,0.25333333333333335,0.04346553981950387,0.05838678271631648,0.0012752453026484115,34.084061889297104,0.9866666666666667,0.9466666666666667,0.84,0.84,0.010645000000000002
grouped_example_5fold,fold_0,0.05,highest_jacobian_norm,1485,75.0,0.04,0.02666666666666667,0.020352379727456564,0.018038271365185155,0.0013723767139116401,14.830024089702635,1.0,0.9066666666666666,0.96,0.96,0.010645000000000002
grouped_example_5fold,fold_0,0.05,rho_only,1485,75.0,0.18666666666666668,0.17333333333333334,0.045257221103421695,0.04522048374301015,0.0015178050783409098,29.81754492012353,1.0,0.9466666666666667,0.8133333333333334,0.8133333333333334,0.010645000000000002
grouped_example_5fold,fold_0,0.05,shuffled_rho,1485,75.0,0.06666666666666667,0.06666666666666667,0.03432615477766115,0.04413561252278609,0.001496463671155574,22.938181152873817,0.9466666666666667,0.9533333333333334,0.9333333333333333,0.9333333333333333,0.011709000000000002
grouped_example_5fold,fold_0,0.05,within_example_shuffled_rho,1485,75.0,0.12,0.09333333333333334,0.038072182104098046,0.04312033251300242,0.0014791651191612004,25.738966942167945,0.9866666666666667,0.94,0.88,0.88,0.010645000000000002
grouped_example_5fold,fold_0,0.05,rho_shuffled_within_entropy_bin,1485,75.0,0.08,0.12,0.051267378684653794,0.06036647301582018,0.0019247514363331072,26.635843837750073,1.0,0.9133333333333333,0.92,0.92,0.011363000000000002
grouped_example_5fold,fold_0,0.05,rho_shuffled_within_varentropy_bin,1485,75.0,0.02666666666666667,0.12,0.026475333354887876,0.04285665451046121,0.0013281066377270555,19.934644254318474,0.9066666666666666,0.96,0.9733333333333334,0.9733333333333334,0.009834000000000002
grouped_example_5fold,fold_0,0.05,rho_shuffled_within_gradient_bin,1485,75.0,0.09333333333333334,0.09333333333333334,0.04980437923565703,0.05527406780319681,0.0016760880382709735,29.714655852466116,1.0,0.9733333333333334,0.9066666666666666,0.9066666666666666,0.010028000000000002
grouped_example_5fold,fold_0,0.05,rho_shuffled_within_fisher_bin,1485,75.0,0.05333333333333334,0.09333333333333334,0.04309245892705931,0.041423331248828535,0.0017014386793157933,25.327071407820743,0.9466666666666667,0.9733333333333334,0.9466666666666667,0.9466666666666667,0.012228000000000001
