split,budget,contrast,metric,policy,control,delta_policy_minus_control
grouped_example_5fold,0.1,rho_only_vs_shuffled_rho,safe_movement_rate,0.1610792975519568,0.10897346114641746,0.05210583640553934
grouped_example_5fold,0.1,rho_only_vs_shuffled_rho,movement_per_drift,17.092822010824072,23.835105996179376,-6.742283985355304
grouped_example_5fold,0.1,rho_only_vs_shuffled_rho,regret_vs_oracle,0.8389207024480431,0.8910265388535825,-0.05210583640553945
grouped_example_5fold,0.1,rho_only_vs_shuffled_rho,topk_preservation,0.922418319487304,0.9581683423360176,-0.035750022848713536
grouped_example_5fold,0.1,rho_only_vs_random,safe_movement_rate,0.1610792975519568,0.09414345266474214,0.06693584488721466
grouped_example_5fold,0.1,rho_only_vs_random,movement_per_drift,17.092822010824072,20.170283111072393,-3.077461100248321
grouped_example_5fold,0.1,rho_only_vs_random,regret_vs_oracle,0.8389207024480431,0.9058565473352578,-0.06693584488721471
grouped_example_5fold,0.1,rho_only_vs_random,topk_preservation,0.922418319487304,0.9506290061653688,-0.02821068667806481
grouped_example_5fold,0.1,rho_only_vs_highest_entropy,safe_movement_rate,0.1610792975519568,0.042360641766517,0.1187186557854398
grouped_example_5fold,0.1,rho_only_vs_highest_entropy,movement_per_drift,17.092822010824072,15.151546480126507,1.941275530697565
grouped_example_5fold,0.1,rho_only_vs_highest_entropy,regret_vs_oracle,0.8389207024480431,0.957639358233483,-0.11871865578543994
grouped_example_5fold,0.1,rho_only_vs_highest_entropy,topk_preservation,0.922418319487304,0.9621050738115322,-0.03968675432422819
grouped_example_5fold,0.1,rho_only_vs_highest_fisher_output_energy,safe_movement_rate,0.1610792975519568,0.12728613749628162,0.033793160055675175
grouped_example_5fold,0.1,rho_only_vs_highest_fisher_output_energy,movement_per_drift,17.092822010824072,27.858410316265747,-10.765588305441675
grouped_example_5fold,0.1,rho_only_vs_highest_fisher_output_energy,regret_vs_oracle,0.8389207024480431,0.8727138625037183,-0.03379316005567523
grouped_example_5fold,0.1,rho_only_vs_highest_fisher_output_energy,topk_preservation,0.922418319487304,0.9798462994689203,-0.057427979981616306
grouped_example_5fold,0.2,controls_plus_rho_learned_vs_controls_only_learned,safe_movement_rate,0.18612580834803055,0.1719309497087275,0.01419485863930306
grouped_example_5fold,0.2,controls_plus_rho_learned_vs_controls_only_learned,movement_per_drift,18.782559018519827,17.683618656168257,1.0989403623515699
grouped_example_5fold,0.2,controls_plus_rho_learned_vs_controls_only_learned,regret_vs_oracle,0.4151728929506707,0.42936775158997376,-0.014194858639303032
grouped_example_5fold,0.2,controls_plus_rho_learned_vs_controls_only_learned,topk_preservation,0.8954214098658543,0.8899481588370477,0.0054732510288065805
grouped_example_5fold,0.2,gradient_plus_rho_learned_vs_gradient_only_learned,safe_movement_rate,0.16455026455026456,0.1369461813906258,0.027604083159638748
grouped_example_5fold,0.2,gradient_plus_rho_learned_vs_gradient_only_learned,movement_per_drift,17.329840442933154,14.766112638318921,2.563727804614233
grouped_example_5fold,0.2,gradient_plus_rho_learned_vs_gradient_only_learned,regret_vs_oracle,0.4367484367484368,0.46435251990807547,-0.027604083159638693
grouped_example_5fold,0.2,gradient_plus_rho_learned_vs_gradient_only_learned,topk_preservation,0.9202960825183049,0.9059451659451658,0.014350916573139028
grouped_example_5fold,0.2,rho_only_vs_within_example_shuffled_rho,safe_movement_rate,0.16204906204906205,0.12801560579338359,0.03403345625567847
grouped_example_5fold,0.2,rho_only_vs_within_example_shuffled_rho,movement_per_drift,18.668154530767627,18.152293311801987,0.5158612189656395
grouped_example_5fold,0.2,rho_only_vs_within_example_shuffled_rho,regret_vs_oracle,0.4392496392496392,0.47328309550531766,-0.03403345625567844
grouped_example_5fold,0.2,rho_only_vs_within_example_shuffled_rho,topk_preservation,0.9322740633851744,0.9415082037304259,-0.009234140345251496
grouped_example_5fold,0.2,rho_only_vs_shuffled_rho,safe_movement_rate,0.16204906204906205,0.12550905884239216,0.03654000320666989
grouped_example_5fold,0.2,rho_only_vs_shuffled_rho,movement_per_drift,18.668154530767627,21.04980940003289,-2.3816548692652617
grouped_example_5fold,0.2,rho_only_vs_shuffled_rho,regret_vs_oracle,0.4392496392496392,0.4757896424563091,-0.03654000320666989
grouped_example_5fold,0.2,rho_only_vs_shuffled_rho,topk_preservation,0.9322740633851744,0.9550756239645128,-0.022801560579338465
grouped_example_5fold,0.2,rho_only_vs_random,safe_movement_rate,0.16204906204906205,0.11348939126716903,0.04855967078189302
grouped_example_5fold,0.2,rho_only_vs_random,movement_per_drift,18.668154530767627,19.32065477635842,-0.6525002455907938
grouped_example_5fold,0.2,rho_only_vs_random,regret_vs_oracle,0.4392496392496392,0.4878093100315323,-0.04855967078189305
grouped_example_5fold,0.2,rho_only_vs_random,topk_preservation,0.9322740633851744,0.9530361819250708,-0.0207621185398964
grouped_example_5fold,0.2,rho_only_vs_highest_entropy,safe_movement_rate,0.16204906204906205,0.06294692961359628,0.09910213243546577
grouped_example_5fold,0.2,rho_only_vs_highest_entropy,movement_per_drift,18.668154530767627,18.134341960321777,0.5338125704458498
grouped_example_5fold,0.2,rho_only_vs_highest_entropy,regret_vs_oracle,0.4392496392496392,0.538351771685105,-0.09910213243546573
grouped_example_5fold,0.2,rho_only_vs_highest_entropy,topk_preservation,0.9322740633851744,0.9682913794024905,-0.03601731601731617
grouped_example_5fold,0.2,rho_only_vs_highest_fisher_output_energy,safe_movement_rate,0.16204906204906205,0.1292020736465181,0.032846988402543964
grouped_example_5fold,0.2,rho_only_vs_highest_fisher_output_energy,movement_per_drift,18.668154530767627,26.802139514584496,-8.13398498381687
grouped_example_5fold,0.2,rho_only_vs_highest_fisher_output_energy,regret_vs_oracle,0.4392496392496392,0.4720966276521832,-0.032846988402543964
grouped_example_5fold,0.2,rho_only_vs_highest_fisher_output_energy,topk_preservation,0.9322740633851744,0.9707845652290097,-0.03851050184383531
grouped_example_5fold,0.3,controls_plus_rho_learned_vs_controls_only_learned,safe_movement_rate,0.1850286250785872,0.16934956831346865,0.01567905676511855
grouped_example_5fold,0.3,controls_plus_rho_learned_vs_controls_only_learned,movement_per_drift,19.638483388441582,18.634689889903857,1.0037934985377248
grouped_example_5fold,0.3,controls_plus_rho_learned_vs_controls_only_learned,regret_vs_oracle,0.2154285657948864,0.23110762256000497,-0.015679056765118576
grouped_example_5fold,0.3,controls_plus_rho_learned_vs_controls_only_learned,topk_preservation,0.9098908501696552,0.8985620224842537,0.011328827685401555
grouped_example_5fold,0.3,gradient_plus_rho_learned_vs_gradient_only_learned,safe_movement_rate,0.1687986762573654,0.14001772010617763,0.028780956151187753
grouped_example_5fold,0.3,gradient_plus_rho_learned_vs_gradient_only_learned,movement_per_drift,18.40134357191821,16.1071542448641,2.294189327054113
grouped_example_5fold,0.3,gradient_plus_rho_learned_vs_gradient_only_learned,regret_vs_oracle,0.23165851461610823,0.260439470767296,-0.02878095615118778
grouped_example_5fold,0.3,gradient_plus_rho_learned_vs_gradient_only_learned,topk_preservation,0.9338866238224922,0.9140813634124443,0.01980526041004793
grouped_example_5fold,0.3,rho_only_vs_within_example_shuffled_rho,safe_movement_rate,0.16740424170978874,0.12611119615808683,0.04129304555170191
grouped_example_5fold,0.3,rho_only_vs_within_example_shuffled_rho,movement_per_drift,18.753109565837782,19.029830499536935,-0.27672093369915274
grouped_example_5fold,0.3,rho_only_vs_within_example_shuffled_rho,regret_vs_oracle,0.23305294916368488,0.2743459947153868,-0.04129304555170191
grouped_example_5fold,0.3,rho_only_vs_within_example_shuffled_rho,topk_preservation,0.93881387723962,0.9459625691467123,-0.0071486919070923305
grouped_example_5fold,0.3,rho_only_vs_shuffled_rho,safe_movement_rate,0.16740424170978874,0.1250415413848876,0.04236270032490114
grouped_example_5fold,0.3,rho_only_vs_shuffled_rho,movement_per_drift,18.753109565837782,20.579369169898875,-1.826259604061093
grouped_example_5fold,0.3,rho_only_vs_shuffled_rho,regret_vs_oracle,0.23305294916368488,0.275415649488586,-0.04236270032490111
grouped_example_5fold,0.3,rho_only_vs_shuffled_rho,topk_preservation,0.93881387723962,0.9537837241323123,-0.014969846892692318
grouped_example_5fold,0.3,rho_only_vs_random,safe_movement_rate,0.16740424170978874,0.1196100038211552,0.04779423788863353
grouped_example_5fold,0.3,rho_only_vs_random,movement_per_drift,18.753109565837782,20.20793431455159,-1.4548247487138077
grouped_example_5fold,0.3,rho_only_vs_random,regret_vs_oracle,0.23305294916368488,0.2808471870523184,-0.047794237888633545
grouped_example_5fold,0.3,rho_only_vs_random,topk_preservation,0.93881387723962,0.9531073452093581,-0.014293467969738183
grouped_example_5fold,0.3,rho_only_vs_highest_entropy,safe_movement_rate,0.16740424170978874,0.07177720552538826,0.09562703618440048
grouped_example_5fold,0.3,rho_only_vs_highest_entropy,movement_per_drift,18.753109565837782,19.41543826008145,-0.6623286942436692
grouped_example_5fold,0.3,rho_only_vs_highest_entropy,regret_vs_oracle,0.23305294916368488,0.3286799853480854,-0.09562703618440052
grouped_example_5fold,0.3,rho_only_vs_highest_entropy,topk_preservation,0.93881387723962,0.9740474993318123,-0.035233622092192385
grouped_example_5fold,0.3,rho_only_vs_highest_fisher_output_energy,safe_movement_rate,0.16740424170978874,0.1289368835516224,0.03846735815816635
grouped_example_5fold,0.3,rho_only_vs_highest_fisher_output_energy,movement_per_drift,18.753109565837782,22.138596447403263,-3.3854868815654804
grouped_example_5fold,0.3,rho_only_vs_highest_fisher_output_energy,regret_vs_oracle,0.23305294916368488,0.27152030732185123,-0.03846735815816635
grouped_example_5fold,0.3,rho_only_vs_highest_fisher_output_energy,topk_preservation,0.93881387723962,0.9623316693377918,-0.02351779209817184
leave_one_model_out,0.05,controls_plus_rho_learned_vs_controls_only_learned,safe_movement_rate,0.20218579234972678,0.1721311475409836,0.030054644808743175
leave_one_model_out,0.05,controls_plus_rho_learned_vs_controls_only_learned,movement_per_drift,19.506508250278973,18.369094368871423,1.13741388140755
leave_one_model_out,0.05,controls_plus_rho_learned_vs_controls_only_learned,regret_vs_oracle,0.7978142076502732,0.8278688524590164,-0.030054644808743203
leave_one_model_out,0.05,controls_plus_rho_learned_vs_controls_only_learned,topk_preservation,0.8715846994535519,0.8707650273224044,0.0008196721311475308
leave_one_model_out,0.05,gradient_plus_rho_learned_vs_gradient_only_learned,safe_movement_rate,0.17759562841530055,0.17759562841530055,0.0
leave_one_model_out,0.05,gradient_plus_rho_learned_vs_gradient_only_learned,movement_per_drift,20.938325657653596,16.99466952893422,3.9436561287193754
leave_one_model_out,0.05,gradient_plus_rho_learned_vs_gradient_only_learned,regret_vs_oracle,0.8224043715846995,0.8224043715846995,0.0
leave_one_model_out,0.05,gradient_plus_rho_learned_vs_gradient_only_learned,topk_preservation,0.9275956284153005,0.9002732240437159,0.02732240437158462
leave_one_model_out,0.05,rho_only_vs_within_example_shuffled_rho,safe_movement_rate,0.16393442622950818,0.11748633879781421,0.04644808743169397
leave_one_model_out,0.05,rho_only_vs_within_example_shuffled_rho,movement_per_drift,19.970383311560816,17.863334465270096,2.10704884629072
leave_one_model_out,0.05,rho_only_vs_within_example_shuffled_rho,regret_vs_oracle,0.8360655737704917,0.8825136612021858,-0.04644808743169404
leave_one_model_out,0.05,rho_only_vs_within_example_shuffled_rho,topk_preservation,0.9333333333333332,0.9508196721311476,-0.01748633879781436
leave_one_model_out,0.05,rho_only_vs_shuffled_rho,safe_movement_rate,0.16393442622950818,0.0901639344262295,0.07377049180327869
leave_one_model_out,0.05,rho_only_vs_shuffled_rho,movement_per_drift,19.970383311560816,25.638172327657312,-5.667789016096496
leave_one_model_out,0.05,rho_only_vs_shuffled_rho,regret_vs_oracle,0.8360655737704917,0.9098360655737704,-0.07377049180327866
leave_one_model_out,0.05,rho_only_vs_shuffled_rho,topk_preservation,0.9333333333333332,0.9562841530054644,-0.022950819672131195
leave_one_model_out,0.05,rho_only_vs_random,safe_movement_rate,0.16393442622950818,0.09562841530054644,0.06830601092896174
leave_one_model_out,0.05,rho_only_vs_random,movement_per_drift,19.970383311560816,22.498581482234126,-2.52819817067331
leave_one_model_out,0.05,rho_only_vs_random,regret_vs_oracle,0.8360655737704917,0.9043715846994536,-0.06830601092896182
leave_one_model_out,0.05,rho_only_vs_random,topk_preservation,0.9333333333333332,0.9494535519125682,-0.016120218579234957
leave_one_model_out,0.05,rho_only_vs_highest_entropy,safe_movement_rate,0.16393442622950818,0.02185792349726776,0.14207650273224043
leave_one_model_out,0.05,rho_only_vs_highest_entropy,movement_per_drift,19.970383311560816,12.549220876477817,7.421162435083
leave_one_model_out,0.05,rho_only_vs_highest_entropy,regret_vs_oracle,0.8360655737704917,0.9781420765027322,-0.14207650273224048
leave_one_model_out,0.05,rho_only_vs_highest_entropy,topk_preservation,0.9333333333333332,0.9166666666666666,0.016666666666666607
leave_one_model_out,0.05,rho_only_vs_highest_fisher_output_energy,safe_movement_rate,0.16393442622950818,0.10382513661202186,0.06010928961748632
leave_one_model_out,0.05,rho_only_vs_highest_fisher_output_energy,movement_per_drift,19.970383311560816,26.16869636927001,-6.198313057709193
leave_one_model_out,0.05,rho_only_vs_highest_fisher_output_energy,regret_vs_oracle,0.8360655737704917,0.8961748633879781,-0.060109289617486406
leave_one_model_out,0.05,rho_only_vs_highest_fisher_output_energy,topk_preservation,0.9333333333333332,0.9576502732240438,-0.024316939890710598
leave_one_model_out,0.1,controls_plus_rho_learned_vs_controls_only_learned,safe_movement_rate,0.20164609053497942,0.17558299039780523,0.026063100137174194
leave_one_model_out,0.1,controls_plus_rho_learned_vs_controls_only_learned,movement_per_drift,20.968906991196707,17.989085332877526,2.9798216583191817
leave_one_model_out,0.1,controls_plus_rho_learned_vs_controls_only_learned,regret_vs_oracle,0.7983539094650206,0.8244170096021947,-0.026063100137174056
leave_one_model_out,0.1,controls_plus_rho_learned_vs_controls_only_learned,topk_preservation,0.8928669410150891,0.8887517146776406,0.004115226337448541
leave_one_model_out,0.1,gradient_plus_rho_learned_vs_gradient_only_learned,safe_movement_rate,0.15775034293552812,0.16323731138545952,-0.005486968449931406
leave_one_model_out,0.1,gradient_plus_rho_learned_vs_gradient_only_learned,movement_per_drift,20.156656745332146,18.79169200553025,1.364964739801895
leave_one_model_out,0.1,gradient_plus_rho_learned_vs_gradient_only_learned,regret_vs_oracle,0.8422496570644719,0.8367626886145404,0.005486968449931462
leave_one_model_out,0.1,gradient_plus_rho_learned_vs_gradient_only_learned,topk_preservation,0.9171467764060356,0.9320987654320988,-0.014951989026063206
leave_one_model_out,0.1,rho_only_vs_within_example_shuffled_rho,safe_movement_rate,0.15775034293552812,0.1262002743484225,0.03155006858710563
leave_one_model_out,0.1,rho_only_vs_within_example_shuffled_rho,movement_per_drift,19.606993343689005,18.436156306406087,1.1708370372829187
leave_one_model_out,0.1,rho_only_vs_within_example_shuffled_rho,regret_vs_oracle,0.8422496570644719,0.8737997256515775,-0.03155006858710563
leave_one_model_out,0.1,rho_only_vs_within_example_shuffled_rho,topk_preservation,0.9404663923182442,0.9502057613168725,-0.009739368998628262
leave_one_model_out,0.1,rho_only_vs_shuffled_rho,safe_movement_rate,0.15775034293552812,0.1056241426611797,0.052126200274348417
leave_one_model_out,0.1,rho_only_vs_shuffled_rho,movement_per_drift,19.606993343689005,24.511761251640063,-4.904767907951058
leave_one_model_out,0.1,rho_only_vs_shuffled_rho,regret_vs_oracle,0.8422496570644719,0.8943758573388204,-0.052126200274348555
leave_one_model_out,0.1,rho_only_vs_shuffled_rho,topk_preservation,0.9404663923182442,0.9574759945130316,-0.01700960219478731
leave_one_model_out,0.1,rho_only_vs_random,safe_movement_rate,0.15775034293552812,0.10013717421124828,0.05761316872427984
leave_one_model_out,0.1,rho_only_vs_random,movement_per_drift,19.606993343689005,20.541282938742388,-0.9342895950533823
leave_one_model_out,0.1,rho_only_vs_random,regret_vs_oracle,0.8422496570644719,0.8998628257887518,-0.057613168724279906
leave_one_model_out,0.1,rho_only_vs_random,topk_preservation,0.9404663923182442,0.9529492455418381,-0.012482853223593882
leave_one_model_out,0.1,rho_only_vs_highest_entropy,safe_movement_rate,0.15775034293552812,0.039780521262002745,0.11796982167352538
leave_one_model_out,0.1,rho_only_vs_highest_entropy,movement_per_drift,19.606993343689005,15.306153095530348,4.300840248158657
