policy,n,safe_movement_rate,mean_uncertainty_movement,mean_varentropy_movement,mean_drift,top1_preserved_rate,topk_jaccard_mean,rho_mean,projected_gradient_norm_mean,jacobian_norm_mean
deterministic_random_route,630.0,0.047619047619047616,0.019686808971548776,0.020721831637680783,0.0013095996728715402,0.9809523809523809,0.9753968253968254,0.5032573343952206,83.84936074769887,10.005275983250254
high_fisher_energy_route,630.0,0.10476190476190476,0.018236973554373072,0.022809054733079957,0.0006075600161188826,0.9920634920634921,0.9873015873015873,0.5762532432893421,85.87874084596585,11.860442298723154
high_gradient_route,630.0,0.08412698412698413,0.019866819076376822,0.024288983662553134,0.000800699149252865,0.9809523809523809,0.969047619047619,0.7585097407498248,120.76283686810004,12.05865683101189
high_jacobian_route,630.0,0.07936507936507936,0.017738627639499786,0.023578256648018183,0.000734941175453697,0.9746031746031746,0.9880952380952381,0.6979066094381815,107.0588322294826,13.598041014515106
high_rho_route,630.0,0.09523809523809523,0.02119474318983035,0.023452897780443568,0.0010817708251654498,0.9936507936507937,0.9785714285714285,0.8406647704104667,105.65844808236136,10.37639573724663
low_rho_route,630.0,0.004761904761904762,0.0109653253105094,0.019548373824907747,0.0018618165033256326,0.9587301587301588,0.9801587301587301,0.03559824985698539,80.74253896943274,10.15315656414283
