group_id,policy,model,model_type,task,budget_mode,eps,layer,route_family,subspace_dim,rho,projected_gradient_norm,jacobian_norm,uncertainty_movement,varentropy_movement,drift,top1_preserved,topk_jaccard,safe_movement
Qwen/Qwen2.5-0.5B::decoder::0::masked_factual_cloze::same_epsilon::0.05,high_jacobian_route,Qwen/Qwen2.5-0.5B,decoder,masked_factual_cloze,same_epsilon,0.05,6,state_pca,4,0.984780677618524,148.73107903648267,20.17763001405088,0.002863348416970002,0.00775234697811622,2.310944279487173e-06,1.0,1.0,0.0
Qwen/Qwen2.5-0.5B::decoder::0::masked_factual_cloze::same_epsilon::0.05,high_fisher_energy_route,Qwen/Qwen2.5-0.5B,decoder,masked_factual_cloze,same_epsilon,0.05,6,state_pca,2,0.5650179454940589,148.73107903648267,20.17763001405088,0.004164569755562175,0.009319020694427138,3.30540095101105e-06,1.0,1.0,0.0
Qwen/Qwen2.5-0.5B::decoder::0::masked_factual_cloze::same_epsilon::0.05,deterministic_random_route,Qwen/Qwen2.5-0.5B,decoder,masked_factual_cloze,same_epsilon,0.05,12,delta_pca,1,0.45391814318593937,151.1415635845453,17.035561829344903,0.0011912286495605606,1.5397385196513902e-05,4.6022929486103124e-07,1.0,1.0,0.0
Qwen/Qwen2.5-0.5B::decoder::0::masked_factual_cloze::same_epsilon::0.1,high_rho_route,Qwen/Qwen2.5-0.5B,decoder,masked_factual_cloze,same_epsilon,0.1,12,state_pca,4,0.9952489165442605,151.1415635845453,17.035561829344903,0.0018171277339714687,0.0003065948983467237,6.588135857770083e-07,1.0,1.0,0.0
Qwen/Qwen2.5-0.5B::decoder::0::masked_factual_cloze::same_epsilon::0.1,low_rho_route,Qwen/Qwen2.5-0.5B,decoder,masked_factual_cloze,same_epsilon,0.1,6,delta_pca,1,0.007059241549303413,148.73107903648267,20.17763001405088,0.0017737410273220289,0.0006957117808070734,3.022619891940834e-06,1.0,1.0,0.0
Qwen/Qwen2.5-0.5B::decoder::0::masked_factual_cloze::same_epsilon::0.1,high_gradient_route,Qwen/Qwen2.5-0.5B,decoder,masked_factual_cloze,same_epsilon,0.1,12,state_pca,4,0.9952489165442605,151.1415635845453,17.035561829344903,0.0018171277339714687,0.0003065948983467237,6.588135857770083e-07,1.0,1.0,0.0
Qwen/Qwen2.5-0.5B::decoder::0::masked_factual_cloze::same_epsilon::0.1,high_jacobian_route,Qwen/Qwen2.5-0.5B,decoder,masked_factual_cloze,same_epsilon,0.1,6,state_pca,4,0.984780677618524,148.73107903648267,20.17763001405088,0.005075154368321455,0.014771751393274357,9.214365286550313e-06,1.0,1.0,0.0
Qwen/Qwen2.5-0.5B::decoder::0::masked_factual_cloze::same_epsilon::0.1,high_fisher_energy_route,Qwen/Qwen2.5-0.5B,decoder,masked_factual_cloze,same_epsilon,0.1,6,state_pca,2,0.5650179454940589,148.73107903648267,20.17763001405088,0.007403690920778805,0.017259549223690884,1.1517084078882967e-05,1.0,1.0,0.0
Qwen/Qwen2.5-0.5B::decoder::0::masked_factual_cloze::same_epsilon::0.1,deterministic_random_route,Qwen/Qwen2.5-0.5B,decoder,masked_factual_cloze,same_epsilon,0.1,18,random,1,0.3672685911413424,63.103143837446765,8.993554781086296,0.0007372755252338381,0.0014591632282712208,1.6149853379782073e-06,1.0,1.0,0.0
Qwen/Qwen2.5-0.5B::decoder::0::masked_factual_cloze::same_epsilon::0.2,high_rho_route,Qwen/Qwen2.5-0.5B,decoder,masked_factual_cloze,same_epsilon,0.2,12,state_pca,4,0.9952489165442605,151.1415635845453,17.035561829344903,0.00369467334930762,0.0008220763270667675,2.6370410820699934e-06,1.0,1.0,0.0
Qwen/Qwen2.5-0.5B::decoder::0::masked_factual_cloze::same_epsilon::0.2,low_rho_route,Qwen/Qwen2.5-0.5B,decoder,masked_factual_cloze,same_epsilon,0.2,6,delta_pca,1,0.007059241549303413,148.73107903648267,20.17763001405088,0.002106607078425138,0.0035214801478913316,9.975569962041809e-06,1.0,1.0,0.0
Qwen/Qwen2.5-0.5B::decoder::0::masked_factual_cloze::same_epsilon::0.2,high_gradient_route,Qwen/Qwen2.5-0.5B,decoder,masked_factual_cloze,same_epsilon,0.2,12,state_pca,4,0.9952489165442605,151.1415635845453,17.035561829344903,0.00369467334930762,0.0008220763270667675,2.6370410820699934e-06,1.0,1.0,0.0
Qwen/Qwen2.5-0.5B::decoder::0::masked_factual_cloze::same_epsilon::0.2,high_jacobian_route,Qwen/Qwen2.5-0.5B,decoder,masked_factual_cloze,same_epsilon,0.2,6,state_pca,4,0.984780677618524,148.73107903648267,20.17763001405088,0.010056589712722941,0.029426949109577327,3.783247282462327e-05,1.0,1.0,1.0
Qwen/Qwen2.5-0.5B::decoder::0::masked_factual_cloze::same_epsilon::0.2,high_fisher_energy_route,Qwen/Qwen2.5-0.5B,decoder,masked_factual_cloze,same_epsilon,0.2,6,state_pca,2,0.5650179454940589,148.73107903648267,20.17763001405088,0.014046553110515725,0.033165042351989804,4.4376573629440657e-05,1.0,1.0,1.0
Qwen/Qwen2.5-0.5B::decoder::0::masked_factual_cloze::same_epsilon::0.2,deterministic_random_route,Qwen/Qwen2.5-0.5B,decoder,masked_factual_cloze,same_epsilon,0.2,6,random,2,0.46164876782886927,148.73107903648267,20.17763001405088,0.0009503837604326604,0.0018789676712174241,7.664039076732152e-06,1.0,1.0,0.0
