contrast,metric,ci_low,median,ci_high
high_rho_route_vs_low_rho_route,safe_movement_rate,0.06825396825396825,0.09047619047619047,0.11428571428571428
high_rho_route_vs_low_rho_route,mean_uncertainty_movement,0.00418554353189323,0.010469196278131452,0.01523706815861816
high_rho_route_vs_low_rho_route,mean_varentropy_movement,-0.001773416387829523,0.00400225419609046,0.00872499991128527
high_rho_route_vs_low_rho_route,mean_drift,-0.001796565662743097,-0.0007063132991766916,9.960763268157294e-06
high_rho_route_vs_low_rho_route,top1_preserved_rate,0.01904761904761905,0.03492063492063492,0.05238095238095238
high_rho_route_vs_low_rho_route,topk_jaccard_mean,-0.011904761904761904,-0.0015873015873015873,0.00873015873015873
high_rho_route_vs_high_gradient_route,safe_movement_rate,-0.009523809523809525,0.011111111111111112,0.031746031746031744
high_rho_route_vs_high_gradient_route,mean_uncertainty_movement,-0.0038874318332324915,0.0013024930106367253,0.006090519033066631
high_rho_route_vs_high_gradient_route,mean_varentropy_movement,-0.005302011791010233,-0.0008719372450669136,0.0030517226450823046
high_rho_route_vs_high_gradient_route,mean_drift,-0.00041066152901770875,0.00023410018101060245,0.0012634116242161585
high_rho_route_vs_high_gradient_route,top1_preserved_rate,0.0031746031746031746,0.012698412698412698,0.023809523809523808
high_rho_route_vs_high_gradient_route,topk_jaccard_mean,-0.0015873015873015873,0.009523809523809525,0.020634920634920634
high_rho_route_vs_high_jacobian_route,safe_movement_rate,-0.006349206349206349,0.015873015873015872,0.0380952380952381
high_rho_route_vs_high_jacobian_route,mean_uncertainty_movement,-0.0014187367759565426,0.0034955953108178417,0.0080584655677019
high_rho_route_vs_high_jacobian_route,mean_varentropy_movement,-0.004946952306268279,-8.560957723816384e-05,0.004365756995835974
high_rho_route_vs_high_jacobian_route,mean_drift,-0.00030802653254191647,0.00030046727328715073,0.0012680993314136077
high_rho_route_vs_high_jacobian_route,top1_preserved_rate,0.004761904761904762,0.01904761904761905,0.03178571428571425
high_rho_route_vs_high_jacobian_route,topk_jaccard_mean,-0.01904761904761905,-0.009523809523809525,-0.0007936507936507937
high_rho_route_vs_high_fisher_energy_route,safe_movement_rate,-0.03492063492063492,-0.009523809523809525,0.014285714285714285
high_rho_route_vs_high_fisher_energy_route,mean_uncertainty_movement,-0.0003998097068605071,0.002909584347042679,0.006719871076150104
high_rho_route_vs_high_fisher_energy_route,mean_varentropy_movement,-0.0030769331910757156,0.0005265492822719708,0.0046729487333338
high_rho_route_vs_high_fisher_energy_route,mean_drift,-4.0672129097007017e-05,0.00043250071911894955,0.0013562900996902682
high_rho_route_vs_high_fisher_energy_route,top1_preserved_rate,-0.006349206349206349,0.0015873015873015873,0.011111111111111112
high_rho_route_vs_high_fisher_energy_route,topk_jaccard_mean,-0.018253968253968255,-0.00873015873015873,0.0
high_rho_route_vs_deterministic_random_route,safe_movement_rate,0.025396825396825397,0.047619047619047616,0.06984126984126984
high_rho_route_vs_deterministic_random_route,mean_uncertainty_movement,-0.002575283677495404,0.0017006166643682814,0.0051418414392613125
high_rho_route_vs_deterministic_random_route,mean_varentropy_movement,-0.0024994705717202165,0.0027997098690111656,0.007163783055520279
high_rho_route_vs_deterministic_random_route,mean_drift,-0.0006084945666746869,-0.00021114407851497363,4.1420037952592776e-05
high_rho_route_vs_deterministic_random_route,top1_preserved_rate,0.0015873015873015873,0.012698412698412698,0.025396825396825397
high_rho_route_vs_deterministic_random_route,topk_jaccard_mean,-0.007142857142857143,0.002380952380952381,0.013492063492063493
