model,task,layer,subspace_family,k,sign,n,directional_rate,monotonic_abs_rate,entropy_slope_mean
bert-base-uncased,factual_simple,8,delta_pca,8,increase,9,1.0,1.0,1.0207009823859379
bert-base-uncased,factual_simple,8,random,1,decrease,9,0.8888888888888888,0.2222222222222222,-0.25445145668388713
bert-base-uncased,factual_simple,8,random,1,increase,9,1.0,0.5555555555555556,0.30643628888006125
bert-base-uncased,factual_simple,8,random,4,decrease,9,1.0,0.5555555555555556,-0.8310543267691796
bert-base-uncased,factual_simple,8,random,4,increase,9,1.0,0.4444444444444444,0.8002520268118039
bert-base-uncased,factual_simple,8,random,8,decrease,9,1.0,0.2222222222222222,-0.8724033571735625
bert-base-uncased,factual_simple,8,random,8,increase,9,1.0,0.2222222222222222,0.9921286009734707
bert-base-uncased,factual_simple,8,state_pca,1,decrease,9,1.0,1.0,-0.5206467395478348
bert-base-uncased,factual_simple,8,state_pca,1,increase,9,1.0,1.0,0.49318842625939063
bert-base-uncased,factual_simple,8,state_pca,4,decrease,9,1.0,1.0,-0.7764530811908658
bert-base-uncased,factual_simple,8,state_pca,4,increase,9,1.0,1.0,0.7764583304143622
bert-base-uncased,factual_simple,8,state_pca,8,decrease,9,1.0,1.0,-0.8761172115590384
bert-base-uncased,factual_simple,8,state_pca,8,increase,9,1.0,1.0,1.038447502237313
bert-base-uncased,factual_simple,12,delta_pca,1,decrease,9,0.7777777777777778,1.0,-0.29997344212496985
bert-base-uncased,factual_simple,12,delta_pca,1,increase,9,1.0,0.8888888888888888,0.7799417694476555
bert-base-uncased,factual_simple,12,delta_pca,4,decrease,9,1.0,0.8888888888888888,-0.6633387636773311
bert-base-uncased,factual_simple,12,delta_pca,4,increase,9,1.0,1.0,0.9472915555863766
bert-base-uncased,factual_simple,12,delta_pca,8,decrease,9,1.0,0.8888888888888888,-0.5582053197562445
bert-base-uncased,factual_simple,12,delta_pca,8,increase,9,1.0,1.0,1.3287313532542948
bert-base-uncased,factual_simple,12,random,1,decrease,9,0.7777777777777778,0.3333333333333333,-0.36198528083944403
bert-base-uncased,factual_simple,12,random,1,increase,9,1.0,0.3333333333333333,0.765893913622859
bert-base-uncased,factual_simple,12,random,4,decrease,9,1.0,0.3333333333333333,-0.6514553682077495
bert-base-uncased,factual_simple,12,random,4,increase,9,1.0,0.3333333333333333,0.9562091614215864
bert-base-uncased,factual_simple,12,random,8,decrease,9,0.8888888888888888,0.5555555555555556,-0.6155103108412794
bert-base-uncased,factual_simple,12,random,8,increase,9,1.0,0.5555555555555556,1.331900083495425
bert-base-uncased,factual_simple,12,state_pca,1,decrease,9,0.8888888888888888,0.8888888888888888,-0.43942766972631214
bert-base-uncased,factual_simple,12,state_pca,1,increase,9,1.0,1.0,0.7068218048648286
bert-base-uncased,factual_simple,12,state_pca,4,decrease,9,0.8888888888888888,0.8888888888888888,-0.5237234591314213
bert-base-uncased,factual_simple,12,state_pca,4,increase,9,1.0,1.0,1.1378404846022743
bert-base-uncased,factual_simple,12,state_pca,8,decrease,9,1.0,1.0,-0.6945735528414576
bert-base-uncased,factual_simple,12,state_pca,8,increase,9,1.0,1.0,1.399217273570863
distilbert-base-uncased,ambiguous_open,2,delta_pca,1,decrease,12,1.0,1.0,-0.16308882790872117
distilbert-base-uncased,ambiguous_open,2,delta_pca,1,increase,12,0.75,1.0,0.06103003207727407
distilbert-base-uncased,ambiguous_open,2,delta_pca,4,decrease,12,1.0,1.0,-0.37419683566459105
distilbert-base-uncased,ambiguous_open,2,delta_pca,4,increase,12,1.0,1.0,0.24925016766774663
distilbert-base-uncased,ambiguous_open,2,delta_pca,8,decrease,12,1.0,1.0,-0.4761170826673023
distilbert-base-uncased,ambiguous_open,2,delta_pca,8,increase,12,1.0,1.0,0.3431772436039385
distilbert-base-uncased,ambiguous_open,2,random,1,decrease,12,1.0,0.3333333333333333,-0.2476067725417793
distilbert-base-uncased,ambiguous_open,2,random,1,increase,12,0.6666666666666666,0.25,0.13127026746297188
distilbert-base-uncased,ambiguous_open,2,random,4,decrease,12,1.0,0.16666666666666666,-0.33567630631589934
distilbert-base-uncased,ambiguous_open,2,random,4,increase,12,1.0,0.25,0.22925230007875505
distilbert-base-uncased,ambiguous_open,2,random,8,decrease,12,1.0,0.5833333333333334,-0.42884953502370277
distilbert-base-uncased,ambiguous_open,2,random,8,increase,12,1.0,0.5833333333333334,0.32758282624252477
distilbert-base-uncased,ambiguous_open,2,state_pca,1,decrease,12,1.0,1.0,-0.13613777891923273
distilbert-base-uncased,ambiguous_open,2,state_pca,1,increase,12,0.8333333333333334,0.8333333333333334,0.04415146842296838
distilbert-base-uncased,ambiguous_open,2,state_pca,4,decrease,12,1.0,1.0,-0.36477177404749656
distilbert-base-uncased,ambiguous_open,2,state_pca,4,increase,12,1.0,1.0,0.24598441868798926
distilbert-base-uncased,ambiguous_open,2,state_pca,8,decrease,12,1.0,1.0,-0.47873094084076945
distilbert-base-uncased,ambiguous_open,2,state_pca,8,increase,12,1.0,1.0,0.34573100433133086
distilbert-base-uncased,ambiguous_open,4,delta_pca,1,decrease,12,1.0,1.0,-0.32723824156066755
distilbert-base-uncased,ambiguous_open,4,delta_pca,1,increase,12,1.0,0.9166666666666666,0.2734588236127096
distilbert-base-uncased,ambiguous_open,4,delta_pca,4,decrease,12,1.0,1.0,-0.5936461067619322
distilbert-base-uncased,ambiguous_open,4,delta_pca,4,increase,12,1.0,1.0,0.5176210858067386
distilbert-base-uncased,ambiguous_open,4,delta_pca,8,decrease,12,1.0,1.0,-0.6735315039215662
distilbert-base-uncased,ambiguous_open,4,delta_pca,8,increase,12,1.0,1.0,0.6090835972893319
distilbert-base-uncased,ambiguous_open,4,random,1,decrease,12,1.0,0.4166666666666667,-0.2913075659087903
distilbert-base-uncased,ambiguous_open,4,random,1,increase,12,0.5,0.25,0.19897099255902795
distilbert-base-uncased,ambiguous_open,4,random,4,decrease,12,1.0,0.5833333333333334,-0.5213254931789678
distilbert-base-uncased,ambiguous_open,4,random,4,increase,12,1.0,0.4166666666666667,0.43712385637873846
distilbert-base-uncased,ambiguous_open,4,random,8,decrease,12,1.0,0.5,-0.6286361635497061
distilbert-base-uncased,ambiguous_open,4,random,8,increase,12,1.0,0.5833333333333334,0.5981473346713065
distilbert-base-uncased,ambiguous_open,4,state_pca,1,decrease,12,1.0,1.0,-0.2836860522055213
distilbert-base-uncased,ambiguous_open,4,state_pca,1,increase,12,0.9166666666666666,0.9166666666666666,0.22502100982003378
distilbert-base-uncased,ambiguous_open,4,state_pca,4,decrease,12,1.0,1.0,-0.5356152888648174
distilbert-base-uncased,ambiguous_open,4,state_pca,4,increase,12,1.0,1.0,0.4799304596782412
distilbert-base-uncased,ambiguous_open,4,state_pca,8,decrease,12,1.0,1.0,-0.6670114924143618
distilbert-base-uncased,ambiguous_open,4,state_pca,8,increase,12,1.0,1.0,0.5952520503628899
distilbert-base-uncased,ambiguous_open,6,delta_pca,1,decrease,12,1.0,1.0,-0.23651553769892134
distilbert-base-uncased,ambiguous_open,6,delta_pca,1,increase,12,0.8333333333333334,1.0,0.15985231205630826
distilbert-base-uncased,ambiguous_open,6,delta_pca,4,decrease,12,1.0,1.0,-0.45456639180405034
distilbert-base-uncased,ambiguous_open,6,delta_pca,4,increase,12,1.0,1.0,0.37893609517283
distilbert-base-uncased,ambiguous_open,6,delta_pca,8,decrease,12,1.0,1.0,-0.5869626814385523
distilbert-base-uncased,ambiguous_open,6,delta_pca,8,increase,12,1.0,1.0,0.5176968530949105
distilbert-base-uncased,ambiguous_open,6,random,1,decrease,12,1.0,0.25,-0.19610543711245854
distilbert-base-uncased,ambiguous_open,6,random,1,increase,12,0.6666666666666666,0.0,0.1126531550993436
distilbert-base-uncased,ambiguous_open,6,random,4,decrease,12,1.0,0.3333333333333333,-0.4668488198065095
distilbert-base-uncased,ambiguous_open,6,random,4,increase,12,1.0,0.25,0.387660240887658
distilbert-base-uncased,ambiguous_open,6,random,8,decrease,12,1.0,0.16666666666666666,-0.5564238940528194
distilbert-base-uncased,ambiguous_open,6,random,8,increase,12,1.0,0.3333333333333333,0.5179205375793953
distilbert-base-uncased,ambiguous_open,6,state_pca,1,decrease,12,1.0,1.0,-0.23423492987438574
distilbert-base-uncased,ambiguous_open,6,state_pca,1,increase,12,0.8333333333333334,0.75,0.16145741349519763
distilbert-base-uncased,ambiguous_open,6,state_pca,4,decrease,12,1.0,1.0,-0.4799849539455325
distilbert-base-uncased,ambiguous_open,6,state_pca,4,increase,12,1.0,1.0,0.38992413315307045
distilbert-base-uncased,ambiguous_open,6,state_pca,8,decrease,12,1.0,1.0,-0.6075080181055261
distilbert-base-uncased,ambiguous_open,6,state_pca,8,increase,12,1.0,1.0,0.5136381351756886
distilbert-base-uncased,factual_deep,2,delta_pca,1,decrease,12,1.0,1.0,-0.34322587092228063
distilbert-base-uncased,factual_deep,2,delta_pca,1,increase,12,0.8333333333333334,0.6666666666666666,0.27903853785952853
distilbert-base-uncased,factual_deep,2,delta_pca,4,decrease,12,1.0,1.0,-0.5460540251765852
distilbert-base-uncased,factual_deep,2,delta_pca,4,increase,12,1.0,0.9166666666666666,0.45445523312248026
distilbert-base-uncased,factual_deep,2,delta_pca,8,decrease,12,1.0,1.0,-0.6379180547293701
distilbert-base-uncased,factual_deep,2,delta_pca,8,increase,12,1.0,1.0,0.546456244466603
distilbert-base-uncased,factual_deep,2,random,1,decrease,12,1.0,0.08333333333333333,-0.2883239243711066
distilbert-base-uncased,factual_deep,2,random,1,increase,12,0.8333333333333334,0.25,0.22405897125914578
distilbert-base-uncased,factual_deep,2,random,4,decrease,12,1.0,0.3333333333333333,-0.521468231853018
distilbert-base-uncased,factual_deep,2,random,4,increase,12,0.9166666666666666,0.3333333333333333,0.4300576309832227
distilbert-base-uncased,factual_deep,2,random,8,decrease,12,1.0,0.3333333333333333,-0.5954618333000679
distilbert-base-uncased,factual_deep,2,random,8,increase,12,1.0,0.3333333333333333,0.5460005087512972
distilbert-base-uncased,factual_deep,2,state_pca,1,decrease,12,1.0,1.0,-0.2820946493945538
distilbert-base-uncased,factual_deep,2,state_pca,1,increase,12,0.75,0.6666666666666666,0.23737691813994485
distilbert-base-uncased,factual_deep,2,state_pca,4,decrease,12,1.0,1.0,-0.5192182624269958
distilbert-base-uncased,factual_deep,2,state_pca,4,increase,12,1.0,1.0,0.46351773543344105
distilbert-base-uncased,factual_deep,2,state_pca,8,decrease,12,1.0,1.0,-0.557604570869816
distilbert-base-uncased,factual_deep,2,state_pca,8,increase,12,1.0,1.0,0.6153658268026103
distilbert-base-uncased,factual_deep,4,delta_pca,1,decrease,12,1.0,1.0,-0.21610595016926135
