model,task,layer,subspace_family,k,sign,n,directional_rate,monotonic_abs_rate,entropy_slope_mean
bert-base-uncased,factual_deep,8,delta_pca,1,decrease,12,0.9166666666666666,1.0,0.11038521440229777
bert-base-uncased,factual_deep,8,delta_pca,1,increase,12,1.0,1.0,0.379907316917717
bert-base-uncased,factual_deep,8,delta_pca,4,decrease,12,1.0,1.0,-0.4881863072018798
bert-base-uncased,factual_deep,8,delta_pca,4,increase,12,1.0,1.0,0.4677574592774732
bert-base-uncased,factual_deep,8,delta_pca,8,decrease,12,1.0,1.0,-0.5755704552257749
bert-base-uncased,factual_deep,8,delta_pca,8,increase,12,1.0,1.0,0.6570628102823564
bert-base-uncased,factual_deep,8,random,1,decrease,12,0.9166666666666666,0.08333333333333333,-0.2681346087147918
bert-base-uncased,factual_deep,8,random,1,increase,12,0.9166666666666666,0.08333333333333333,0.27127346484615544
bert-base-uncased,factual_deep,8,random,4,decrease,12,1.0,0.5833333333333334,-0.48736262188986107
bert-base-uncased,factual_deep,8,random,4,increase,12,1.0,0.6666666666666666,0.4947254451566185
bert-base-uncased,factual_deep,8,random,8,decrease,12,1.0,0.3333333333333333,-0.5723092227795998
bert-base-uncased,factual_deep,8,random,8,increase,12,1.0,0.5,0.643625187793506
bert-base-uncased,factual_deep,8,state_pca,1,decrease,12,1.0,1.0,-0.31659316699104595
bert-base-uncased,factual_deep,8,state_pca,1,increase,12,1.0,1.0,0.30785157273637326
bert-base-uncased,factual_deep,8,state_pca,4,decrease,12,1.0,1.0,-0.49158856117109834
bert-base-uncased,factual_deep,8,state_pca,4,increase,12,1.0,1.0,0.5444097010662177
bert-base-uncased,factual_deep,8,state_pca,8,decrease,12,0.9166666666666666,0.9166666666666666,-0.47012101383758825
bert-base-uncased,factual_deep,8,state_pca,8,increase,12,1.0,1.0,0.8645952146388365
bert-base-uncased,factual_deep,12,delta_pca,1,decrease,12,0.8333333333333334,0.9166666666666666,-0.3918145064814464
bert-base-uncased,factual_deep,12,delta_pca,1,increase,12,1.0,1.0,0.6893475524053209
bert-base-uncased,factual_deep,12,delta_pca,4,decrease,12,1.0,1.0,-0.8183375654332167
bert-base-uncased,factual_deep,12,delta_pca,4,increase,12,1.0,1.0,1.0762083976397039
bert-base-uncased,factual_deep,12,delta_pca,8,decrease,12,1.0,1.0,-0.9638923576309967
bert-base-uncased,factual_deep,12,delta_pca,8,increase,12,1.0,1.0,1.3053905884238228
bert-base-uncased,factual_deep,12,random,1,decrease,12,1.0,0.08333333333333333,-0.4739864375680248
bert-base-uncased,factual_deep,12,random,1,increase,12,1.0,0.3333333333333333,0.719612914890542
bert-base-uncased,factual_deep,12,random,4,decrease,12,1.0,0.3333333333333333,-0.7948970668038235
bert-base-uncased,factual_deep,12,random,4,increase,12,1.0,0.08333333333333333,1.0988770134732229
bert-base-uncased,factual_deep,12,random,8,decrease,12,1.0,0.08333333333333333,-0.9760736955937107
bert-base-uncased,factual_deep,12,random,8,increase,12,1.0,0.5,1.3634825062613347
bert-base-uncased,factual_deep,12,state_pca,1,decrease,12,0.8333333333333334,0.9166666666666666,-0.25219800489807775
bert-base-uncased,factual_deep,12,state_pca,1,increase,12,1.0,1.0,0.6081774158690271
bert-base-uncased,factual_deep,12,state_pca,4,decrease,12,1.0,1.0,-0.8521845422284432
bert-base-uncased,factual_deep,12,state_pca,4,increase,12,1.0,1.0,1.1333991366837697
bert-base-uncased,factual_deep,12,state_pca,8,decrease,12,1.0,1.0,-0.9524871350782744
bert-base-uncased,factual_deep,12,state_pca,8,increase,12,1.0,1.0,1.3844567930105958
bert-base-uncased,factual_simple,4,delta_pca,1,decrease,9,1.0,1.0,-0.27921417493824124
bert-base-uncased,factual_simple,4,delta_pca,1,increase,9,1.0,0.8888888888888888,0.18906461718231524
bert-base-uncased,factual_simple,4,delta_pca,4,decrease,9,1.0,1.0,-0.5348800608957678
bert-base-uncased,factual_simple,4,delta_pca,4,increase,9,1.0,1.0,0.43153715401896253
bert-base-uncased,factual_simple,4,delta_pca,8,decrease,9,1.0,1.0,-0.6251173530651268
bert-base-uncased,factual_simple,4,delta_pca,8,increase,9,1.0,1.0,0.5749254499203489
bert-base-uncased,factual_simple,4,random,1,decrease,9,1.0,0.3333333333333333,-0.2722259678609646
bert-base-uncased,factual_simple,4,random,1,increase,9,0.8888888888888888,0.2222222222222222,0.18735406078416575
bert-base-uncased,factual_simple,4,random,4,decrease,9,1.0,0.3333333333333333,-0.5726982664436441
bert-base-uncased,factual_simple,4,random,4,increase,9,1.0,0.3333333333333333,0.4741026658301699
bert-base-uncased,factual_simple,4,random,8,decrease,9,0.8888888888888888,0.6666666666666666,-0.5233011583228144
bert-base-uncased,factual_simple,4,random,8,increase,9,1.0,0.5555555555555556,0.6585628459997471
bert-base-uncased,factual_simple,4,state_pca,1,decrease,9,1.0,1.0,-0.3171013137887759
bert-base-uncased,factual_simple,4,state_pca,1,increase,9,1.0,1.0,0.22339582424525709
bert-base-uncased,factual_simple,4,state_pca,4,decrease,9,1.0,1.0,-0.5943256358517811
bert-base-uncased,factual_simple,4,state_pca,4,increase,9,1.0,1.0,0.5004999946011321
bert-base-uncased,factual_simple,4,state_pca,8,decrease,9,1.0,1.0,-0.6718318311305373
bert-base-uncased,factual_simple,4,state_pca,8,increase,9,1.0,1.0,0.5798281002475851
bert-base-uncased,factual_simple,8,delta_pca,1,decrease,9,0.8888888888888888,1.0,-0.22862156432340214
bert-base-uncased,factual_simple,8,delta_pca,1,increase,9,0.8888888888888888,0.8888888888888888,0.31409883523724713
bert-base-uncased,factual_simple,8,delta_pca,4,decrease,9,1.0,1.0,-0.8108174381781857
bert-base-uncased,factual_simple,8,delta_pca,4,increase,9,1.0,1.0,0.8173483119837244
bert-base-uncased,factual_simple,8,delta_pca,8,decrease,9,1.0,1.0,-0.907731226271962
