sign,epsilon,control,metric,accessible,control_value,accessible_minus_control,accessible_over_control
increase,0.05,strict_orthogonal_ls,abs_delta_entropy_mean,0.0008403108619394513,1.2868456731864946e-08,0.0008402979934827194,65300.049527980205
increase,0.05,strict_orthogonal_ls,abs_delta_varentropy_mean,0.0010334482724831968,2.562851901863471e-08,0.0010334226439641782,40324.15106513833
increase,0.05,strict_orthogonal_ls,abs_delta_semantic_entropy_proxy_mean,0.00031528932505872387,1.2118448714312735e-08,0.0003152772066100096,26017.300769391808
increase,0.05,strict_orthogonal_ls,selected_top1_changed_rate,0.0,0.0,0.0,inf
increase,0.05,strict_orthogonal_ls,target_correct_changed_rate,0.0,0.0,0.0,inf
increase,0.05,grad_orthogonal_control,abs_delta_entropy_mean,0.0008403108619394513,8.696294419182433e-07,0.0008394412324975331,966.2861230708558
increase,0.05,grad_orthogonal_control,abs_delta_varentropy_mean,0.0010334482724831968,0.00034004230788449024,0.0006934059645987065,3.0391755629251027
increase,0.05,grad_orthogonal_control,abs_delta_semantic_entropy_proxy_mean,0.00031528932505872387,0.00015652726304545535,0.00015876206201326853,2.0142773784217014
increase,0.05,grad_orthogonal_control,selected_top1_changed_rate,0.0,0.0,0.0,inf
increase,0.05,grad_orthogonal_control,target_correct_changed_rate,0.0,0.0,0.0,inf
increase,0.05,random_control,abs_delta_entropy_mean,0.0008403108619394513,0.0005761719807892087,0.00026413888115024253,1.4584375671799237
increase,0.05,random_control,abs_delta_varentropy_mean,0.0010334482724831968,0.000992596671721694,4.085160076150278e-05,1.0411562943190653
increase,0.05,random_control,abs_delta_semantic_entropy_proxy_mean,0.00031528932505872387,0.0003329169514548434,-1.762762639611953e-05,0.9470509797741239
increase,0.05,random_control,selected_top1_changed_rate,0.0,0.0,0.0,inf
increase,0.05,random_control,target_correct_changed_rate,0.0,0.0,0.0,inf
increase,0.1,strict_orthogonal_ls,abs_delta_entropy_mean,0.001681085185931004,1.2868456731864946e-08,0.0016810723174742722,130636.11441209506
increase,0.1,strict_orthogonal_ls,abs_delta_varentropy_mean,0.0020686832170745064,2.562851901863471e-08,0.0020686575885554876,80718.01634617863
increase,0.1,strict_orthogonal_ls,abs_delta_semantic_entropy_proxy_mean,0.0006307162041462238,1.2118448714312735e-08,0.0006307040856975095,52045.952333924055
increase,0.1,strict_orthogonal_ls,selected_top1_changed_rate,0.0,0.0,0.0,inf
increase,0.1,strict_orthogonal_ls,target_correct_changed_rate,0.0,0.0,0.0,inf
increase,0.1,grad_orthogonal_control,abs_delta_entropy_mean,0.001681085185931004,2.9592809905825626e-06,0.0016781259049404214,568.0721740452454
increase,0.1,grad_orthogonal_control,abs_delta_varentropy_mean,0.0020686832170745064,0.000679232744622559,0.0013894504724519473,3.045617622901922
increase,0.1,grad_orthogonal_control,abs_delta_semantic_entropy_proxy_mean,0.0006307162041462238,0.0003130974031094535,0.0003176188010367703,2.0144408669072744
increase,0.1,grad_orthogonal_control,selected_top1_changed_rate,0.0,0.0,0.0,inf
increase,0.1,grad_orthogonal_control,target_correct_changed_rate,0.0,0.0,0.0,inf
increase,0.1,random_control,abs_delta_entropy_mean,0.001681085185931004,0.0011524339446826258,0.0005286512412483783,1.4587258503514196
increase,0.1,random_control,abs_delta_varentropy_mean,0.0020686832170745064,0.0019851311290207297,8.35520880537767e-05,1.0420889516225527
increase,0.1,random_control,abs_delta_semantic_entropy_proxy_mean,0.0006307162041462238,0.0006659666242059814,-3.525042005975761e-05,0.947068788767326
increase,0.1,random_control,selected_top1_changed_rate,0.0,0.0,0.0,inf
increase,0.1,random_control,target_correct_changed_rate,0.0,0.0,0.0,inf
increase,0.2,strict_orthogonal_ls,abs_delta_entropy_mean,0.0033640826891362854,1.2868456731864946e-08,0.0033640698206795533,261420.8338445219
increase,0.2,strict_orthogonal_ls,abs_delta_varentropy_mean,0.004143121184616942,2.562851901863471e-08,0.004143095556097923,161660.57748418642
increase,0.2,strict_orthogonal_ls,abs_delta_semantic_entropy_proxy_mean,0.001261961262047557,1.2118448714312735e-08,0.0012619491435988427,104135.54505182603
increase,0.2,strict_orthogonal_ls,selected_top1_changed_rate,0.0,0.0,0.0,inf
increase,0.2,strict_orthogonal_ls,target_correct_changed_rate,0.0,0.0,0.0,inf
increase,0.2,grad_orthogonal_control,abs_delta_entropy_mean,0.0033640826891362854,1.1546961244380233e-05,0.003352535727891905,291.33922059135205
increase,0.2,grad_orthogonal_control,abs_delta_varentropy_mean,0.004143121184616942,0.0013568773085215705,0.0027862438760953715,3.053423591504536
increase,0.2,grad_orthogonal_control,abs_delta_semantic_entropy_proxy_mean,0.001261961262047557,0.0006262227803600693,0.0006357384816874878,2.0151953931186393
increase,0.2,grad_orthogonal_control,selected_top1_changed_rate,0.0,0.0,0.0,inf
increase,0.2,grad_orthogonal_control,target_correct_changed_rate,0.0,0.0,0.0,inf
increase,0.2,random_control,abs_delta_entropy_mean,0.0033640826891362854,0.0023054815539231706,0.0010586011352131147,1.4591670375378731
increase,0.2,random_control,abs_delta_varentropy_mean,0.004143121184616942,0.003969637751572229,0.00017348343304471325,1.0437025854502726
increase,0.2,random_control,abs_delta_semantic_entropy_proxy_mean,0.001261961262047557,0.0013323031249355894,-7.034186288803232e-05,0.9472028087516248
increase,0.2,random_control,selected_top1_changed_rate,0.0,0.0,0.0,inf
increase,0.2,random_control,target_correct_changed_rate,0.0,0.0,0.0,inf
