condition,accuracy,mean_confidence,overconfident_wrong_rate,nll,brier,ece
before,0.6944444444444444,0.6335151560421343,0.0,0.6370597759241118,0.3362292472878263,0.16740121746997352
accessible_rho_after_eps_median,0.7222222222222222,0.7449219184303371,0.0,0.5240142045374704,0.2936850617322503,0.08769590437698888
