route,layer,n,rho_mean,rho_median
delta_pca,3,216,0.8915559274156775,0.8893259798940434
delta_pca,5,216,0.9176487133711942,0.9208935628262913
random,3,216,0.3480947921811931,0.34790512218041103
random,5,216,0.10653163320816782,0.08023008997657324
state_pca,3,216,0.8962098557146875,0.9023260146810386
state_pca,5,216,0.9916987395258947,0.9938876441552056
