metric,group,method,eps,coverage,ci_low,median,ci_high
semantic_drift_proxy_mean,correct_high,low_rho,0.05,,4.080351190271174e-07,5.208626976786219e-07,6.59657272000682e-07
semantic_drift_proxy_mean,correct_high,low_rho,0.1,,5.982378357838184e-07,8.637761405977296e-07,1.1481182665728304e-06
semantic_drift_proxy_mean,correct_high,low_rho,0.2,,1.2619334731984417e-06,1.5749082906692477e-06,1.9997265108924347e-06
semantic_drift_proxy_mean,correct_high,low_rho,0.4,,3.969838998377756e-06,4.687980317662879e-06,5.419536548860497e-06
semantic_drift_proxy_mean,correct_high,projected_gradient,0.05,,2.0098185468862636e-05,2.2477438054669797e-05,2.5255261085831992e-05
semantic_drift_proxy_mean,correct_high,projected_gradient,0.1,,7.807556422219598e-05,8.504106835760498e-05,9.389606724046279e-05
semantic_drift_proxy_mean,correct_high,projected_gradient,0.2,,0.0002874112404305071,0.0003145123195302629,0.00034788579020038617
semantic_drift_proxy_mean,correct_high,projected_gradient,0.4,,0.001019108807295617,0.0011136755050729528,0.001229920530819676
semantic_drift_proxy_mean,correct_high,random_activation,0.05,,3.4639552123606875e-07,4.918057727745132e-07,6.427018592632348e-07
semantic_drift_proxy_mean,correct_high,random_activation,0.1,,4.371495108096635e-07,5.891405607365951e-07,8.064683631650222e-07
semantic_drift_proxy_mean,correct_high,random_activation,0.2,,1.092884418482808e-06,1.4159903296003368e-06,1.7971232922847747e-06
semantic_drift_proxy_mean,correct_high,random_activation,0.4,,2.5555270838359635e-06,3.2481642124759053e-06,4.133025515381553e-06
semantic_drift_proxy_mean,correct_high,standard_delta_pca,0.05,,1.0887846015751398e-06,1.3460772096478277e-06,1.5873627817825808e-06
semantic_drift_proxy_mean,correct_high,standard_delta_pca,0.1,,2.948280375384384e-06,3.4656116021903375e-06,4.130639174851518e-06
semantic_drift_proxy_mean,correct_high,standard_delta_pca,0.2,,1.1381484679489394e-05,1.2678621636400422e-05,1.4589221321836065e-05
semantic_drift_proxy_mean,correct_high,standard_delta_pca,0.4,,4.455047283691975e-05,4.935624041877694e-05,5.480761622607045e-05
semantic_drift_proxy_mean,correct_high,temperature_1.25,0.0,,0.003167560831140646,0.0033070212156349047,0.003435212536580854
semantic_drift_proxy_mean,correct_high,temperature_1.5,0.0,,0.011289994694381984,0.0117352076554639,0.012169087034769417
semantic_drift_proxy_mean,correct_high,temperature_2,0.0,,0.03498626329678121,0.036172460941545595,0.037368207051454765
semantic_drift_proxy_mean,wrong_high,accessible_rho,0.05,,7.902598234764437e-07,1.0007648797450512e-06,1.1971700351817004e-06
semantic_drift_proxy_mean,wrong_high,accessible_rho,0.1,,1.8090899247439326e-06,2.161787574740602e-06,2.5641976011492163e-06
semantic_drift_proxy_mean,wrong_high,accessible_rho,0.2,,5.4394254906740645e-06,6.551426421459252e-06,7.889725488961815e-06
semantic_drift_proxy_mean,wrong_high,accessible_rho,0.4,,1.9560569434955002e-05,2.3758193838368864e-05,2.8318348631018537e-05
semantic_drift_proxy_mean,wrong_high,low_rho,0.05,,5.562114943456454e-07,6.691986195189494e-07,7.853179145175439e-07
semantic_drift_proxy_mean,wrong_high,low_rho,0.1,,8.052820340301252e-07,9.65261023628836e-07,1.1728261737073007e-06
semantic_drift_proxy_mean,wrong_high,low_rho,0.2,,1.9903723255132007e-06,2.274876513993543e-06,2.580675205969464e-06
semantic_drift_proxy_mean,wrong_high,low_rho,0.4,,5.849344115402145e-06,6.40703800089619e-06,7.024421632955862e-06
semantic_drift_proxy_mean,wrong_high,projected_gradient,0.05,,3.0037697983388918e-05,3.215714350861191e-05,3.471332825391425e-05
semantic_drift_proxy_mean,wrong_high,projected_gradient,0.1,,0.00012270845319626878,0.00013066096152135152,0.00013827982907910723
semantic_drift_proxy_mean,wrong_high,projected_gradient,0.2,,0.0005171073485327245,0.0005495591869364902,0.000577440989825944
semantic_drift_proxy_mean,wrong_high,projected_gradient,0.4,,0.0023097161920343917,0.002449729445246662,0.0025688245234744525
semantic_drift_proxy_mean,wrong_high,random_activation,0.05,,5.030342500464854e-07,6.203191547052454e-07,7.323335818417392e-07
semantic_drift_proxy_mean,wrong_high,random_activation,0.1,,7.958078154538382e-07,9.626528090662625e-07,1.1356066624536385e-06
semantic_drift_proxy_mean,wrong_high,random_activation,0.2,,1.4165836463925262e-06,1.6527839757589863e-06,1.8874625958746211e-06
semantic_drift_proxy_mean,wrong_high,random_activation,0.4,,3.7021377491942684e-06,4.397116025589595e-06,5.147840729732223e-06
semantic_drift_proxy_mean,wrong_high,standard_delta_pca,0.05,,1.6117946864150472e-06,1.8851165603209737e-06,2.1907699118780005e-06
semantic_drift_proxy_mean,wrong_high,standard_delta_pca,0.1,,4.184540569573748e-06,4.728754759058498e-06,5.254314480718404e-06
semantic_drift_proxy_mean,wrong_high,standard_delta_pca,0.2,,1.5083613506543525e-05,1.639609982363768e-05,1.7580281660474096e-05
semantic_drift_proxy_mean,wrong_high,standard_delta_pca,0.4,,5.999970814036473e-05,6.43276555002553e-05,6.850469672401399e-05
semantic_drift_proxy_mean,wrong_high,temperature_1.25,0.0,,0.0033755469169965994,0.0034696790773097873,0.003557471111845504
semantic_drift_proxy_mean,wrong_high,temperature_1.5,0.0,,0.011836103396066937,0.01215017600449644,0.012446225626723971
semantic_drift_proxy_mean,wrong_high,temperature_2,0.0,,0.03603001450013965,0.03682479149190397,0.037603709557608535
