model,prompt_id,task,topic,observed_condition,layer,subspace_family,subspace_k,rep,top_k_output,rank_whitened_jb,rho,v_access,v_inaccess,entropy,varentropy,confidence,margin,trace_fim,jacobian_fro_norm,fisher_output_fro_norm,grad_entropy_proj_norm,grad_varentropy_proj_norm,logit_norm,direction,sign,epsilon,latent_step_norm,fisher_output_energy,direction_output_energy_unit,first_order_entropy,directional_success,candidate_mass_before_full_vocab,candidate_mass_after_full_vocab,candidate_mass_retention_ratio,full_vocab_top5_jaccard,full_vocab_top10_jaccard,candidate_set_kl,entropy_after,delta_entropy,abs_delta_entropy,varentropy_after,delta_varentropy,abs_delta_varentropy,semantic_entropy_proxy_after,delta_semantic_entropy_proxy,cluster_distribution_l1,embedding_centroid_delta_norm,selected_logit_l2,selected_prob_l1,selected_kl_before_after,rank_displacement_mean,top5_jaccard,selected_top1_changed,target_in_topk,target_correct_changed,delta_target_prob_topk,non_target_mass_delta,source,top10_jaccard,case_id,prompt,target,mode,hidden_step_norm,entropy_before,varentropy_before,confidence_before,confidence_after,delta_confidence,semantic_entropy_proxy_before,semantic_density_uncertainty_before,semantic_density_uncertainty_after,delta_semantic_density_uncertainty,haloscope_style_consistency_risk_before,haloscope_style_consistency_risk_after,delta_haloscope_style_consistency_risk,selected_top1_before,selected_top1_after,target_in_topm,target_top1_before,target_top1_after,target_prob_before,target_prob_after,delta_target_prob,top1_token_before,top1_token_after,entropy_efficiency,varentropy_efficiency
distilbert-base-uncased,0,ambiguous_open,open,ambiguous,2,state_pca,8,0.0,32.0,8.0,0.3713398504493843,0.2095929340795173,0.3548305551470612,3.237196790795204,0.5644234892265785,0.1550312247434385,0.7656388282775879,0.2955497457772523,3.6750890793234174,0.5436448710116304,0.1042840570928751,0.3020209687548864,37.45213074673425,accessible_ls,increase,0.05,0.252160301901132,0.05,0.1982865646298448,0.0228906604360554,1.0,0.0890417918370769,0.0884936992079019,0.9938445462757768,1.0,0.8181818181818182,0.0012358056773276,3.2584703377298725,0.0212735469346685,0.0212735469346685,0.5052552156967455,-0.059168273529833,0.059168273529833,1.365893619759412,0.0038555594208293,0.0199858461912416,0.0156301024417316,0.2602176032727966,0.042647031489339,0.00123580609563,0.0403225806451612,1.0,0,0.0,0.0,,,mlm_topk32,0.8181818181818182,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42547093869337,1.1833654705966599
distilbert-base-uncased,0,ambiguous_open,open,ambiguous,2,state_pca,8,0.0,32.0,8.0,0.3713398504493843,0.2095929340795173,0.3548305551470612,3.237196790795204,0.5644234892265785,0.1550312247434385,0.7656388282775879,0.2955497457772523,3.6750890793234174,0.5436448710116304,0.1042840570928751,0.3020209687548864,37.45213074673425,accessible_ls,decrease,0.05,0.252160301901132,0.05,0.1982865646298448,-0.0228906604360554,1.0,0.0890417918370769,0.0895839319564402,1.0060886029826892,1.0,0.8181818181818182,0.0012630780949093,3.212688052373009,-0.0245087384221949,0.0245087384221949,0.6306293722659856,0.0662058830394071,0.0662058830394071,1.357447251648522,-0.0045908086900605,0.0205276974360814,0.0160939286509448,0.2585114690531381,0.0435534283894982,0.0012630782825447,0.0403225806451612,1.0,0,0.0,0.0,,,mlm_topk32,0.8181818181818182,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.49017476844389796,1.3241176607881417
distilbert-base-uncased,0,ambiguous_open,open,ambiguous,2,state_pca,8,0.0,32.0,8.0,0.3713398504493843,0.2095929340795173,0.3548305551470612,3.237196790795204,0.5644234892265785,0.1550312247434385,0.7656388282775879,0.2955497457772523,3.6750890793234174,0.5436448710116304,0.1042840570928751,0.3020209687548864,37.45213074673425,grad_orthogonal_control,increase,0.05,0.3127917678455361,0.05,0.1598507542074802,1.0852144455478777e-18,0.0,0.0890417918370769,0.0889328765915706,0.998776807572498,1.0,1.0,0.0012588562532457,3.236388457346827,-0.000808333448377,0.000808333448377,0.5699167534104254,0.0054932641838468,0.0054932641838468,1.3617870049829144,-0.0002510553556682,0.0048705299580813,0.0109237370225541,0.3242114424591698,0.0399392847749412,0.0012588563803758,0.0504032258064516,1.0,0,0.0,0.0,,,mlm_topk32,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016166668967539998,0.109865283676936
distilbert-base-uncased,0,ambiguous_open,open,ambiguous,2,state_pca,8,0.0,32.0,8.0,0.3713398504493843,0.2095929340795173,0.3548305551470612,3.237196790795204,0.5644234892265785,0.1550312247434385,0.7656388282775879,0.2955497457772523,3.6750890793234174,0.5436448710116304,0.1042840570928751,0.3020209687548864,37.45213074673425,grad_orthogonal_control,decrease,0.05,0.3127917678455361,0.05,0.1598507542074802,-1.0852144455478777e-18,1.0,0.0890417918370769,0.0889912811107933,0.9994327301232206,1.0,0.8181818181818182,0.0012412443470953,3.2363908110869213,-0.0008059797082826,0.0008059797082826,0.5603295734732832,-0.0040939157532953,0.0040939157532953,1.36239896231334,0.0003609019747572,0.0062301969253793,0.0109172875856975,0.3375591259593626,0.0404029040309109,0.0012412441491014,0.0383064516129032,1.0,0,0.0,0.0,,,mlm_topk32,0.8181818181818182,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016119594165651997,0.081878315065906
distilbert-base-uncased,0,ambiguous_open,open,ambiguous,2,state_pca,8,0.0,32.0,8.0,0.3713398504493843,0.2095929340795173,0.3548305551470612,3.237196790795204,0.5644234892265785,0.1550312247434385,0.7656388282775879,0.2955497457772523,3.6750890793234174,0.5436448710116304,0.1042840570928751,0.3020209687548864,37.45213074673425,random_control,increase,0.05,0.3313394001479522,0.05,0.1509026695215649,0.0032969937127141,1.0,0.0890417918370769,0.0879705704282969,0.9879694535938796,1.0,0.8181818181818182,0.0012721759414349,3.2393574778923666,0.0021606870971626,0.0021606870971626,0.5509440070661448,-0.0134794821604337,0.0134794821604337,1.3602724276140945,-0.0017656327244881,0.0121910606233157,0.0127933390929049,0.3899494363006009,0.0420172553956105,0.0012721761098852,0.0302419354838709,1.0,0,0.0,0.0,,,mlm_topk32,0.8181818181818182,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.043213741943252,0.269589643208674
distilbert-base-uncased,0,ambiguous_open,open,ambiguous,2,state_pca,8,0.0,32.0,8.0,0.3713398504493843,0.2095929340795173,0.3548305551470612,3.237196790795204,0.5644234892265785,0.1550312247434385,0.7656388282775879,0.2955497457772523,3.6750890793234174,0.5436448710116304,0.1042840570928751,0.3020209687548864,37.45213074673425,random_control,decrease,0.05,0.3313394001479522,0.05,0.1509026695215649,-0.0032969937127141,1.0,0.0890417918370769,0.0898908398812636,1.009535388121347,1.0,1.0,0.0012271535600342,3.232814605457973,-0.004382185337231,0.004382185337231,0.5814774691284093,0.0170539799018307,0.0170539799018307,1.3635565834064955,0.0015185230679128,0.011171130172539,0.0123536445902134,0.3559232903587125,0.0411371987604511,0.0012271537686745,0.0423387096774193,1.0,0,0.0,0.0,,,mlm_topk32,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08764370674462,0.341079598036614
distilbert-base-uncased,0,ambiguous_open,open,ambiguous,2,delta_pca,8,0.0,32.0,8.0,0.4190480269631012,0.2365205495320269,0.3279029396945512,3.237196790795204,0.5644234892265785,0.1550312247434385,0.7656388282775879,0.2643307099316524,3.62404816041131,0.5141310240898253,0.0909673689640865,0.2749065169277909,37.45213074673425,accessible_ls,increase,0.05,0.3468639445957724,0.05,0.1441487383713775,0.0243166892037149,1.0,0.0890417918370769,0.0865542194806039,0.972062867276698,1.0,0.8181818181818182,0.0012646544869201,3.260120234532501,0.0229234437372976,0.0229234437372976,0.5004545467884627,-0.0639689424381158,0.0639689424381158,1.365390673996476,0.0033526136578934,0.0121101293070033,0.0148750425508383,0.2889566264207903,0.0421955845737635,0.0012646554865126,0.0302419354838709,1.0,0,0.0,0.0,,,mlm_topk32,0.8181818181818182,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.458468874745952,1.279378848762316
distilbert-base-uncased,0,ambiguous_open,open,ambiguous,2,delta_pca,8,0.0,32.0,8.0,0.4190480269631012,0.2365205495320269,0.3279029396945512,3.237196790795204,0.5644234892265785,0.1550312247434385,0.7656388282775879,0.2643307099316524,3.62404816041131,0.5141310240898253,0.0909673689640865,0.2749065169277909,37.45213074673425,accessible_ls,decrease,0.05,0.3468639445957724,0.05,0.1441487383713775,-0.0243166892037149,1.0,0.0890417918370769,0.0912853946210816,1.0251971881710318,1.0,0.8181818181818182,0.0012334229711953,3.211585281680142,-0.0256115091150621,0.0256115091150621,0.6336979979547299,0.0692745087281514,0.0692745087281514,1.358193570136601,-0.0038444902019816,0.0129458577561546,0.0148412341073532,0.2693753190915314,0.0418480795624627,0.0012334226800248,0.034274193548387,1.0,0,0.0,0.0,,,mlm_topk32,0.8181818181818182,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512230182301242,1.385490174563028
distilbert-base-uncased,0,ambiguous_open,open,ambiguous,2,delta_pca,8,0.0,32.0,8.0,0.4190480269631012,0.2365205495320269,0.3279029396945512,3.237196790795204,0.5644234892265785,0.1550312247434385,0.7656388282775879,0.2643307099316524,3.62404816041131,0.5141310240898253,0.0909673689640865,0.2749065169277909,37.45213074673425,grad_orthogonal_control,increase,0.05,0.2367132665098655,0.05,0.211226015073879,8.2126412097963665e-19,0.0,0.0890417918370769,0.0892072027781978,1.001857677588334,1.0,1.0,0.001211641772856,3.2357608695095186,-0.0014359212856853,0.0014359212856853,0.5702639640004866,0.0058404747739081,0.0058404747739081,1.36375567724011,0.0017176169015273,0.0139881278198078,0.0142740262598513,0.3323137901691122,0.0350335181944098,0.0012116413852421,0.0423387096774193,1.0,0,0.0,0.0,,,mlm_topk32,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.028718425713706,0.116809495478162
distilbert-base-uncased,0,ambiguous_open,open,ambiguous,2,delta_pca,8,0.0,32.0,8.0,0.4190480269631012,0.2365205495320269,0.3279029396945512,3.237196790795204,0.5644234892265785,0.1550312247434385,0.7656388282775879,0.2643307099316524,3.62404816041131,0.5141310240898253,0.0909673689640865,0.2749065169277909,37.45213074673425,grad_orthogonal_control,decrease,0.05,0.2367132665098655,0.05,0.211226015073879,-8.2126412097963665e-19,1.0,0.0890417918370769,0.0888594593852758,0.997952282315536,1.0,1.0,0.0012893222423113,3.235572716431532,-0.0016240743636717,0.0016240743636717,0.5655283832851278,0.0011048940585492,0.0011048940585492,1.3598629752983098,-0.0021750850402728,0.0169353188306288,0.0159841150989999,0.3491420858536123,0.0372690522235586,0.0012893231877006,0.0362903225806451,1.0,0,0.0,0.0,,,mlm_topk32,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.032481487273434,0.022097881170983998
