prompt_id,layer,subspace,observed_condition,topic,fact_id,template_id,entropy_topk,varentropy_topk,top1_prob_topk_layer,rho_fisher,accessible_varentropy,trace_fim,grad_norm_sq,rho_euclidean,rho_shuffled_u,rho_random_u,rho_matched_random_trace,matched_random_trace_gap,matched_random_trace_fim,rho_high_trace_random,high_trace_random_trace_fim
0,0,state_1d,error,capital,capital:france,t0,3.3096673050916237,0.3449003907573439,0.09098628957658025,0.16527210858048527,0.057002414830699545,0.0035347763367358045,0.00020149078708035756,0.22370855727668038,0.019561505312096827,0.20569249536197814,,,,,
0,1,state_1d,error,capital,capital:france,t0,3.418824947683924,0.1002052389738376,0.06189738959748093,0.00108033145491869,0.000108254871611081,0.0006165262737191915,6.674197260633282e-08,0.07466130614736803,0.2180967996107178,0.0013330214564974867,,,,,
0,1,delta_1d,error,capital,capital:france,t0,3.418824947683924,0.1002052389738376,0.06189738959748093,0.02481376889281179,0.002486469641745783,0.03449085980007175,8.57604758105879e-05,0.018724466686748546,0.02733849730902988,0.058991208857861396,0.031137268711429883,0.00029947648353531586,0.034790336283607066,0.016170539344764014,0.12961839086068805
0,2,state_1d,error,capital,capital:france,t0,3.355511820637186,0.2524559494645815,0.10754073489381129,0.13177071258000167,0.0332663003560088,0.00020534370428075465,6.831025342819058e-06,0.25077127893862056,0.014921878912516525,0.01298352337951663,,,,,
0,2,delta_1d,error,capital,capital:france,t0,3.355511820637186,0.2524559494645815,0.10754073489381129,0.01217097024143898,0.0030726338482076443,0.01602235541566867,4.9230831578197044e-05,0.12009021163852326,0.026505684298836086,0.020419157277840667,0.06982745693892217,0.0006685549358032561,0.016690910351471928,0.16111364769640207,0.07386052519694952
0,3,state_1d,error,capital,capital:france,t0,3.379435051674695,0.19642938901405896,0.08093914109210248,0.007472718389748868,0.0014678615075724927,0.00015733145330906165,2.309407842428108e-07,0.04854027629734739,0.01350686455279366,0.001965292864198471,,,,,
0,3,delta_1d,error,capital,capital:france,t0,3.379435051674695,0.19642938901405896,0.08093914109210248,0.00019095426069953587,3.7509028758841164e-05,0.01486023139113266,5.57392846613059e-07,0.06580694339170182,0.028392978279975594,1.2449849648930792e-06,0.004216581407356088,0.00013822310022598532,0.014722008290906675,0.07267811932307487,0.05919347332869511
0,4,state_1d,error,capital,capital:france,t0,3.3724801030317155,0.19657740272188362,0.06774135308746466,0.24835979804890707,0.04882192404098569,0.00013281190351550838,6.484132665172894e-06,0.030564921161543565,0.038897624094942775,0.002140251986044668,,,,,
0,4,delta_1d,error,capital,capital:france,t0,3.3724801030317155,0.19657740272188362,0.06774135308746466,0.11696464364031423,0.022992605857103655,0.0053156295853638924,0.00012222017593863153,0.049552420382384214,0.015557034660045935,0.000129255237638858,0.02761284840195189,0.001821460255940573,0.0071370898413044654,0.1833293598290175,0.020659714255706764
0,5,state_1d,error,capital,capital:france,t0,3.204689067147246,0.47150956015512585,0.09323989011628053,0.007884099771875177,0.0037174284156559927,0.00013622064585085792,5.063904996850015e-07,0.17541390083196473,0.044629282075382165,0.021184228878676912,,,,,
0,5,delta_1d,error,capital,capital:france,t0,3.204689067147246,0.47150956015512585,0.09323989011628053,0.21295180929621707,0.10040881393549755,0.007430066670155048,0.0007460441818119434,0.025695951519159658,0.0036701548148339084,0.10396875801678875,0.0010259053709168557,0.00015641298500608698,0.007586479655161135,0.02191694452354957,0.01638704775829298
0,6,state_1d,error,capital,capital:france,t0,2.9160762250020786,0.8327321161764475,0.15256860362053237,0.00013967582403570045,0.00011631254452793795,0.000274562069441822,3.193501292763579e-08,0.5189677295947693,0.11590666186476999,0.008569194248931879,,,,,
0,6,delta_1d,error,capital,capital:france,t0,2.9160762250020786,0.8327321161764475,0.15256860362053237,0.11202648449472542,0.09328805150110069,0.004374559771365104,0.00040809415724575083,0.010610135711389397,0.11688193249773114,0.0018696729427204737,0.12742760069119605,0.005996818142837399,0.010371377914202503,0.001097834290581842,0.03140763317163287
1,0,state_1d,correct,capital,capital:france,t1,3.257143483632227,0.47631466124942073,0.12258330294926918,0.31085007697122025,0.14806244911190314,0.0033465558405220463,0.0004954992538374442,0.27421814872686273,0.0021536231738471913,0.047061729199979536,,,,,
1,1,state_1d,correct,capital,capital:france,t1,3.343087320715987,0.2884123290968443,0.0994069165371644,0.018755743799676403,0.005409387753208367,0.0005370155903492975,2.9049255577174507e-06,0.20265528779796954,0.0008522408794151287,0.057644027590278125,,,,,
1,1,delta_1d,correct,capital,capital:france,t1,3.343087320715987,0.2884123290968443,0.0994069165371644,0.025937226462407453,0.007480615894335236,0.017993944022184835,0.00013460578365413468,0.08680636757329083,0.015032426691171288,0.07012292126797307,0.06793310366792639,0.017205012781746312,0.03519895680393115,0.1876550680139208,0.10442362788362562
